title,release_date,rating,description,metascore
World of Goo,2008-10-12,E,"World of Goo is a physics based puzzle / construction game. The millions of Goo Balls that live in the beautiful World of Goo don't know that they are in a game, or that they are extremely delicious. [2D Boy]",90
Stephen's Sausage Roll,2016-04-18,Rating not found,The focus of Stephen's Sausage Roll involves nudging sausages around to fully cook them.,90
Pushmo,2011-12-08,E,"(Also known at ""Pullblox"" in the UK/EU)  Pushmo is a puzzle-action game in which you pull and push blocks to create a place to stand so you can jump up and down on your way to a goal. At first glance, some places may look out of reach, but if you use your head, you just may see a way to the goal...",90
Peggle,2009-03-11,E,"[Xbox Live Arcade]  Experience the ball-bouncing, peg-busting phenomenon sweeping the globe, now on Xbox LIVE Arcade. Do you have what it takes to become a Peggle master? Conquer dozens of levels with 10 different characters, each with a unique special power. Face off against two to four friends in multiplayer play over Xbox LIVE, and test your skills with the Grand Master Challenges. Take your best shot. Game modes: Enjoy multiple game modes like Adventure and Quick Play. Multiple challenges: Play through more than 55 levels and 75 challenges, using 10 Peggle Masters with unique abilities. Multiplayer: Join with friends for 2-4 way multiplayer over Xbox LIVE plus local multiplayer, co-op, and party game modes. [PopCap Games]",89
Armadillo Run,2006-04-22,Rating not found,"Armadillo Run is a physics-based puzzle game. You have to build structures with the purpose of getting an armadillo to a certain point in space. There is a selection of building materials, each with different properties, which can be combined to form almost anything. The realistic physics simulation gives you the freedom to solve each level in many different ways.",88
Bomberman Blast,2008-09-29,E,"[WiiWare]  Up to 8 players can battle online at once via Nintendo Wi-Fi Connection. Simple controls make this a great game for family and friends to enjoy at anytime. New items can be triggered by shaking the Wii Remote for excitement never before experienced in a Bomberman title. You can even take the intensity up another notch by adding your own Miis to the mix. Battle results can be recorded on the Nintendo Wi-Fi Connection Ranking, so see how you stack up against others around the globe. This title promises to be a blast for everyone--from those who've never touched a Bomberman game, to the Bomberman masters. [Nintendo UK]",86
Crashmo,2012-11-22,E,"Also known as ""Fallblox"" in the UK/EU. Players can embrace the laws of gravity and challenge themselves with a whole new kind of action-puzzle play in this exciting sequel to the critically acclaimed Pushmo. New gravity mechanics and gadgets like floating blocks, doors and move switches await, testing players' skills as they push, pull and slide each puzzle's colorful blocks in order to climb to the top. Just be careful where those blocks are moved-unsupported blocks will come crashing down. Crashmo contains lots of puzzles to test your brains, and enhanced puzzle-creation and -sharing features mean that even when all the puzzles are cleared, the fun never has to stop.",86
Humanity,2023-05-16,E10,"SAVE HUMANITY, FIND YOURSELF. 

The year is 2156 and Earth has been decimated. All that remains of the once great planet is desert and human life is dwindling due to water and food scarcity. You play as Landon, one of the last surviving humans, who stumbles upon a wormhole. The wormhole you accidentally find transports you light years across the universe to a strange and beautiful planet where you meet a new alien friend named Zip. 

With Zip as your guide, you will hunt for a new planet for you and your wife Jessie to inhabit and carry on human existence.

Created by a single developer over two years, this story rich and atmospheric game poses many questions about what makes life worth living and how we as humans can save our planet before climate change destroys it.

Will you be the one to save humanity before it obliterates itself?",86
Maboshi's Arcade,2008-12-29,E,"[WiiWare] - (Also known as ""Maboshi's Arcade"")  This unique arcade action title features three games in one, based on three classic shapes: circle, bar and square. There are three game windows on screen at the same time, allowing for three people to play different games simultaneously. But there is a twist – each game impacts the other players. For every player, the goal is the same – score a million points – but the challenge is different, whether you’re bashing enemies in Circle Mode, weaving your way through Bar Mode, or burning through a maze of obstacles in Square Mode. MaBoShi: The Three Shape Arcade also features Mii characters, action replays that you can send to friends via WiiConnect24, and even a Nintendo DS download version for playing on the go. [Nintendo]",85
Bomberman Live,2007-07-18,E,"[Xbox Live Arcade]  Drop bombs with reckless abandon and blast your enemies into oblivion. Compete with up to eight players online as you battle through eight exotic arenas with your own customized Bomberman. Unleash your fury in ongoing tournaments to prove you're the best. Choose from any of eight all new arenas and start dropping your bombs, kick fiery surprises across the arena, and send your enemies to their doom. Ongoing tournaments will allow you to compete globally to determine who's the best Bomberman of all. Each Bomberman can have a custom head or hat, facial expressions and features, and a costume. There are over 10,000 custom possibilities, so you may never see another Bomberman exactly like yours. One of the greatest game series of all time comes to Xbox LIVE Arcade. Take control of your customized Bomberman and use your bombs to knock out your opponents, discover upgrades, and dominate the arena. [Microsoft]",84
Keep Talking and Nobody Explodes,2018-08-16,E10,"In Keep Talking and Nobody Explodes, one player is trapped in a room with a ticking time bomb they must defuse. The other players are the “Experts” who must give the instructions to defuse the bomb by deciphering the information found in the Bomb Defusal Manual. But there’s a catch: the Experts can’t see the bomb, so everyone will need to talk it out – fast. Rounds are fast-paced, tense, occasionally silly, and almost always loud. Puzzle solving and communication skills – and maybe a few friendships – will be put to the test as players race to defuse bombs while communicating quickly, clearly, and effectively.",84
Peggle: Dual Shot,2009-02-27,E,"Shoot and clear the orange pegs from 120 levels spanning two full Adventure modes including 10 all-new levels in the exclusive Bonus Underground. Wield 11 Magic Powers, score amazing style shots, and collect valuable gems and power-ups in the Bonus Underground. And the action doesn’t stop there - take your best shot in Multiplayer Duel and Quick Play modes, then put your skills to the ultimate test with 90 challenges. [PopCap Games]",84
Shovel Knight Pocket Dungeon,2021-12-13,Rating not found,"Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like no other. Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other! Join your mysterious guide Puzzle Knight as you shovel through scads of foes, procure new equipment, and battle bosses both familiar and new. Explore a tale with endless twists and turns, quest as your favorite heroes, and even challenge a friend for fast-paced head-to-head competition in Shovel Knight Pocket Dungeon!

    Enter a world of falling block puzzle games, with a dungeon-crawling twist! Bump into enemies to battle them and trade damage in a unique combat system. An all-new hybrid that’s never been seen before. Group foes together for massive chain attacks while grabbing keys, power-ups, and potions to refill your health!
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Equip yourself on the fly with a treasure trove of items and equipment. Mix and match your loadout to prepare for any encounter.
    Play in a variety of ways with Story Mode, 2 player competitive Versus Mode, a Daily Challenge, and much more!
    A bold new visual style complements a new story. Learn the ropes from your pal Puzzle Knight as you attempt to escape the mysterious Pocket Dungeon. Shovel Knight’s signature storytelling and humor are on full display!
    Using your Shovel Knight series Amiibo allows you to call upon a familiar fairy friend to keep you company on your perplexing puzzle adventure!",84
Stacking,2011-02-09,E10,"Stacking is the second downloadable game produced by THQ and the award-winning Double Fine Productions. The adventure of Stacking requires players to capture and stack dolls together, then use each doll's unique abilities to solve the game's challenges.  As more puzzles are solved, new dolls are acquired and the game's visually lush, carefully constructed story unfolds.",84
FRU,2016-07-13,E,"FRU is a puzzle platformer featuring an innovative use of Kinect, in which your silhouette becomes a ""portal"" between two worlds. You find yourself solving puzzles by strategically positioning your body, combining physical interaction with traditional platforming. Every level can be solved in multiple ways, with different poses. [Xbox.com]",84
