title,release_date,rating,description,metascore
Blast Corps,1997-02-28,K,"A pair of defective nuclear missiles, en route to a safe detonation site, has begun to leak. Badly damaged, the carrier automatically locks onto the most direct route. Clear a path to help the carrier arrive safely. Tons of vehicles are at your disposal. Leave nothing standing or the adventure will end in an earth-shattering explosion! Find the hidden technicians to ensure a safe detonation. Strap on your seat belt, it's going to be a bumpy ride.",90
HYPER DEMON,2022-09-19,Rating not found,,89
Nidhogg,2014-01-13,Rating not found,"Nidhogg is the epic award-winning fencing tug-of-war, full of graceful acrobatics and clumsy stabs. IRL yelling and excitement may occur, in this ultimate two-player showdown of fast-paced fencing and melee attacks. Beware, advantages in Nidhogg are often fleeting, as new opponents continually spawn in your way.",81
Downwell,2015-10-15,Rating not found,Downwell is a curious game about a young person venturing down a well in search of untold treasures with only his Gunboots to protect him.,81
Patapon 2,2009-05-05,E,"The story of the Patapon tribe marches forth as they hunt for the fabled Earthend. Shipwrecked in a new and strange continent the Patapon are depending on you, their god, to lead them safely through this perilous new land. As you guide the tribe through this new world with your mystical drum, they will come face to face with a new tribe, encounter a mysterious and mighty Hero Patapon and uncover the ruins of Patapolis, a mystical place long spoken of by the Patapon. All-new modes to Patapon 2 include thrilling multiplayer stages, a huge array of missions and deep tutorials that will have you drumming to the beat of the Patapon in no time. Head to patapon-game.com for the captivating mini-game, The Art Of War, where the goal is to collect as many Patapon characters as you can and then immortalise your battle with the Patapon Wallpaper creator. Lead your loyal followers through 60 rhythmic stages. Keep the beat going with tons of hidden items and mini-games to reveal. Drum along with friends and tackle multiplayer missions. [Sony]",81
Rocket Riot,2009-06-17,E,"[Xbox Live Arcade]  Strap on your bazooka soldier, and get ready for the awesome action-packed side-view shooter Rocket Riot. In this highly stylized eight-bit era style game, blast your way through the environment against enemies or multiplayer foes online. Navigate through a completely destructible environment, uncover special power-ups, or even burrow into different areas of the map. The map regenerates, keeping the action fast-paced, but time doesn't heal all wounds. [THQ]",80
Westerado: Double Barreled,2015-04-16,Rating not found,"Brought to you by the indie game developer Ostrich Banditos, Westerado takes you on a pixilated journey through the Old West where you must avenge the murder of your family. With a deep narrative and a new mystery every time you play, Westerado presents a full experience rarely seen in free casual gaming. So strap on that six shooter and get ready for some serious avenging. It's time to play Westerado.",80
Vitamin Connection,2020-01-17,E,"By blasting subatomic foes with your Vitamin Beam, utilizing a special claw tool, and navigating maze-like stages, you'll save the members of the Sable family - including the dog! - from a variety of hazardous and increasingly wacky predicaments. Each level also includes sub-games featuring rhythm challenges, Pong-like reflex tests, and more.",80
Incredible Crisis,2000-11-06,T,"The severe fun of Incredible Crisis is all about maintaining your sanity, as you help Taneo's family get home in time for Grandma's Birthday.
It's a happy day and the worst day of their life, as they endure hundreds of hilarious and cardiac-arrest inducing dilemmas.
You'll laugh, cry, freak-out and perhaps soil your shorts, while your mental and physical reflexes are put the test.
The controls are simple, but thumb and forefinger injury is still a risk.
Be warned, this game is severely fun and may cause obsessive compulsive behavior, if not nervous disorders and/or involuntary twitches.",80
Nidhogg 2,2017-08-15,T,"The rules are simple. Reach the other side and kill anyone that stands in your way. Deftly parry and rend their throats, riddle their bowels with arrows, or squish their brains between your toes. The wurm cares not for chivalry.",80
Rock of Ages 2: Bigger & Boulder,2017-08-28,E10,"The rock-racing, tower defense, art history game is back. Like the title says, Bigger and Boulder cranks up the surrealism and gameplay with chaotic two-on-two multiplayer, new time periods, and improved graphics, physics, and destructibility.",79
Heat Signature,2017-09-21,Rating not found,"Heat Signature is a game about randomised space ships that you can sneak aboard. These ships have a randomly generated interior of connected rooms and corridors, and crew that patrol those rooms.",79
Scram Kitty and his Buddy on Rails,2014-05-15,E,"Take control of a rail-riding, laser-shooting young hero on a perilous quest to find his kidnapped pet cat. With a unique control system that allows for 360 degree platforming action and exciting 2D shooting, Scram Kitty and his Buddy on Rails pits players against an army of intelligent, mechanized rodents. Glide along glowing rails, leap across chasms and leave arcing streams of shots as you rid each stage of the rodent aggressors and locate the keys to the numerous cat cages. Keys are attached to specific objectives, adding a multi-layered design to stages and adding replay value for completionists who won't rest until every cat is free.",79
TumbleSeed,2017-05-02,E,TumbleSeed is a roguelike about balancing a seed up a dangerous and ever-changing mountain. Avoid holes and defeat corrupted creatures in this dual-stick action adventure.,78
Bleak Sword DX,2023-06-08,Rating not found,"Pure, thrilling, and wonderfully cruel, Bleak Sword DX is a dark fantasy action game challenging warriors to fight their way through compact, cursed diorama battlefields.

Through twelve tense and deeply atmospheric chapters, you must lift the curse of the legendary Bleak Sword by striking down all manner of horrifying creatures across an oppressive world wielding fierce weaponry and powerful magic.

Newly updated for PC, Bleak Sword DX expands on the critically acclaimed Apple Arcade version with elegant controls, three new game modes, and multiple gameplay and graphical improvements.",78
AlphaBounce,2010-04-12,T,"[DSiWare]  AlphaBounce combines the classical brick-breaking concept with strong RPG features, offering you the chance to explore an endless universe with millions of levels. Discover items hidden in the deepest corners of the galaxy. Use these items to modify your spaceship and improve your firepower. You have been taken prisoner by an evil intergalactic mining corporation and exiled to outer space. With the help of your spaceship, your mission is to blast your way through the bricks in order to find a way back to Earth. [Nintendo]",78
Samurai Gunn,2013-12-10,Rating not found,"Samurai Gunn is a 2-4 Player local multiplayer game. Each player is armed with a sword and gun, with only 3 bullets to a life. Both swords and bullets can be deflected with clever control and timing. Levels range from thick bamboo forests that can be hacked through, to vertically-looping cliffs and caverns which bear walls that can be sharpened to deadly points.",78
Ghostbusters: The Video Game,2009-06-16,T,"The Ghostbusters are back in an all new story penned by the original creators. With Manhattan newly overrun by ghosts and other supernatural creatures, it's up to you to take on the role of a new recruit joining the original film cast of the famous Ghostbusters team. Equipped with a variety of unique weapons and gadgets, you will hunt, fight and capture a wide range of uncanny phantasms and demons in an all new funny and frightening battle to save New York City from its latest paranormal plague. To deliver a special gaming experience to the tremendous Ghostbusters’ fan base around the world, the game features the original film cast from the classic Ghostbusters films, Bill Murray, Dan Aykroyd, Harold Ramis, and Ernie Hudson, back again for the first time in more than 20 years. Supporting the ghost busting crew are the talents of Annie Potts, Brian Doyle Murray and William Atherton. [Sierra Entertainment]",78
Joe Dever's Lone Wolf HD Remastered,2014-11-27,Rating not found,"Lone Wolf is back in video game form with a brand-new story and a deep combat system. Acclaimed author Joe Dever played an active role in the development of the game and his new narrative follows on from his classic 1980’s gamebook, shedding a new light on Lone Wolf’s world, Magnamund. The Console Edition includes all 4 acts of the story. Are you ready to write your own destiny?",78
Flywrench,2017-02-14,E,Flywrench is an action game from the makers of Nidhogg about piloting an aerobatic ship through the depths of space.,78
Pop Island,2009-12-07,E,"[DSiWare]  Discover a joyful universe where playing is always a pleasure with Pop Island. Colorful and fun, Pop Island is an action-packed capture-the-flag game. Pick a team to join, then run, jump and spin your way around the island in an attempt to collect the priceless flags hidden throughout it. Become a surfing penguin, a flying fish or a waterskiing crocodile as you go all out for victory, unlocking 12 more joyful animals as you rack up points across eight different planets. You might even end up competing as a skateboarding mammoth. Playing alone is plenty of fun, but the madcap action reaches a new level when your friends get involved. By sharing the demo of the game via DS Download Play, up to seven more people with their own Nintendo DSi systems can use a local wireless connection to join you for some head-to-head or cooperative action. With plenty of power-ups, you'll need to concentrate on capturing more than just the rival team's flag to claim victory. [Nintendo]",77
Quantum Break,2016-04-05,M,"Quantum Break blurs the line between television and gameplay, integrating the two into one seamless, uniquely immersive experience. Quantum Break weaves the cinematic action of intense gameplay with the tension and drama of scripted television, creating a world where each has a direct impact on the other.",77
Super Little Acorns 3D Turbo,2013-04-18,E,"Time for some squirreling action! Prepare for some super squirreling action! Now with 50% new exclusive level content, ninja completion bonuses, super high speed turbo mode and a whole bunch of zany new squirrel outfits! Run, jump, swing and smash Mr Nibbles through 90 frantic levels of pixel perfect platforming. Mr Nibbles goes nuts for acorns and he’s on a mission to reclaim his stash from the pesky critters who stole them so he can feed his growing family. Delivering some of the best platform gameplay yet and featuring wonderful crisp graphics, Super Little Acorns 3D Turbo is a must have for platform game fans. Grapple and swing Mr Nibbles through 30 exclusive Challenge stages to test your squirreling skills. Adventure through 60 main game stages spread across four seasons with epic boss levels and completion goals, enough to keep you playing until winter! Collect power-ups to supercharge Mr. Nibbles through his adventure, including Tough Nut to smash through enemies and walls!",77
Eldritch,2013-10-21,Rating not found,"Eldritch is a 1st-person action game inspired by roguelikes, immersive sims, and H. P. Lovecraft. Unearth ancient secrets and find your path to freedom. Sneak, fight, and explore strange worlds. Invoke mystical powers to augment your play style. Randomly generated levels provide fresh challenges and opportunities. Unlock shortcuts to jump directly to deeper dungeons. [Minor Key Games]",77
DK: Jungle Climber,2007-09-10,E,"Get back into the swing of things as Donkey Kong goes vertical. King K. Rool is up to no good again, and it’s up to Donkey Kong to swing into action. Using the same simple control scheme that made the DK: King of Swing Game Boy Advance SP game so accessible and fun to play, players of all skill levels can swing and climb to new heights made possible by the dual screens of Nintendo DS. Adventure mode features Diddy Kong as a sub-character, and players can look forward to new moves, new items and a bunch of minigames sure to make them go bananas. Not only that, but fun tutorials that ease new players into the game also can be accessed as minigame challenges. If players are more in the mood to rumble, they can take on up to three pals in fun multiplayer challenges using DS Download Play and the DS Local Area Network. They can pick from Donkey Kong, Diddy Kong, Dixie Kong or Funky Kong, and let the monkey business begin. [Nintendo]",77
Trajectile,2010-01-04,E,"[DSiWare; also known as ""Reflect Missile""]  Trajectile is a puzzle game that's as much about firepower as it is about brainpower, requiring you to line up your shot and launch a flurry of missiles at enemy targets. Three types of missiles are at your disposal, each one with its own characteristics - but all of them can bounce off walls on their path to smash, blast or drill through enemies and blocks. Along the way, you'll find item blocks just waiting to be destroyed so that you can obtain special power-ups ... and cause even more destruction. Be careful though, as missile type and position are predetermined and you get only a limited number of launches per stage. Complete multiple classes containing numerous individual stages, earning medals when you clear stages in fewer than the given number of turns. Are you ready to take aim at becoming a Trajectile master? [Nintendo]",77
Tomena Sanner,2010-02-08,E,"[WiiWare]   Businessman Hitoshi Susumu is behind schedule and in quite a rush. In fact, once he starts running, he won't stop! Dashing past samurais, T-Rexes, cowboys and all manner of wacky obstacles, Mr. Susumu must get to the goal as fast as he can for the ultimate 2-D dance party. Tomena Sanner is a high-speed side-scrolling action game with a unique timing-based control system that's as challenging as it is fun. As they fly, jump and dance over the many zany obstacles, players need to time their moves to keep their speed up and perform awesome tricks. Using just one button on the Wii Remote™ controller, players of all ages and skill levels will be able to play and help Mr. Susumu get to his goal. Four players can compete to see who is the fastest at running through the bizarre and comical world of Tomena Sanner.",77
Shift Extended,2011-01-18,Rating not found,,76
Volgarr the Viking,2013-09-13,Rating not found,"Remember when games were tough? Return to the Golden Age of arcades with a hardcore action experience that pulls no punches. Volgarr the Viking features simple controls, high challenge, and meticulous design - combined with hand-made pixel animation, an epic soundtrack, and buckets of blood. Flex your gaming muscles and step into the arena with Volgarr the Viking.",76
Minutes,2015-02-10,E,"Simply explained, the player controls a circle and moves it around the screen to collect light energy shapes (for points) and avoid dark (which damage the player). The key mechanic is that the size of the circle can be changed. Go small to stay safe and dodge through the dark energy. Go large to collect more light and, critically, boost your score multiplier. [Developer via Playstation Blog]",76
1000 Tiny Claws,2011-10-04,E10,1000 Tiny Claws is the third PlayStation Minis game from developer Mediatonic.,76
The Escapists 2,2017-08-22,T,"Craft, steal, brawl, and escape. It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2. Have you got what it takes to escape?",75
The Climb 2,2021-03-04,Rating not found,"The Climb brings alive the excitement and thrill of rock climbing in incredible virtual reality. Players will scale new heights and explore stunning environments in a new gaming experience developed exclusively for VR, using the power of CRYENGINE™. [Oculus Quest 2]",75
Noby Noby Boy,2009-02-19,E,"[Playstation Network]  The latest game from Katamari Damacy creator Keita Takahashi, NOBY NOBY BOY lets players expand their imaginations as they stretch a creature named BOY to incredible lengths across the playground-like planets of the solar system. Offering a unique play experience from one of the video game industry's most creative minds, NOBY NOBY BOY gives players complete freedom to create gameplay suited to their tastes. As BOY, players can eat and spit out nearly everything they encounter in the game, from people and animals to trees and buildings, helping them to gain length as they stretch their elongated body. Players can control BOY’s front and back ends using the Playstation 3 controller's two analog sticks, allowing for detailed movements such as tying themselves into knots or threading BOY through holes in the environment. NOBY NOBY BOY allows players to record video footage as they play and upload it directly to YouTube for easy viewing. Delivering a new and innovate approach to online gaming, NOBY NOBY BOY lets players collaborate to unlock new game stages. As players stretch BOY in their individual play sessions, the lengths to which they grow are uploaded to a persistent character known as GIRL, who grows at the same rate as the combined length of all the players in the world. GIRL starts at Earth and expands through the solar system as more games are played and BOYs from all players continue to grow. When GIRL reaches a new milestone in the solar system, these areas are unlocked as playable stages in the game for everyone around the world. [Namco Bandai Games]",75
Patapon 2 Remastered,2020-01-30,E,"The story of the Patapon tribe marches forth as they hunt for the fabled Earthend. Shipwrecked in a new and strange continent the Patapon are depending on you, their god, to lead them safely through this perilous new land. As you guide the tribe through this new world with your mystical drum, they will come face to face with a new tribe, encounter a mysterious and mighty Hero Patapon and uncover the ruins of Patapolis, a mystical place long spoken of by the Patapon. All-new modes to Patapon 2 include thrilling multiplayer stages, a huge array of missions and deep tutorials that will have you drumming to the beat of the Patapon in no time. Head to patapon-game.com for the captivating mini-game, The Art Of War, where the goal is to collect as many Patapon characters as you can and then immortalise your battle with the Patapon Wallpaper creator. Lead your loyal followers through 60 rhythmic stages. Keep the beat going with tons of hidden items and mini-games to reveal. Drum along with friends and tackle multiplayer missions.",75
Gravity Ghost,2015-01-26,Rating not found,"Gravity Ghost is a physics-based title with a twist. Run, jump, and soar around planets, using gravity to glide through the air. Explore a shattered galaxy and rescue its survivors, armed with powerups and mysterious terraforming powers.",75
Elebits,2006-12-12,E,"(Also known as ""Eledees"")  A revolutionary game of hide and seek. Search high and low for mischievous little Elebits using the features of the Nintendo Wii controller to push, pull, lift, throw and interact with anything and everything in the environment. Full interactivity with any object in the environment. Hundreds of Elebits to search for and find. Gain additional abilities as you capture more Elebits. [Konami]",75
The Stretchers,2019-11-08,E,,75
Batman: Arkham VR,2016-10-11,M,"Batman: Arkham VR is a new Batman story set in the Arkham universe and exclusive to PlayStation VR. For the first time in a Rocksteady Arkham story, Batman: Arkham VR offers players the chance to feel that unique sense of presence in these legendary locations through virtual reality. [Rocksteady]",74
Patapon 3,2011-04-12,E,"The greatest portable adventure of rhythm and war is back with robust online support. Devastate your opponents with attacks as Superhero Patapon in the third iteration of the critically acclaimed rhythm-based action/ adventure. Play campaign with friends, go head-to-head or take on a clan of other Patapon gamers with network play allowing up to eight people. Customize your tribe with different weapons and abilities in the greatest portable adventure of rhythm and war.",74
Kingdom (2015),2015-10-21,Rating not found,"Kingdom is a 2D sidescrolling strategy/resource management hybrid with a minimalist feel wrapped in a beautiful, modern pixel art aesthetic.",74
What The Bat?,2023-02-22,E,"A wise man once said: If all you have are bats for hands, everything feels like a baseball. From the creators of WHAT THE GOLF? comes a silly VR game about navigating life with baseball bats for hands. Swing your way through over 100 levels of batting, cooking, shooting, smashing, parking, painting, pickling, petting, and WHATnot. Experience fully immersive silliness in a first-person experience like no other!

Features:
- 100+ unique levels of physical comedy and craziness!
- Wholesome original soundtrack!
- Pet a dog, pickle a tractor, and take selfies with The Selfie Bat!
- The expected playtime is 4 hours, but remember to take breaks (too much VR can drive you batty)",74
The Escapists,2015-02-13,T,The Escapists gives players the chance to experience a light-hearted insight into everyday prison life with the main objective being that of escaping.,74
Nantucket,2018-01-18,Rating not found,"Chase after Moby Dick, and live through the Golden Age of American whaling in this seafaring strategy game. Set sail around the world, manage your ship and crew, and live Ishmael's story, the sole survivor of the Pequod, a few years after the events narrated by Herman Melville in his masterpiece.",74
Katamari Forever,2009-09-22,E,"Use the Prince's katamari to roll up everyday objects in each level. The more objects that the Prince rolls up, the larger his katamari becomes, allowing him to roll up bigger items. The Prince faces his toughest challenge ever as Katamari Forever boasts the largest collection of stages, modes, songs, and cousins to date.  Remixed classic Katamari Damacy tunes, a brand-new storyline, multiple new visual effects and 1080p graphics round out Katamari Forever into the ultimate Katamari experience ever. A terrible event has occurred causing the stars to disappear from the night sky and the King of All Cosmos to fall into a coma.  The Prince must use his finely tuned Katamari rolling skills once more to re-create the absent celestial bodies, save his royal father and restore order to the Cosmos.  Thumb tacks, sushi, cats, people, skyscrapers, ocean liners and continents - nothing is safe as the Prince makes his way through the largest variety of stages in a single Katamari game ever. New graphical styles give Katamari Forever a certain ""je ne sais quoi"" that all new Katamari games possess.  A few of the new styles include Wood, which uses warm sepia tones to give stages a wooden feel, while Comic creates thick black outlines on every object while filling them in with deep, rich colors. Make sure to try them all out and find your favorite for a totally new way to experience the world of Katamari. In addition to all these great new features, Katamari Forever also contains local cooperative and competitive multiplayer modes.  Choose your favorite cousin and play together or compete in heated Katamari competition.  Who will become the Katamari champion in your house? [Namco Bandai Games]",74
Toukiden: Kiwami,2015-03-31,T,"In the world of Toukiden, Demons (Oni) have hidden in the shadows aiming to torment mankind. Throughout history, a secret caste of warriors, the Slayers, have been trained to dispose of the demonic threat before it could consume the world. However, an event called the ‘Awakening’ caused rifts to appear in space and time, causing places that had long disappeared from the world to resurface, unleashing  hordes of demons that relentlessly hunted humans.",74
TRI,2012-07-08,Rating not found,"In the world of the Odd Gods players experience a mind-bending first-person adventure like no other as they discover the magical power of the TRI. By creating triangles that can be used to solve puzzles and traverse the landscape, adventurers hunt for mystical totems and master a wide range of abilities such as reflecting light, scaling sheer heights and even defying gravity! With every twist of a corridor, every raised gantry, every new floor of towers and dungeons in the Odd Gods' world, TRI challenges gamers to think outside the box and find new ways to overcome seemingly impossible obstacles.",74
Comic Jumper: The Adventures of Captain Smiley,2010-10-06,T,"Twisted Pixel Games is working on its third original title, Comic Jumper: The Adventures of Captain Smiley.",74
