title,release_date,rating,description,metascore
Kentucky Route Zero - Act III,2014-05-06,Rating not found,"Kentucky Route Zero is a magical realistic adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.",91
VIDEOVERSE,2023-08-07,Rating not found,"Relive the days of past social gaming networks in VIDEOVERSE, a decision-based narrative adventure focusing on character development, friendship and love, from the developer behind One Night Stand.

As Emmett, a young video game fan and aspiring artist, dive into this fictional video game era, where the Kinmoku Shark gaming system and its online social network, Videoverse, were still popular. Strengthen Emmett's friendships, share fan art and browse the lively gaming communities. Make decisions that will change how Emmett grows, his approach to Videoverse and, ultimately, the final outcome!

Will your actions help Videoverse thrive, or will you get caught up in teenage drama, video game fandoms and corporate conspiracies?",90
Chicory: A Colorful Tale,2021-06-10,Rating not found,"Something terrible happened. Chicory, superstar artist and wielder of the Brush, is missing, and all the color in the land vanished with her. It's up to you, Chicory's number one fan, to pick up the Brush and fill in for her. It's a big job but you're ready for it! Probably! Chicory: A Colorful Tale is a top-down adventure game in a coloring book world where you can draw on anything. Use your painting powers to explore new places, solve puzzles, help your friends, and change the world!",90
Kentucky Route Zero - Act IV,2016-07-19,Rating not found,"Kentucky Route Zero is a magical realistic adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.",90
A Short Hike,2020-08-18,E,"Follow the marked trails or explore the backcountry as you make your way to the summit. Along the way, meet other hikers, discover hidden treasures, and take in the world around you. Explore the island any way you like. Choose your own path to follow and see where it leads you. You never know what you might stumble into!
    Hike at your own pace - there's no need to rush to the summit! Take your time fishing along the river banks or swimming by the lakeshore.
    Collect hidden treasures to reach new heights. Try taking a dive off the mountain peaks to soar above the forests.
    Chat with the other hikers you meet along your route. You might be able to help each other out!
    Listen to a lush original soundtrack by Mark Sparling that progresses dynamically as you explore the wilderness.",88
Night in the Woods,2017-02-21,Rating not found,"Night In The Woods is a 2D story-focused adventure/exploration game with many extracurricular activities to enjoy, characters to meet, and secrets to discover. Run, jump and use astral projection to explore the many sides of town of Possum Springs and the surrounding environs. Waste time around town with your crew of loser friends. Gain abilities that grant passage to new areas. Discover the secrets of a large cast of characters and the town itself. Experience a big crazy world and the remarkable events unfolding there. Play bass. Break stuff.",88
Kentucky Route Zero: TV Edition,2020-01-28,T,"Kentucky Route Zero is a magical realist adventure game about a secret highway in the caves beneath Kentucky. An antique furniture delivery man trying to make his small shop's last delivery gets lost along the way and meets a haunted TV repairwoman, a young boy and his giant eagle brother, a pair of robot musicians, and dozens of other characters. Together, they explore the nocturnal highways and country roads of Kentucky, the storied Echo River by ferry, and the mysterious Route Zero, the secret highway that runs through Mammoth Cave.",87
Immortality,2022-08-30,Rating not found,"Marissa Marcel was a film star. She made three movies. But none of the movies was ever released. And Marissa Marcel disappeared. An interactive trilogy from Sam Barlow, creator of Her Story.",87
Zack & Wiki: Quest for Barbaros' Treasure,2007-10-23,E,"Legend has it that a revered pirate named Barbaros once stole the world's treasure and hid it on a mysterious island. Though no one knows of its exact location, stories about the untold riches that lay in wait have been passed down through the ages, driving pirates from all walks of life to pursue the alluring prizes. One of these treasure seekers, a young apprentice pirate named Zack happens upon a mysterious talking skull, the skull of Barbaros himself. Barbaros promises to reveal the key to the island, if Zack will help to lift the curse he is under. Players explore a variety of wondrous environments and stages, solving puzzles and interacting with the world in search of a legendary pirate ship and the ultimate pursuit of becoming the greatest pirate the world has ever seen. Inventive gameplay mechanics and controller movements allow players to move and open objects, transform items, unlock new pathways and navigate through perilous stages based on a variety of themes including a jungle, ice temple, volcanic caves and more, each with multiple sub-areas. Players will use the Wii Remote controller in various ways - rotate handles, turn keys to open doors, play a piccolo and much more in order to solve the progressively difficult puzzle stages and collect key items that will lead to the legendary pirate ship. [Capcom]",87
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015-10-20,M,"In the final episode of the season, all hell is breaking loose. Jack is now in control of Helios' systems, and he is ready to reclaim his rightful place as king of Hyperion - with or without you. It's a mad dash to get out of the chaotic space station alive, as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora. Can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? Loyalties will be tested, secrets will be revealed, and explosions will be in large supply in this final chapter of Tales From The Borderlands.",86
Overboard!,2021-06-02,T,"GET AWAY WITH MURDER. Highly replayable detective game where you're the one whodunnit. From the creators of 80 Days and Heaven's Vault. JULY, 1935. A MURDER HAS BEEN COMMITTED aboard the SS Hook, eight hours out from New York. Only one problem: you did it. Can you get away with murder?

GAMEPLAY

Blackmail a spy. Fall in love. Murder a rival. Cheat at cards. Drug a witness. Lie, befriend, betray, console, sneak, seduce, steal, borrow, pray, eavesdrop, kill...

There are clues, evidence, suspects, accusations, secrets and lies.

You’ll need all your cunning, coercion and charisma to ensure that someone else takes the fall.",86
Kentucky Route Zero,2013-02-22,Rating not found,"Kentucky Route Zero is a magical realistic adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it.",86
Her Story,2015-06-24,Rating not found,"Her Story is the new game from Sam Barlow, creator of Silent Hill: Shattered Memories and Aisle. A crime fiction game with non-linear storytelling, Her Story revolves around a police database full of live action video footage. It stars Viva Seifert, actress and one half of the band Joe Gideon and the Shark.",86
Pentiment,2022-11-15,M,"Step into a living illustrated world inspired by illuminated manuscripts and printed woodcuts in a time when Europe is at a crossroads of great religious and political change. Walk in the footsteps of Andreas Maler, a master artist who finds himself in the middle of murders, scandals, and intrigue in the Bavarian Alps. Choose your backgrounds, impact a changing world, and see the consequences of your decisions in this narrative adventure.",86
