title,release_date,rating,description,metascore
Flipnote Studio,2009-08-12,Rating not found,"[DSiWare]  Let your inner artist loose with Flipnote Studio, an easy to use and surprisingly powerful animation application. Create Flipnotes by using the stylus to write letters and draw pictures, capture sounds using the microphone, and even insert photos captured with the Nintendo DSi Camera. Save a Flipnote with multiple pages that run successively and you've just made an animated Flipnote that works like a flip book! And if you feel like sharing your masterpiece, send it to your Flipnote friends or, if you are a registered Hatena.com user, release it via Flipnote Hatena, an online service run by Japanese Web-service provider Hatena. With such a large set of tools available, you’ll quickly find that there are many ways to enjoy Flipnote Studio. [Nintendo]",93
Colors! 3D,2012-04-05,E,Colors! 3D is a simple yet robust painting application that combines ease of use and powerful painting tools.,89
KORG DS-10 Synthesizer,2008-11-04,E,"Designed after the famous KORG MS-10 music synthesizer, KORG DS-10 is a music-creation program for professional and aspiring musicians alike.  The sound sources in the KORG DS-10 come from KORG, one of the world’s top musical instrument producers, and no effort was spared in the replication of creating high-quality sounds. The Nintendo DS’s touch-screen controls are utilized to the fullest to provide an authentic feel and operability across a dual-screen layout that is unsurpassed in portable music creation.  A 6-track/16-step sequencer enables precise control and provides a wide range of musical possibilities, and up to eight units can be linked via wireless connection to play together or to exchange sounds and songs. [XSEED]",82
KORG DS-10 PLUS,2010-02-16,E,Turn your DS into an enhanced version of te KORG DS-10 synthesizer.,81
Beaterator,2009-09-29,E,"Beaterator for the PSP system is both a powerful music mixer with robust beatmaking features, as well as a collection of original music and rhythm games and challenge modes - all available in the palm of your hand. [Rockstar]",80
MTV Music Generator 3: This Is the Remix,2004-06-22,T,"Create and sample original music tracks as well as remix some of the hottest songs from today?s biggest hip-hop and electronica artists. Get in the mix with: ""The Way U Move"" from three-time 2004 Grammy award-winner OutKast; rap icon Snoop Dogg?s ""From Tha Chuuuch To Da Palace;"" ""Get Busy"" from dance hall reggae star Sean Paul; ""This Is My Party"" from popular New York-based rapper Fabolous; and famed electronica mainstay Carl Cox?s ""Katja."" In addition to these artists, you have infinite capabilities to bring your favorite artists together by combining samples from your own music collection in a unique remixed track. [Codemasters]",79
MTV Music Generator 2,2001-06-07,T,"Oh, I get it!  THIS is what Puffy uses:  a music-making program that lets players sift through libraries of riffs, vocal loops, and vocal effects before producing an ""original"" piece of music.",77
Game Builder Garage,2021-06-11,E,Have you ever dreamed of building your own video games? The Game Builder Garage™ software is a great place to start! Anyone can learn the basics of game design and visual programming with step-by-step lessons created by the minds at Nintendo.,77
Colors Live,2021-09-14,E,"Colors Live, the sequel to the critically acclaimed painting game Colors! 3D is finally coming to the Nintendo Switch along with a pressure sensitive Colors SonarPen included in every physical unit. Based on modern painting techniques originally developed for professional drawing tablets, Colors Live is tailored for the Nintendo Switch, and caters to everyone from serious artists to aimless doodlers. Whether you are looking to sketch, paint, or draw up your next plans for world domination, Colors Live is the perfect digital sketchbook.

    Colors SonarPen- features Pressure-Sensitivity, a natural painting feeling and fully customizable stroke thickness, opacity, or both.
    Paint Anywhere- Paint from the comfort of your own home or on the go!
    Colors Quest- a creative new game-mode, where you spend a little time painting every day to progress and level up. Designed for beginners and masters alike, you’ll get to see how your painting skills improve day-by-day.
    The Colors Gallery- Colors Live also features integration with the widely popular Colors Gallery to which the community has uploaded an astonishing 4 million paintings, each with a unique Painting Playback. Follow your friends and talented artists and share your creations with the world.
    Painting Playback- Record or watch as a painting comes together from start to finish and learn how it was created.

View Less",73
The Silent Hill Experience,2006-04-06,Rating not found,"(Note: This is not a video game)  The Silent Hill Experience combines a variety of media - comics, music and movies to deliver a complete behind-the-scenes look at the popular Silent Hill franchise. Using an intuitive 3D interface, Silent Hill fans will be able to view all-new digital interactive comics, listen to music from the long-running series of Silent Hill video games, and watch exclusive video content, including an interview with the director of the highly-anticipated Silent Hill motion picture. View over 2 hours of digital comics based on the popular Silent Hill comic series presented with haunted music. Includes the acclaimed comic series Silent Hill: Dying Inside and a brand new Silent Hill story The Hunger. 20 unforgettable music tracks selected from series' producer and music composer Akira Yamaoka. Exclusive video interview with the director of the Silent Hill movie Christophe Gans and series' music composer Akira Yamaoka. Rare video content from previous Silent Hill games. [Konami]",72
Electroplankton,2006-01-09,E,"Electroplankton is a ""touchable media art"" game that presents the player with ""soothing music"" and graphics on the DS's two screens. The game features 10 ""digital planktons"" that respond to players when they touch the screen or use the microphone. Planktons react by making gestures and sounds of their own. The game takes further advantage of the DS's microphone by recording and playing back sounds and voices as tunes.",71
100 Classic Books,2010-06-14,Rating not found,"It was the best of times, it was the worst of times - the iconic opening line from ""A Tale of Two Cities"" by Charles Dickens. Well, now you can definitely enjoy the best of times with Mr Dickens and scores of his fellow writers with the 100 Classic Book Collection on Nintendo DS! Turn your Nintendo DS into a pocket-sized library with 100 timeless novels from some of the greatest writers in history. Enjoy the exciting escapades of the swashbuckling Long John Silver in ""Treasure Island"", marvel at the redoubtable skills of the most famous detective of all time in ""the Adventures of Sherlock Holmes"", or run the course of true love with Elizabeth Bennet in ""Pride and Prejudice"" - the choice is yours! Entering this world of words couldn’t be easier - simply hold your DS like a book and use the stylus to effortlessly turn the pages. You can adjust the text size to whatever suits you best and a bookmark feature means dog-eared pages are a thing of the past. Can’t decide what you’re in the mood for? The 100 Classic Book Collection allows you to search for books in a number of different ways, such as subject matter and length, meaning you can find a suitable story in seconds. As well as the novels, you can access book introductions and find out more on the authors themselves - there are also additional books that you can download via Nintendo Wi-Fi Connection! [Nintendo]",70
Master of Illusion,2007-11-26,E,"(Known as ""Magic Made Fun"" in the UK/EU)  Unique magic tricks - possible only on the Nintendo DS - stun your audience in to saying ""How'd you do that?"" Become the master of your DS as you learn, perform and amaze your friends and family. The secrets of magic are now yours to behold. Step-by-step tutorials let you unlock the mystery of more than 20 tricks. Three individual modes make this game fun solo or with friends. A “special” deck of cards packaged with the game creates a fully portable magic kit. Now the fun extends beyond your Nintendo DS. Interactive tricks make the DS your magic assistant. Draw; speak; tap; instruct; and blow in to the microphone to astonish your audience. The learning curve keeps growing: unlock new tricks as you advance in skill. [Nintendo]",69
PixelJunk 4am,2012-05-15,E,"Spiral into the crazy, ambient, mellow world of PixelJunk 4am. Create your own music using 4ams unique Virtual Audio Canvas to mix tracks, experiment with audio effects and control your composition using the PlayStation Move controllers full range of motion. 4am gives you the power to make breathtaking music and visuals and perform live to the world through streaming on PSN.

Consumption of hallucinogens not compulsory prior to play.",63
RPG Maker MV,2020-09-08,E10,"An epic journey begins... with YOU! Become a master game developer with RPG Maker MV. With an arsenal of tools at your fingertips, create elaborate, exciting, and memorable video games straight from your console! Then, share your adventures online with other players, who can enjoy your epic chronicles! The possibilities are endless with the latest and greatest RPG Maker software. With hundreds of assets and an infinite number of ways to create your game, turn your dream tale into the next great video game!

Features:

* Your Next Adventure Begins Here -- A high fantasy tale of knights and dragons? A modern story of high school romance? A chronicle of gods and demons? If you can dream it, you can make it!

* Game Development Made Easy -- Say goodbye to complicated coding! This software provides ease of navigating and development with straightforward world and character creation, overworld customization, and more!

* Make, Upload, Play! -- Enjoy games made by fellow gamers with the RPG Maker MV Player, free for download and play, even without the RPG Maker MV software!

* An Endless Fountain of Customization -- With hundreds of graphical assets and an infinite number of possibilities to create your very own world and story, the sky's the limit!",59
Pokedex 3D Pro,2012-11-08,E,"Take a huge amount of Pokemon knowledge with you wherever you go with Pokedex 3D Pro! The Nintendo 3DS application has stats and information on every known Pokemon, including evolution paths and lists of moves each can learn. And of course, you can view all the Pokemon in incredible 3D!

Use Pokedex 3D Pro along with the Pokemon Black Version 2 and Pokemon White Version 2 games to become the best Pokemon Trainer you can be!",59
You're in the Movies,2008-11-17,E,"You're in the Movies brings the cool factor to kitsch as you live out your dreams of becoming a scream queen, zombie, or kung fu fighter. Premiering exclusively on Xbox 360 this holiday season, it's the first and only game of its kind to transport players into a magical world of cinema mixed with the hilarious world of improvisation. Using the Xbox LIVE Vision camera, players' actions are captured and placed into short, riotous films that highlight the unique and often dubious acting talents of friends and family. Performances never end up on the cutting room floor and are never the same. With You're in the Movies, you're about to be a star - if only straight to DVD. Get ready for your close-up. [Microsoft]",55
Xbox Music Mixer,2003-10-27,E,"Xbox Music Mixer lets you go freestyle with your digital media. Bust out the mike for ready-made Karaoke with onscreen lyrics, or strip out the vocals from nearly any song in your collection to lay down your own rhythm and rhyme. You can even display your photos on your TV and create a soundtrack to match. With Xbox Music Mixer, you can record and playback your performances anytime, access your digital music and photos from your PC, and even download new songs and visual effects from Xbox Live.",49
