title,release_date,rating,description,metascore
Pac-Man Championship Edition DX,2010-11-17,E,"PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player's pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode.",93
Pac-Man Championship Edition DX +,2013-09-24,E,"PAC-MAN CE DX + upgrades one of 2010's most celebrated downloadable titles with improved leaderboard functionality, in-game achievements and medals, as well as access to additional DLC mazes, music and graphics including classic DIG DUG and RALLY-X sprites. Players will chomp through bright neon mazes at blistering speeds in this modern update to the classic PAC-MAN gameplay.",86
Shatter (2009),2009-07-23,E,"[Playstation Network]  Shatter reminds players of classic brick-breaking games, but with twists that make it modern and unique including: Innovative controls, physics effects, power-ups, special attacks, and boss battles which combine to provide an experience that is always interactive. Standard, Boss Rush and Bonus game modes enhanced with leaderboards and trophies. Vibrant 3D style presented across 10 distinct worlds in 4xAA 60fps HD. A fully scored soundtrack featuring more than 90 minutes of rich original music. [Sidhe]",86
Pac-Man Championship Edition,2007-06-06,E,"[Xbox Live Arcade]  Pac-Man returns in this enhanced version of the all time classic videogame. Pac-Man Championship Edition has many new and unique gameplay features, but still spotlights the big yellow PAC-MAN we all know and love. The enhanced version now features constantly evolving mazes, a time limit, and six different game modes. Graphics and sound have been fully enhanced in this new version of the classic game. You'll have to practice hard and play well to conquer the increased gameplay speed! Remember, this is the Championship Edition so you know it will provide a good challenge. [Microsoft]",83
Overcooked! 2: Surf 'n' Turf,2018-10-03,E,,83
Killer Queen Black,2019-10-11,E10,"Fly solo, or team up with three of your friends as you race to complete one of three possible victory conditions. Killer Queen Black, a new take on the arcade eSport Killer Queen, has been rebuilt from the ground up and optimized for console. The gameplay is immediately recognizable and familiar, yet it introduces exciting new twists and online play for the home audience. Killer Queen Black is the follow up to Killer Queen that fans have been begging for.",83
Overcooked! 2,2018-08-07,E,"Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons... it's time to save the world (again!)

FEATURES:

* Online/Local Multiplayer Madness - You'll knead to work together to get the highest score in chaotic local and online multiplayer.

* Feast Your Eyes On This - Cook in new kitchens ranging from sushi restaurants, magic schools and mines!

* Romaine Calm! - Travel through teleporters, across moving platforms and save time by throwing ingredients across dynamic kitchens that shift and evolve.

* Whet Your Appetite! - Cook up a range of new recipes including sushi, cakes, burgers and pizzas.",81
Pix the Cat,2014-10-07,E,"PIX the CAT is an arcade game designed to make your pads sore. Rescue forsaken ducklings from the nested levels of the infamous GRID of INFINITY. Perfect your skills to SPEED and COMBO UP until you reach the FEVER TIME. Defeat your friends at home in the combat ARENA and compete online with the GHOST feature. Surprising surprises are hidden along your adventure, eager to please you when you least expect it.",80
Pac-Man Championship Edition 2 Plus,2018-02-22,E,"A new sequel in the highly acclaimed PAC-MAN Championship Edition series finally comes to next-generation consoles and PC! Taking highlights from the past, PAC-MAN Championship Edition 2 takes the best aspects from Championship Edition and Championship Edition DX and evolves the game for the future! Featuring eye-popping 3D graphics and funky visuals, the latest version of the classic game takes chomping and chasing through mazes to a whole new level! Get on the train, a new PAC experience is coming!",80
Race the Sun,2013-08-19,Rating not found,Race the Sun is an intense action game that could be described as a mash-up of Star Fox and Temple Run with a community focus.,79
Pac-Man 256,2016-06-21,E,PAC-MAN 256 is the maze that never ends.,79
Overcooked!,2016-08-02,E,"Overcooked is a chaotic couch co-op cooking game for one to four players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out in a huff.",78
Part Time UFO,2020-10-28,E10,"Help the citizens of earth as a cute little UFO with a handy extendable claw

Move objects to the designated platform and balance, arrange, and build to help earthlings complete jobs! Tasks range from farming, fishing, and stacking cheerleaders. Wait…what? Each puzzling job has multiple objectives hinted at through pictures. Solve them to earn in-game medals and unlock even more jobs—just keep an eye on the timer.

Pass a Joy-Con™ controller to a friend for some duo UFO puzzle solving

Recruit a friend and complete any job in cooperative mode. Each job also has a more difficult variation that’s perfect for two players. Jobs may have more objects to move or other challenges to keep the action fresh for your UFO buddy. Two claws are better than one!

Reach for the stars (and a high score) in the Tower of Infinity

The sky’s the limit in the Tower of Infinity mode! Stack objects that are flown in on helicopters to build the tallest tower you can. Be careful not to let anything fall of the platform or the round will end. A second player can join you on your journey to build the tallest tower possible.

    Take on jobs like helping a farmer load a truck, arranging circus animals, and rebuilding a temple. In addition to the medals you’ll earn to unlock other stages, you’ll receive some in-game currency for each job you complete. Redeem your hard-earned currency for adorably useful costumes. Dress like a ninja for a sneaky look and a speed boost, or don the safety helmet to stop quickly when zooming around the screen.
    Check out the Feats of Glory for extra challenges to complete as you play. For example, try to transport a total of 160 objects across all jobs or get a total of 54 medals. Complete four of these feats to unlock an animated illustration.
    Once you master your claw-swinging, object-stacking skills, you can go for a treasure hunt! In this mode you must solve puzzles and collect treasure as you explore treacherous ruins. Whether you want to help out earthlings, build your Tower of Infinity, or explore for treasure, the Part Time UFO game is full time fun.",78
Pac-Man Championship Edition 2,2016-09-13,E,"A new sequel in the PAC-MAN Championship Edition series comes to next-generation consoles and PC. Taking highlights from the past, PAC-MAN Championship Edition 2 takes the best aspects from Championship Edition and Championship Edition DX and evolves the game for the future Featuring 3D graphics and funky visuals, the latest version of the classic game takes chomping and chasing through mazes to a new level.",77
Pac-Man 99,2021-04-07,E,"40 years after the classic Pac-phenomenon rocked the gaming world, PAC-MAN is back in a new 99-man battle royale. Get back in the maze and chase down the iconic ghosts. 

Who will be the last PAC-MAN standing?",76
Stikbold! A Dodgeball Adventure,2016-04-05,E,"Take charge of Stikbold superstars Bjorn & Jerome as they set out on a heroic rescue missoin in the name of love... and glory! Partake on an epic journey that will test your skill as well as your friendship, and remember - ""no one is a team alone!""",75
Centipede: Recharged,2021-09-29,E,"Initiate insect extermination in this widescreen glow-up of one of the greatest arcade games of all time. The rules are the same as 1981: shoot the centipedes as they descend the playing field, and contend around the shot-blocking and path-altering mushrooms they leave behind. New to Centipede: Recharged are power-ups dropped by the spiders, such as explosive bullets, spread shots, and a devastating railgun. Fight for high scores in Arcade mode either solo or with a new simultaneous couch co-op feature. Tackle more than two dozen challenges that test bug-shooting prowess and introduce clever uses for the new powerups, with additional challenges exclusive to the Atari VCS. Take it to the next level with global leaderboards for the best records in the world, and earn more than 15 achievements.",74
Akka Arrh,2023-02-21,E10,"A cascade of words, color, shapes and sound flows around your turret as you desperately fight off swarms of inbound attackers. If enemies penetrate your perimeter you need to zoom into close range combat and beat them back, adjusting to a completely different perspective in the blink of an eye. Welcome to Jeff Minter's Akka Arrh.

This modern take from the fine developers at Llamasoft combines the intrigue of an incredibly rare Atari arcade prototype with a unique creative vision that delivers a wave shooter that is insanely addictive. Akka Arrh drips with Minter's sense of humor, love of psychedelic color, and ability to create games that are a joy to play.",72
Quantum: Recharged,2023-08-17,Rating not found,"Quantum: Recharged reimagines the classic 40 years since its arcade debut, featuring modern flourishes that have become a staple in the Recharged series. 

In Quantum: Recharged, players must defeat waves of enemies by encircling and entrapping groups of foes with their ship to create punishing dead zones that destroy them. With no on-board guns, lasers or missiles to shoot enemies down, Quantum: Recharged challenges players to avoid taking damage and progress through increasingly difficult levels by mastering their ship's maneuverability.

A fusion of frenetic gameplay and quick-thinking problem-solving, Quantum: Recharged is a visual cosmic wonder complemented by an energetic original soundtrack from award-winning composer Megan McDuffie, featuring soaring melodies and infectious beats.",72
The Typing of The Dead: Overkill,2013-10-29,M,The Typing of the dead: Overkill brings together the horror and comedy of the legendary House of the Dead series with unique typing mechanics in order to deliver a unique gaming cornucopia.  This visceral shooter puts you in the middle of a mutant outbreak in Bayou county.,71
Bird & Beans,2009-04-05,E,"[DSiWare; Also known as ""Pyoro""]  Using an elastic tongue, players must scramble to collect falling beans. The harder a bean is to catch, the more points it's worth. [Nintendo]",71
Paperboy,2007-02-14,E,"[Xbox Live Arcade]  Can you deliver? Keep your subscribers happy by tossing newspapers on their doorsteps with perfect accuracy. Pedal fast and avoid obstacles to make the headlines and bring home the bacon. Challenge: Stay on the road and keep your subscribers happy in Easy Street, Middle Road, and Hard Way difficulties. Earn 12 different achievements to add to your gamerscore, as well. Multiplayer: Play with a friend online or off with co-op multiplayer modes in both split screen and Xbox Live modes. Xbox Live: Keep track of your victories with leaderboards updated weekly and for all time! [Microsoft]",71
Fruit Ninja Kinect,2011-08-10,E,"YOU are the ninja! The worldwide gaming phenomenon Fruit Ninja has now arrived for Kinect! Your arms are now blades, and the epic battle against the world’s most delicious produce is just beginning. Fruit Ninja Kinect is an amazing
evolution of the slice-em-up genre created by Halfbrick, utlising next-gen power for the juiciest combat ever! With Classic, Zen and the frenetic Arcade Mode, Fruit Ninja Kinect includes all the action you know and love with precision
control - along with special features exclusive to Kinect! With Party Mode, multiple players can turn a normal night into a fierce tournament - and the new Challenge system will reveal the true masters among your friends!",71
oOo: Ascension,2018-05-25,E,oOo: Ascension is a lightning-paced test of reflexes and skill - can you navigate your ship through these short but ferociously challenging courses? Every millisecond counts in this retro-futuristic world of miniature planets and massive frustration. [Microsoft],70
BurgerTime Party!,2019-10-08,E,"A Feast for the senses - chock-full of carefully crafted stages with new hazards such as icy ladders, conveyor belts, and fiery floors, along with colorful characters inspired by old-school cartoons",70
Nervous Brickdown,2007-06-26,E,"Nervous Brickdown allows players to revisit old school roots with a twist to the classic breakout game.  Revamped, restyled and stepping into the next generation of handheld gaming, Nervous Brickdown refreshes the player's skills in paddle and ball gameplay while introducing new gameplay elements across 135 levels, like controlling spaceships to blast away bricks or even drawing a custom paddle. Featuring 135 diverse levels spanning over 10 unique modes, Nervous Brickdown turns classic brick-breaking gameplay on its head by taking players into other retro gaming worlds such as intense space shooters, action platforms, and scary haunted houses.  Do everything from controlling submarines or blowing the ball into bricks to taking on boss monsters. Designed especially for the Nintendo DS, Nervous Brickdown takes full advantage of the DS’ hardware utilizing the dual screen, stylus, and microphone to present an interesting visual style, charming soundtrack, and unique gameplay features which breathes new life into the brick-breaking genre. [Secret Stash Games]",70
The Collider 2,2016-04-19,Rating not found,"Destroy the colossal mothership looming over the planet and save your homeworld. With a fleet of high-tech starfighters at your disposal, take on a series of suicidal missions to destroy the alien invader from the inside.",70
Gravitar: Recharged,2022-06-02,E,"A lone pilot, far from home, must navigate an abstract universe of uncharted planets and space stations guarded by mysterious, hostile aliens in Gravitar: Recharged. You must complete missions in each solar system, navigating a variety of challenging environments, each with varying levels of gravity that will test your skills as a pilot. Complete each mission within a solar system and you will be transported to the next through a massive black hole. Will you ever make it home? The visual aesthetic of Gravitar: Recharged takes the Recharged series in a new direction, with expansive environments rendered in painterly style and pastel tones. In the capable hands of industry-veteran composer Megan McDuffee, the original soundtrack complements the art style with soothing, atmospheric tracks that evoke a sense of wonder.",70
Radical Rabbit Stew,2020-07-16,E,"Radical Rabbit Stew is an action-packed title that combines puzzle-solving with fast-paced whack-a-rabbit gameplay, delivering bite-sized pick-up-and-play action, juicy pixel graphics and a sizzling soundtrack in one mouth-watering package.",70
Fruit Ninja Kinect 2,2015-03-18,E,"Your arms are weapons. Use your body to slice fruit as it flies across the screen. Dodge spotlights, throw shurikens and strike ninja poses.",69
Twin Breaker: A Sacred Symbols Adventure,2020-03-24,E,"The United States sends generation ships to nearby star systems to find new planets to colonize. But once in interstellar space, the ships mysteriously disappear. When clues emerge about the missing spacecraft, two pilots jump through a wormhole into a story-driven brick breaker in the spirit of Arkanoid and Breakout.",69
Break 'Em All,2006-06-20,E,"Jam packed with levels ranging from the super simple to mensa difficult, Break'em All offers classic arcade puzzle solving action as players fight their way through multiple levels and out-duel challenging bosses. Three unique gameplay modes such as Tokoton, Quest and Survival offer compelling single player action or multiplayer games for 2-8 players via the wireless feature for Nintendo DS. Players will control their paddle with pin-point accuracy using the touch pad and stylus and select from diverse bonus powers to power-up their ball. [D3]",68
Arkanoid: Eternal Battle,2022-10-27,E,"Discover or re-discover, the emblematic block breaker game in a fully modernized version! Classic elements from the franchise will definitely make a comeback, with a brand-new look, new rules, as well as new effects, bonuses and features!

For the first time ever, players will be able to compete against each other, offering an online experience thanks to the Eternal Battle mode, the main new feature of this game, bringing the arcade experience to a whole new level. This Battle Royale mode offers the possibility to compete among 25 players online.",68
Hyperballoid HD,2010-04-22,E,"Hyperballoid HD puts a surreal spin on a classic arcade style, inviting players to smash their way through one hundred unique and challenging levels contained within two visually stunning game worlds. This addictive game includes a unique trophies system and supports 1080p high-definition graphics as well as all standard resolutions. With outrageous animation, smooth controls, over-the-top power-ups, a bass-heavy techno soundtrack, and realistic physics developed exclusively for the PS3, Hyperballoid HD truly is a next-gen brick breaker. [Alawar Entertainment]",67
Nerve,2021-02-16,Rating not found,"Hurtle through beautiful unforgiving worlds, where every frame is enthralling, every moment is exhilarating, every death is deserved, and every success is earned.",67
Magic Orbz,2009-01-15,E,"Smash your way through nearly 50 fun locations, featuring pirates, sharks and castles filled with noble knights and courtly ladies. Challenge a friend to see who can clear the area first, or work together to finish in record time. Power up with over 24 unique upgrades to your game paddle. Supports in-game live voice communications, and 12 wacky trophies for maximum ball-bashing fun. [Creat Studio]",66
Viral Survival,2010-05-24,E,"[WiiWare]  Viral Survival is an ""escape"" action game where you control a special DNA unit and dodge through enemy virus attacks. If you save a friendly DNA unit they will connect to you, creating a tail. The more you save, the higher point total you will accumulate. There are also four other game modes, including one where you can shoot the enemy down and compete for number of kills, and a time attack mode to save 128 DNA units in the shortest time possible. For all five game modes your score can be ranked online. Try your best to become number one in the world.",66
Burnout Crash!,2011-09-21,E10,"This is an action game in which players earn points for creating traffic pileups. From a top-down perspective, players initiate crashes by driving 'cartoony' vehicles (e.g., cars, trucks, vans, buses) into busy intersections; multiple crashes trigger score multipliers and rack up large 'bills' of property damage. Each level is accompanied by crashing sounds, small explosions, and vocal encouragement (e.g., 'Cool,' 'Maximum Carnage!'). In some levels, players are instructed to crash into police cars (e.g., 'Crash them before they bust you!'); in other sequences, oversized airplanes, tornados, lobster monsters, and UFOs slide across the screen, destroying any vehicles in their path.",66
Dig Dug,2006-10-11,E,"[Xbox Live Arcade]  Experience the fast-paced action of this quarter-cruncher from 1982 as you take control of Dig Dug himself and vanquish Pookas and Fygars. Using your trusty pump, inflate your enemies until they pop, or squash them under rocks. Don't hesitate, or you could get squashed yourself. Drive your high score up by taking out enemies further underground, or making more difficult kills. Dig! Propel Dig Dug through underground tunnels as he hunts down monsters. The more dirt you move, the more points you get. Watch out for treacherous rocks and use them to your advantage. Fight! Just because your enemies start in tunnels doesn't mean they have to stay there. Watch out for them sneaking up on you and make them pay! Collect! Drop more than two rocks and look for icons to start appearing in the center of the map! Collect these items, including the ship from the Xbox Live Arcade game Galaga, to drive your score higher. [Microsoft]",65
