title,release_date,rating,description,metascore
I Was a Teenage Exocolonist,2022-08-25,Rating not found,"Spend your teenage years on an alien planet in this narrative RPG with card-based battles. Explore, grow up, and fall in love. The choices you make and skills you master over ten years will determine the course of your life and the survival of your colony.",91
Slay the Spire,2019-01-23,E10,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!",89
Hearthstone: Heroes of Warcraft,2014-03-11,T,Hearthstone is a free-to-play digital strategy card game where you can choose one of nine epic Warcraft heroes to play as.,88
Legends of Runeterra,2020-04-29,T,"Face off in dynamic, alternating combat full of opportunities to adapt and outplay. Make your move, but be ready to react, because your opponent has a plan of their own. It all comes down to this—can you outwit them and win?",87
Hex: Shards of Fate,2016-04-19,Rating not found,A trading card MMO game.,87
Monster Train,2020-05-21,Rating not found,"Monster Train is a strategic roguelike deck building game with a twist. Set on a train to hell, you’ll use tactical decision making to defend multiple vertical battlegrounds. With real time competitive multiplayer and endless replayability, Monster Train is always on time.",86
Inscryption,2021-10-19,Rating not found,"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...",85
Hearthstone: Heroes of Warcraft - Whispers of the Old Gods,2016-04-26,Rating not found,"This sinister expansion revolves around the dark influence of the Old Gods, ancient and unspeakably evil creatures that have long lay hidden, imprisoned in the dark places of the world millennia ago. Despite their imprisonment, these shadowy beings' influence can be felt in every corner of Azeroth, twisting and corrupting any who hear their maddening whispers. With an army of followers performing forbidden empowerment rituals, the tentacles of these massive horrors are growing rapidly toward the light, eager to bring their own kind of excitement to the sunlit kingdoms and merry taverns of Azeroth.",85
Thronebreaker: The Witcher Tales,2018-11-09,Rating not found,"From the creators of The Witcher 3: Wild Hunt comes a brand new tale set in the brutal and twisted universe of witcher Geralt of Rivia. The world stands on the verge of chaos, as the tensions between the power-hungry Nilfgaardian Empire and proud Northern Realms grow. Facing an imminent invasion, Meve — war-veteran Queen of Lyria and Rivia — is forced to once again enter the warpath, and set out on a dark journey of destruction and revenge.",85
Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes,2014-12-08,Rating not found,Goblins vs Gnomes delivers 143 newly added minions and spells.,84
SNK vs. Capcom: Card Fighters' Clash,2022-01-12,E,"Characters from SNK and CAPCOM clash in this epic card fighting game!

Introducing! SNK VS. CAPCOM: CARD FIGHTERS' CLASH, a white-hot card fighting game for the NEOGEO POCKET COLOR (released in 1999), is coming to Nintendo Switch™!

Back then, SNK VS. CAPCOM: CARD FIGHTERS' CLASH was sold as two separate games; the SNK Cardfighter's Version and the CAPCOM Cardfighter's Version. But now, both have been combined into one game! There's nothing stopping you from collecting all the cards!

-SNK icons like Terry, Nakoruru, and Marco clash against CAPCOM legends Ryu, Chun-Li, and Mega Man in this insane card fighter!

-There are 300 cards in total, where characters from both SNK and CAPCOM appear as Character Cards for fighting, and Action Cards for support during battle. Go out there and make the strongest fighting deck in the world!

-You can trade between both the SNK and CAPCOM Cardfighters' Versions. What's more, you can even use their individual save data to have them battle each other!

*You may switch between the SNK Cardfighter's Version and CAPCOM Cardfighter's Version at any time, but each has their own save data.

*You may switch between the Japanese and English versions at any time, but each has their own save data.

*Trading between Japanese and English versions is not possible.

*The manual included in the game it is from the NEOGEO POCKET Color edition. Therefore, some of the controls may vary on Nintendo Switch.",84
Hearthstone: Heroes of Warcraft - The Grand Tournament,2015-08-24,Rating not found,"132 new cards add a cavalry of noble knights, powerful steeds, potent spells, and more to your collection. A new keyword, Inspire, rallies minions to perform great acts of courage as they fight in your honor for a hard-earned victory.",84
Griftlands,2021-06-01,Rating not found,Griftlands is a deck-building rogue-like where you fight and negotiate your way through a broken-down sci-fi world.,84
Magic: The Gathering Arena,2018-09-27,T,"You know the name. Now download and get ready for the most colossal crossover card set in Magic: The Gathering's history. Unlock powerful decks, earn rewards by playing, and jump into action for players of all skill levels.",84
Gordian Quest,2022-06-23,Rating not found,"A sinister curse corrupts the land. Darkness reigns. Monsters roam. Scoundrels loot. Cowards flee. Heroes emerge.

Lead heroes on an adventure to save what's left of this fallen world and destroy the root of evil abound. Will you fall at the claws of your enemies or the consequences of your poor decisions? Your Gordian Quest is about to begin.

Gordian Quest is an epic roguelike / lite adventure that combines the best elements of deckbuilding, tactical combat and strategic decision-making. You will form parties of heroes whom you will have to lead and manage on grueling missions. Help them forge bonds and discover new skills among them. Be fearless and unwavering as you work to unravel the curses laid upon the lands and defeat the ultimate evil at the heart of it all.",84
