title,release_date,rating,description,metascore
Art Academy: Home Studio,2015-06-25,E,Also known as Art Academy: Atelier.,82
Art Academy: Lessons for Everyone,2012-10-01,E,"New Art Academy, as it is also known, features both Introductory and Advanced lessons - whether you are an old master or a complete novice - offering easy to follow, step-by-step guides to a variety of drawing and painting techniques, styles and materials. [Nintendo Life]",81
Kinect Nat Geo TV,2012-09-18,E10,"Kinect Nat Geo TV mixes family TV night with family game night by combining Kinect's ""reach in and explore"" interactivity with content from Nat Geo WILD. Solve mystifying puzzles, learn about the natural environment, get to know exotic animals and get inspired to care for the planet.",78
Brain Age 2: More Training in Minutes a Day,2007-08-20,E,"(Also known as ""More Brain Training from Dr Kawashima: How Old Is Your Brain?"")  Brain Age 2: More Training in Minutes a Day contains all-new activities to challenge a player's gray matter. The title is a series of trainings designed to give the brain a workout. The 17 new, engaging activities are all designed to help work the brain. Whether players are playing simple songs on a piano keyboard or monitoring the photo finish of a footrace, they'll love this new mental workout. When starting a new game, players take a series of tests and get a score that shows how old their brain is. This number is called the ""DS Brain Age."" With daily training over weeks and months, players strive to improve their mental acuity and lower their ""DS Brain Age."" Progress is charted in graph form. Players can keep up to four save files on one game card. Sharing a game allows players to engage in a picture-drawing quiz or other challenges with family and friends. Players also can use DS Download Play to send a demo to friends or compete with up to 16 players in one of four fun modes. [Nintendo]",77
Brain Age: Train Your Brain in Minutes a Day!,2006-04-17,E,"(Also known as ""Brain Training For Adults"" and ""Dr. Kawashima's Brain Training"")  Brain Age: Train Your Brain in Minutes a Day for Nintendo DS is a fun, rewarding form of entertainment everyone can enjoy, as it helps players flex their mental muscles. Brain Age is inspired by the research of Professor Ryuta Kawashima, a prominent Japanese neuroscientist. His studies evaluated the impact of performing certain reading and mathematic exercises to help stimulate the brain. Brain Age presents quick mental activities that help keep your DS brain in shape. Activities include quickly solving simple math problems, counting people going in and out of a house simultaneously, drawing pictures on the Touch Screen, reading classic literature out loud, and more. You can also play sudoku, the number puzzle game which has become an extremely popular feature in U.S. newspapers. On your first day of exercise, you will take a series of tests and get a score that determines how old your brain is. This number is called your ""DS Brain Age"". By performing daily exercises just minutes a day over weeks and months, the better you'll get at the exercises and the lower your DS Brain Age will become. [Nintendo]",77
Pokemon Art Academy,2014-10-24,E,"PokÃ©mon Art Academy boasts 40 lessons in which players can encounter favorite PokÃ©mon from throughout the series, such as Pikachu, Oshawott, Charizard, Torchic, Fletchling and Fennekin.",76
Art Academy,2010-10-26,E,"Art Academy: Learn painting and drawing techniques with step-by-step training gives both budding and experienced artists simple and creative tips and tricks to improve, enhance and even learn how to draw and paint.",75
Big Brain Academy,2006-06-05,E,"(Also known as ""Brain Flex"")  Big Brain Academy features 15 activities that test their brain powers in areas like logic, memory, math and analysis. Up to eight people can play with a single game card, and each activity takes less than a minute to complete.",74
My Spanish Coach,2007-11-06,E,Playing My Spanish Coach for 15 to 20 minutes a day is all you need to become fluent in Spanish. Other Features include: 8 touchpad mini-games to sharpen your mastery of the language at your own pace. Track your progress with charts showing your performance learning the language. Simple touch screen interface makes it perfect for anyone of any age. [Ubisoft],73
Wild Earth: Photo Safari,2006-05-02,Rating not found,"(Also known as ""Wild Earth Africa"")  Featuring breathtaking landscapes from the African Serengeti National Park, Wild Earth is an adventure which allows players to experience the African wildlife in its natural environment. Players embark on various assignments, each of which feature different photographic objectives, challenging the player to explore the lush 3D world and take the best photographs of animals and environmental features. At the end of each assignment, an html article is created using the player's own photographs which provides additional in-depth information and insight. These articles can be printed, saved or shared. [Digital Jesters]",72
Disney Art Academy,2016-05-13,E,"Master the art of drawing beloved Disney and Pixar characters!

Step-by-step lessons can teach anyone how to draw.

Add some magic to your art! The Magic Brush makes it easy to add patterns, such as sparkles or stars, to any work of art.

Go from amateur to expert with over 80 characters to draw!",72
Brain Age: Concentration Training,2013-02-10,E,"(Also known as ""Dr. Kawashima's Devilish Brain Training: Can You Stay Focused?"")Brain Age: Concentration Training offers newly designed training exercises that will challenge players with activities to help improve their concentration skills and the ability to access their short term memory.",69
My Word Coach,2007-11-06,E,"Do you ever feel at ""loss for words""? Would you like to express yourself more clearly and with confidence? Want to improve your vocabulary in a straightforward and entertaining way? In your daily life, knowing the right word can make all the difference! My Word Coach offers a fun and challenging way to improve verbal skills through a series of engaging activities and exercises. The game was inspired by ongoing vocabulary acquisition research by Thomas Cobb, University Professor in Applied Linguistics at the University of Quebec. Enjoyable activities include word recognition, spelling challenges, and vocabulary definition, including 16,800 words from the Cambridge Advanced Learner's Dictionary. When you play, My Word Coach assesses, monitors, and rewards your Expression Potential, a score that represents your ability to command and use the English language. The higher the number (out of a possible 100%), the better you are able to express yourself! While the Wii version takes advantage of the Wii Remote through lively mini-games and easy-to-use controls, the Nintendo DS version makes full use of the system’s unique, dual Touch Screen. [Ubisoft]",68
