title,release_date,rating,description,metascore
World Class Poker with T.J. Cloutier,2005-08-22,T,"2 CD's filled with in-game expert play recommendations, loads of scenario tips, and numerous quiz questions with thoroughly explained answers, all from the world's winningest poker player, T.J. Cloutier. The replay mode allows you to see all your opponents' hole cards as well as each person's probability to make his or her hand. Includes no limit, limit and satellite tournaments, heads up play, as well as Texas Hold'em, Omaha, 7 Card Stud and 5 Card Draw games. The most comprehensive poker strategy tutorial ever created doesn't just teach you how to play Texas Hold'em, you'll learn what to play, when, where and why. [Masque Publishing]",78
Full House Poker,2011-03-16,T,"Compete against your Xbox LIVE friends on Xbox 360 and build your bank roll on the go with a companion game on Windows Phone 7. Play a quick two-player game for some lightning action, join a big 30-player tournament, or play a round of Texas Heat, our live poker game show where you play with thousands of players worldwide and have 30 minutes to bluff, bet, and raise your way to the final table!",77
World Series of Poker 2008: Battle for the Bracelets,2007-09-26,T,"In World Series of Poker 2008: Battle for the Bracelets, players challenge over 30 of the world’s top poker champions. With intense heads-up tournament play, expansive poker tutorials, and strategy clips from Phil Hellmuth's Ultimate White to Black Belt Course, players can learn from the very best in the industry and take on all opponents in real-world locations such as Las Vegas and New Orleans. The game features Phil ""The Poker Brat"" Hellmuth Jr. -- owner of a world record eleven WSOP bracelets -- in a special Beat The Brat Heads-Up mode and thrusts players deep into the high-stakes world of tournament poker to face off against other A-list pros such as Johnny Chan, Chris ""Jesus"" Ferguson, and Mike ""The Mouth"" Matusow on the quest to win the championship bracelet for the $10,000 Main Event and over $60MM in total prize money. [Activision]",74
Pure Hold 'Em,2015-08-18,T,"Pure Hold’em has full online multiplayer support. You can create a tournament with up to 8 of your friends, or join an open table with other players looking for a quick poker fix. [VooFoo]",73
Poker Night at the Inventory,2010-11-22,E10,"Poker Night at the Inventory features the stars of Sam and Max, Team Fortress, Penny Arcade, and more during their off hours.",71
World Series of Poker: Tournament of Champions,2006-09-21,T,"World Series of Poker: Tournament of Champions takes a story-based approach putting players on the Pro Circuit as a new pro and protégé of Chris ""Jesus"" Ferguson. Players test their skills at the premier Circuit Events in hopes of qualifying for the winner-take-all, invitation-only Tournament of Champions at the Rio Resort in Las Vegas.  Along the way, they face-off against more top pros than ever before, including Joseph Hachem, the 2006 World Series of Poker Main Event Champion and Jennifer Tilly, the Academy Award nominated actress and World Series of Poker bracelet holder, among others in hopes of bringing home the Tournament of Champions trophy. [Activision]",69
Poker Night 2,2013-04-24,M,"Poker Night 2 is the sequel to Poker Night where you play poker with a bunch of ""weirdos"" officially licensed, triple 'A' characters such as Claptrap, Brock Samson, Ash Williams, and Sam.",69
World Championship Poker 2: Featuring Howard Lederer,2005-11-08,T,"WCP 2 features Howard Lederer, Greg Raymer, Clonie Gowen, Amir Vahidi, Paul Darden, Robert Williamson III, Matt Savage, and Annie Duke.  World Championship Poker 2 features a much more detailed one player game, where you now have to work your way up the ranks, starting in your mom's basement. Once you start winning and accumulating money, you can spend your winnings on increasingly better pads, and furnishings. Hit a losing streak, and you may have to hock your stuff to stay in the game. 14 types of poker are featured, including Texas Hold'em, Five Card Draw, Seven Card Stud and Pineapple. [Crave]",67
Texas Cheat 'Em,2009-05-13,T,"[Xbox Live Arcade]  It's not whether you win or lose … it's about how far you can bend the rules without getting caught. In Texas Cheat 'Em, that's pretty darn far. Play casino-themed mini-games to activate one of 15 cheating abilities—then make your own luck. Turn a bad hand into a sure thing. Send your opponent's Royal Flush right down the drain. Steal chips, fold for free, or know the community cards in advance. Cheat strangers out of their fortunes over Xbox Live before they do it to you. Remember: glory is forever, but broke is only funny when it happens to someone else. [Wideload Games]",65
Texas Hold 'Em,2006-08-23,T,"[Xbox Live Arcade]  Whether you're a beginner or a pro, enjoy the thrill of the perfect hand or the perfect bluff. Test your skills in ring games and tournaments, or fine-tune your skills playing the scenario you always wanted to be in. Customize the game however you want. The comprehensive help provides details on each aspect of the game. [Microsoft]",63
