title,release_date,rating,description,metascore
World of Warcraft,2004-11-23,T,"Four years have passed since the aftermath of Warcraft III: Reign of Chaos, and a great tension now smolders throughout the ravaged world of Azeroth. As the battle-worn races begin to rebuild their shattered kingdoms, new threats, both ancient and ominous, arise to plague the world once again. World of Warcraft is an online role-playing experience set in the award-winning Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world. Being ""Massively Multiplayer,"" World of Warcraft allows thousands of players to interact within the same world. Whether adventuring together or fighting against each other in epic battles, players will form friendships, forge alliances, and compete with enemies for power and glory. A dedicated live team will create a constant stream of new adventures to undertake, lands to explore, and monsters to vanquish. This content ensures that the game will never be the same from month to month, and will continue to offer new challenges and adventures for years to come. [Blizzard Entertainment]",93
Final Fantasy XIV: Endwalker,2021-12-07,Rating not found,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.",92
World of Warcraft: Wrath of the Lich King,2008-11-13,T,"Players last visited Northrend in ""Warcraft III: The Frozen Throne,"" when Arthas Menethil fused with the spirit of Ner’zhul to become the Lich King, one of the most powerful beings in the Warcraft universe. He now broods atop the Frozen Throne deep in Icecrown Citadel, clutching the rune blade Frostmourne and marshaling the undead armies of the Scourge. In Wrath of the Lich King, the forces of the Alliance and the Horde venture into battle against the Scourge amid Northrend’s howling winds and fields of jagged ice. Wrath of the Lich King adds a rich variety of content to an already massive game. New features in the game’s second expansion include: Death Knight Hero Class: Create a high-level Death Knight character -- the game’s first hero class -- once certain challenges have been met. Increased Level Cap: Advance to level 80 and gain potent new talents and abilities along the way. Northrend: Explore the harsh new continent of Northrend, packed with new zones, quests, dungeons, monsters, and items -- and do battle with the undead armies of the Lich King. ""Inscription"" Profession: Learn this exciting new profession and gain unique ways to permanently enhance spells and abilities in the game. Siege Weapons and Destructible Buildings: Take the battle to another level with new player-vs.-player game mechanics and new battlefields to wage war on. New Character Customization: Change how characters look and express themselves, with different hairstyles and dance animations. [Blizzard Entertainment]",91
World of Warcraft: The Burning Crusade,2007-01-16,T,"Several years have passed since the Burning Legion's defeat at Mount Hyjal and the races of Azeroth have continued to rebuild their once shattered lives. With renewed strength, the heroes of the Horde and Alliance have begun to explore new lands and broken through the Dark Portal to investigate the realms beyond the known world. Will these heroes find friends or foes? What dangers and rewards lie in wait beyond the Dark Portal? And what will they do when they discover that the demons they thought vanquished have returned to renew their terrible Burning Crusade? New Player Races: New allies will join the game, expanding the story line and allowing players to develop powerful new characters within the world. Higher Level Limit: The game's level cap is being raised to 70, and with these new levels will come meaningful spell, ability, and talent upgrades for each character class. New Lands and Battlegrounds: Explore the magical realms of the Blood Elves and Draenei, journey through the Dark Portal into untamed Outland, and visit dungeons and battlefields previously inaccessible to players. 
Flying Mounts: In Outland, players will gain access to unique airborne mounts that will allow for smoother travel over some of that region's more hazardous terrain. [Blizzard]",91
Final Fantasy XIV: Shadowbringers,2019-07-02,T,"Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS.

New jobs: Gunbreaker and Dancer
New races: Viera and Hrothgar
Level cap increased: 70 to 80
New cities: The Crystarium and Eulmore
Journey through expansive new areas, such as the Rak’tika Greatwood, Amh Araeng, Il Mheg and Lakeland.
New trails, including harrowing encounters with Titania and Innocence.
New beast tribes: pixies, Nu Mou, and dwarves
New 8-player raid: Eden
An exciting new series of alliance raids YoRHa:Dark Apocalypse
The Restoration of the Holy See of Ishgard - In the aftermath of the Dragonsong War, Disciples of the Hand and Land work together to rebuild Ishgard",90
World of Warcraft: Cataclysm,2010-12-07,T,"In Cataclysm, players witness the face of Azeroth being altered forever, as the corrupted Dragon Aspect Deathwing awakens from his subterranean slumber and erupts onto the surface, leaving ruin and destruction in his wake. As the Horde and Alliance race to the epicenter of the cataclysm, the kingdoms of Azeroth will witness seismic shifts in power, the kindling of a war of the elements, and the emergence of unlikely heroes who will rise up to protect their scarred and broken world from utter devastation. New features in the game's third expansion include: Two New Playable Races: Adventure as the cursed worgen with the Alliance or the resourceful goblins with the Horde. Increased Level Cap: Advance to level 85 and earn new abilities, tap into new talents, and progress through the path system, a new way for players to customize characters. Classic Zones Remade: Quest to level 60 as you never have before. Familiar zones across the original continents of Kalimdor and the Eastern Kingdoms have been reforged by the cataclysm and updated with new quests and content. Flying Mounts in Azeroth: Explore Kalimdor and the Eastern Kingdoms from a whole new perspective. Guild Advancement: Progress as a guild to earn guild levels and guild achievements. New High-Level Content: Explore newly opened parts of the world, including Uldum, Grim Batol, and the great sunken city of Vashj'ir beneath the sea, and enjoy even more high-level raid content than in previous expansions. New PvP Zone & Rated Battlegrounds: Take on PvP objectives and daily quests on Tol Barad Island, a new Wintergrasp-like zone, and wage war in all-new rated Battlegrounds. Archaeology: Master a new secondary profession to unearth valuable artifacts and earn unique rewards. New Race and Class Combinations: Explore Azeroth as a gnome priest, blood elf warrior, or one of the other never-before-available race and class combinations. [Blizzard Entertainment]",90
Guild Wars 2,2012-08-28,T,"Guild Wars 2 draws from the game mechanics that made the original Guild Wars one of the most popular online games and adds a fully persistent world. Like its predecessors, Guild Wars 2 does not have a subscription fee. Guild Wars Eye of the North provide a Hall of Monuments where players' accomplishments are memorialized and eventually inherited by their Guild Wars 2 characters, unlocking exclusive items and bonuses in Guild Wars 2. [NCsoft]",90
World of Warcraft: Legion,2016-08-29,Rating not found,"The Tomb of Sargeras has been reopened, and the demons of the Burning Legion pour into our world. Their full, terrifying might is fixed on summoning the Dark Titan to Azeroth—and they’ve already located the key to his return. With the Alliance and Horde devastated, only you can take up Warcraft’s most legendary artifacts, scour the ancient Broken Isles for relics of the Titans, and challenge the Legion before Azeroth’s last hope dies. Steel yourself, champion. Extinction is imminent.",88
Dark Age of Camelot,2001-10-09,T,"Set in the Kingdom of Albion in the years immediately following the death of King Arthur, players of this MMORPG enter a world in chaos, where Arthur's peace has been shattered and dark forces threaten the Kingdom. In Camelot, players must choose to be members of one of the three Realms that are striving for mastery in this chaotic world. [Mythic Entertainment]",88
Final Fantasy XIV: Stormblood,2017-06-20,T,"Dive into the next chapter of the Final Fantasy XIV Online with its next expansion pack - Stormblood. Explore vast, new lands, including Ala Mhigo, and challenge new Primal threats across Eorzea as you embark on hundreds of new quests as the Warrior of Light. 

FEATURES

* Level cap increased from 60 -> 70
* New jobs, including red mage
* New exploration with swimming and diving
* New areas to explore
* A new primal  Lakshmi
* New dungeons
* New High-level Raid The Bend of Time  Omega
* New alliance raid Return to Ivalice
* The Forbidden Land of Eureka
* New gear and crafting recipes
* A fourth residential district
* Expanded item inventory and changes to the battle system",87
World of Warcraft: Warlords of Draenor,2014-11-13,T,"To scrap with the greatest army Draenor has ever known, you will need your own forces and your own fortress. Build a mighty garrison: an enduring home base integrated seamlessly with the world, not a hiding place far from the tumult. Customize it with functional structures like farms, stables, armories, workshops and more. Lay down trade routes and unlock new quests, gear and pets to support your war for Draenor. Recruit stalwart followers to man your base, and send them to loot dungeons, fulfill missions, and craft items, even if you’re offline. Tame a deadly realm, and build an unbreakable monument to victory.",87
EverQuest: Omens of War,2004-09-13,T,"Follow the Wayfarers Brotherhood to the war-ravaged Realm of Discord to help end the tyrannical ways of the Muramites once and for all.  Mata Muram, the leader of the Muramites, is rumored to be building the ultimate invading army. It's up to you to thwart his plans. Experience EverQuest: Omens of War and the twisted lands of a realm where war is persistent and death is constant.  Face the fear of the Battlegrounds of Discord. Explore the shattered landscapes of the Discordant Plateau. Then take your fury to a landscape that teems with Muramites preparing to invade not just Norrath, but countless innocent worlds.  Adventure solo, or in groups and raids to complete ""epic quests"" and earn prestigious weapons. [Sony Online Entertainment]",86
EverQuest: The Ruins of Kunark,2000-03-31,T,"An entire world with its own diverse species, economic systems, alliances, and politics awaits you. Choose from a variety of races and classes, and begin your quest in any number of cities or villages throughout several continents. From there, equip yourself for adventure, seek allies and knowledge, and head out into a rich world of dungeons, towers, crypts, evil abbeys -- anything conceivable -- even planes and realities beyond your imagination. Learn skills, earn experience, acquire treasure and equipment, meet friends and encounter enemies. A multitude of quests and adventures await, but you choose your role, you define your destiny. [Sony Online Entertainment]",86
The Lord of the Rings Online: Shadows of Angmar,2007-04-24,T,"The only massively-multiplayer role-playing game set in J.R.R. Tokien's Middle-earth. Travel with your Fellowship in the fight against the forces of Sauron. Across the wide lands of Middle-earth, the Free Peoples must face the threatening Shadow growing in the East. All of Mordor is stirring as Sauron dispatches the NazgÃ»l to hunt for the Ring. The rumor of war brings forth many eager adventurers who will find their place among the great events of the Third Age. High deeds call to the willing, for their time is at hand. Hundreds of thousands of people will enter the perpetual world of Middle-earth for the very first time. Prepare yourself to choose a path amongst the likes of Elves, Dwarves, and Humans. Will you choose to fight for the things that bring peace to the land or will you add to the corruption of Middle-earth as the forces of Sauron move swiftly to extinguish all that is good? [Turbine]",86
Warhammer Online: Age of Reckoning,2008-09-16,T,"It is a desperate time for the Emperor. A terrible Chaos Plague defiles his lands, ravaging the populace and weakening his armies. Meanwhile, the Dwarf holds in the nearby World's Edge Mountains have come under siege by a massive greenskin horde. Honor-bound by an ancient oath, the ruler of the greatest nation of men in the Old World has dispatched several regiments to assist the embattled Dwarfs, further depleting the Empire's already thin defenses. In this dark hour, a new threat appears. Under a sky darkened by a crimson eclipse, a great warhost erupts from the wastelands of the north. Bearing the banner of Tzeentch, Changer of the Ways, the army of Chaos marches south for the borders of the Empire, crushing everything in its path. With the Dwarfs fighting desperately to slow the ferocious greenskin ""Waaagh!"", the Emperor realizes that his only hope of defeating the encroaching legions of Chaos lies with the High Elves of Ulthuan. Upon receiving the Emperor's dire plea for help, Finubar, Phoenix King of the High Elves, sets sail at the head of a mighty fleet of warships laden with battalions of High Elf warriors. [Mythic Entertainment]",86
Final Fantasy XIV: Heavensward,2015-06-23,T,"The to-this-point sealed gates to Ishgard open to the citizens of Eorzea as the Dragonsong War deteriorates. This bloody thousand-year skirmish between the dragoons of Ishgard and the sentient dragons of Dravania invites the support of new adventurers to bring to a halt to the conflict. Heavensward expands the playable area of the game into additional areas of Eorzea, beyond the Coerthas Central Highlands and in to the skies above the Sea of Clouds and the floating landmasses therein.",86
Final Fantasy XIV Online: A Realm Reborn,2014-04-14,T,"Take part in an ever-changing FINAL FANTASY as you adventure and explore with friends from around the world. Experience all the hallmarks of the franchise - airships, chocobos, moogles, and more.",86
City of Heroes,2004-04-27,T,"City of Heroes is a super-powered hero based massively multiplayer online role-playing game. The game is set in Paragon City, a modern day metropolis full of super powered villains, alien invaders, and underground monsters. Players take on the roles of Paragon City's super-powered defenders. Create your own hero by choosing your powers and designing your own costume. [NCsoft]",85
EverQuest,1999-03-16,T,"Prepare to enter an enormous virtual environment-an entire world with its own diverse species, economic systems, alliances, and politics. Choose from a variety of races and classes, customize your character, and begin your quest in any number of cities of villages throughout multiple continents. Equip yourself for adventure, seek allies and knowledge, and experience a rich world of dungeons, towers, crypts, evil abbeys-anything is possible-even planes and realities beyond your imagination. Meet new friends from around the world to face epic challenges. Make yourself a noble human knight, a vicious dark elf thief, a greedy dwarven merchant, or whatever suits your desire. [Sony Online Entertainment]",85
The Lord of the Rings Online: Mines of Moria,2008-11-17,T,"Mines of Moria  expands the online world of Middle-earth to let players explore the ancient underground cities of the dwarves, battle epic characters in the depths, face off with the Watcher, be a part of the fateful release of Durin’s Bane and more. Speak Friend, and Enter – Moria, called Khazad-dûm by the dwarves, was their capital and the grandest of cities.  This enormous underground cavern in north-western Middle-earth, comprises an immense network of tunnels, chambers, mines and huge halls that run beneath and ultimately through the Misty Mountains. For the first time, players of The Lord of the Rings Online enter this ancient city which has served as the foundation for the modern-day dungeon-crawling adventures to battle the hordes of goblins and the Nameless of the Deep and journey through hundreds of new quests within six new kinds of stunning environments. The Mines of Moria represents the beginning of Volume II of The Lord of the Rings Online. Players can experience six new books as part of this update and participate in the release of Durin’s Bane, battle the Watcher, aid Galadriel and more. Players advance their characters up to level 60, gaining access to new traits, virtues, skills and class quests.  The crafting system will also expand, giving players the ability to craft even more powerful items. The Rune-keeper and the Warden, the first new classes to be introduced since the launch of the game, allow players to build exciting and powerful new characters in The Lord of the Rings Online in diverse new ways. The Mines of Moria introduces Turbine’s new item advancement system to The Lord of the Rings Online.  Players will be able to forge weapons and class-related equipment and evolve them to build a legacy the likes of Bilbo’s Sting and Gandalf’s Glamdring. These legendary weapons level-up along with the player, allowing customization by advancing the item’s virtues, adding runic legacies, modifying its titles and forming fables. [Turbine]",85
Final Fantasy XI,2004-03-23,T,"The world of Vana'diel stands at the brink of war. Three powerful nations, united in their plight against the beastmen forces, look to their last hope -- brave adventurers like you! Will the beastmen gain the upper hand, and thrust the once-peaceful Vana'diel into another war? Step into the world of Vana'diel and journey forth on grand adventures with players from all across the globe! Final Fantasy XI is the first online game in the award-winning FINAL FANTASY series. How you play is up to you, with limitless possibilities for adventure. Set out on your own to discover the countless secrets of Vana'diel, or form a party with your friends to purge the beastman forces and bring home sensational spoils! [Square Enix]",85
EverQuest: Gates of Discord,2004-02-09,T,"The greatest threat to the world of Norrath has been unleashed in EverQuest! The lost continent of Taelosia has been discovered and a massive assault force, the Legion of Mata Muram, is creating chaos and devastation on this once peaceful continent! Experience EverQuest: Gates of Discord and help protect your world while adventuring in many new zones, including a stony city, sprawling temples, a myriad of catacombs, and a maze of sewers. And meet the Berserker, the newest EverQuest character class and perhaps your closest allies in melee combat against the invading hoard of fearless, deadly monstrosities from the chaotic Realm of Discord. [Sony Online Entertainment]",85
Star Wars: The Old Republic,2011-12-20,T,"In Star Wars: The Old Republic, players explore an age thousands of years before the rise of Darth Vader when war between the Old Republic and the Sith Empire divides the galaxy. Players can choose to play as Jedi, Sith, or a variety of other classic Star Wars roles, defining their personal story and determining their path down the light or dark side of the Force. Along the way, players befriend courageous companions who fight at their side or possibly betray them, based on the players’ actions. Players can also choose to team up with friends to battle enemies and overcome incredible challenges using dynamic Star Wars combat. [LucasArts]",85
Dark Age of Camelot: Shrouded Isles,2002-12-02,T,"The first expansion pack available for Dark Age of Camelot players. It extends the story of the original game with new character classes, new races, and three new continents to explore - displayed in an all-new state-of-the-art graphics engine that make it look as advanced as any game on the market. [Mythic Entertainment]",85
Dark Age of Camelot: Shrouded Isles,2002-12-02,T,"The first expansion pack available for Dark Age of Camelot players. It extends the story of the original game with new character classes, new races, and three new continents to explore - displayed in an all-new state-of-the-art graphics engine that make it look as advanced as any game on the market. [Mythic Entertainment]",85
Rift (2011),2011-03-01,T,"The graphically stunning online game is set in a world being torn apart by dimensional &quot;rifts&quot; that tear into the land of Telara, releasing powerful forces that threaten the very existence of the entire universe. Rifts and other dynamic events can be triggered by players, scheduled by the development team, or even occur spontaneously. Dynamic events within the game can lead to a range of changes across the world, including everything from minor events to dramatic shifts in the game's landscape and the opening of new areas. Players will connect with hundreds of thousands of other gamers to battle creatures overrunning the world, as well as each other.",84
Final Fantasy XI: Treasures of Aht Urhgan,2006-04-18,T,"Final Fantasy XI is the first cross-platform, cross-continent massively multi-player online role-playing game in the world. With the release of this third expansion, players will uncover the legends surrounding the Aht Urghan Empire. With new jobs, including the highly requested Blue Mage and Corsair, additional areas to explore, and powerful new monsters, Treasures of Aht Urhgan expands the world of Vana'diel making it an even livelier place to visit. [Square Enix]",83
Guild Wars 2: Path of Fire,2017-09-22,T,,83
EverQuest: The Shadows of Luclin,2001-12-02,T,"The satellite of Luclin has been discovered, and now Norrathians can venture to the eerie moonscape. This expansion pack is playable by characters of all levels and provides new zones, a new race and a new class, hundreds of new items, spells, and creatures to battle, in addition to new character models supported by an enhanced 3D engine. [Sony Online Entertainment]",83
The Lord of the Rings Online: Siege of Mirkwood,2009-12-01,T,"The Epic Conclusion to Volume II: Mines of Moria -  Under the command of Celeborn and Galadriel, players fight through vast armies of Orcs alongside the Elves of Lórien in a battle that will take them to Dol Guldur, the fortress of the Ringwraiths.  This update includes Book 9 and the Epilogue to the sweeping epic tale begun with the award-winning Mines of Moria expansion. Increased Level Cap - Players are able advance their characters up to level 65, gaining access to new traits, virtues, skills and class quests. Answer the Call of War! - Jump into the heat of battle with the new Skirmishes feature.  Skirmishes offer endless action in repeatable, randomized instances where players can create and lead customizable soldiers into battle, training them to greater skill as they earn victories against the forces of shadow.  Answer the call of war wherever violence erupts with the new ""World Join"" function that lets players and their fellowships band together to fight in various locations throughout Middle-earth. Take up Arms! Infiltrate the dark jails, deadly arenas and savage stables of Dol Guldur, the fortress of the Ringwraiths, and strike a blow against Sauron’s forces in new 3 and 6-player instances.  Call upon your fellows to adventure into the most deadly 12-player raid yet and face the ultimate challenge - the Nazgûl Lord! Major Gameplay Enhancements - Turbine continues to improve the award-winning experience of LOTRO with major improvements to the combat and Legendary Items systems.  Players will experience improved responsiveness when in the heat of battle.  Players will also be able to create and craft their own customized Second and Third Age Legendary Items from raw materials and grow their weapons’ power to level 60.  Achieve new Legacies, new titles, and a fourth Runic slot that will make Legendary Items even more unique and powerful. [Turbine]",83
The Elder Scrolls Online: Summerset,2018-05-21,M,"The Elder Scrolls Online: Summerset is the next Chapter of ZeniMax Online Studios' award-winning online RPG, The Elder Scrolls Online (ESO). This new adventure in the ESO saga will send adventurers and their friends to the Summerset Isle, to visit and explore the ancestral home of the high elves for the first time since 1994's The Elder Scrolls: Arena. Players will also be able to explore the island of Artaeum, home to the mysterious Psijic Order, a group of sages that predate the Mages Guild. Tamriel's fate hangs in the balance and the heroes of ESO are called upon to save the world once more. 

This year's Chapter introduces an enormous and stunning new zone unlike any other, a fresh skill line with new magical powers to master, an expanded crafting system to forge powerful gear, and the continuation of the epic and award-winning ESO story. With more than 30 hours of new story content to experience, The Elder Scrolls Online: Summerset expands The Elder Scrolls Online in exciting and innovative ways, offering incredible adventures for both ESO veterans and those new to the game.",83
EverQuest II: Echoes of Faydwer,2006-11-13,T,"Echoes of Faydwer is the fourth expansion pack for EverQuest II and the first EQII expansion pack with content for beginners to high-level players (Levels 1 – 70). This expansion introduces a new playable race, The Fae, an enchanted race of winged creatures. The Fae dwell on the continent of Faydwer, in the arboreal city of Kelethin, the new starting city being added to new chapter in the EQII saga. Echoes of Faydwer includes over 350 new quests, a new selection of profession hats, cloaks, armor, and new horse mounts available to players of all levels. EQII players will encounter over 40 new types of creatures to face, more than 20 new zones and adventure areas, and will be able to compete against other players for new PvP (Player vs. Player) rewards, plus all-new items, equipment, spells and tradeskill recipes. The Achievement system introduced in the Kingdom of Sky expansion has been enhanced to include additional sub-class abilities, allowing players to further customize their characters' abilities. [SOE]",83
EverQuest II,2004-11-08,T,"EverQuest II is a parallel online universe to the hugely successful gaming phenomenon EverQuest. Featuring breathtaking graphics and a vast, beautiful game world to explore, EverQuest II sets new standards in graphical realism as players are immersed in the game's epic storyline with thousands of other players online. Massive World of Norrath -- Regions, cities, countless dungeons and dynamically created zones. Easy to Play -- New user friendly game mechanics with reduced learning curve for both new and seasoned players. 16 Races, 100 Levels and 48 Classes -- Branching systems allow you to choose your class as you advance. Existing EverQuest Player Incentives -- Exclusive crossover quest zones, chat system and more! [Sony Online Entertainment]",83
Age of Conan: Rise of the Godslayer,2010-05-11,M,"Take on the role of a Demonologist, Barbarian, Bear Shama or any other of the twelve exotic classes, as you face the challenges of Hyboria alone or in groups of other players from all over the world. Fight for survival, socialize with friends, construct equipment or even entire cities with your fellow players, and carve out your destiny in the world of Conan. [Funcom]",83
World of Warcraft: Shadowlands,2020-11-23,T,"Brave The Beyond
The veil between life and death is no more.

With a single act of destruction, Sylvanas Windrunner has ripped open the way to the afterlife. Azeroth's staunchest defenders have been dragged into all-consuming darkness. An ancient force of death threatens to break its bonds and unravel reality.

Hidden realms of wonder and horror await any who would pass to the other side. The Shadowlands is home to an entire realm of the departed; it is a world between worlds whose delicate balance preserves life and death itself.

As one of Azeroth's greatest champions, you have been granted the power to cross over in body and soul. Now you must investigate a conspiracy to unmake the cosmos, and help Warcraft legends journey back... or fulfill their ultimate destiny.

New World
The Shadowlands

What lies beyond the world you know? The Shadowlands, resting place for every mortal soulvirtuous or vilethat has ever lived. Journey through planes of torment and imprisonment to those of rebirth and eternal reward.

New Player Hub
Oribos, The Undying City

Oribos is the arrival point for all souls who enter the Shadowlands. At this crossroads, the dead are judged by the impassive Arbiter before being sent to their final destinations, and Oribos' denizens swap gossip and animasoulstuff that serves as both power and currency. 

New Feature
Covenants

Align yourself with one of four Covenantsmysterious sects, each with their own ambition for the Shadowlandsto restore balance to the hereafter.

You'll gain access to your Covenant's Sanctum, where you'll accept unique quests, undertake a sprawling covenant campaign, and call upon your allies to embark on important missions. You'll also earn unique abilities based on your Covenant and class, acquire a unique mount and visual appearance, and forge bonds with powerful souls, drawing on their essence to further customize your skills.

New Feature - Infinite Dungeon
Torghast, Tower of the Damned

Once, the Jailer kept only the most dangerous souls in the cosmos confined in this eternal prison. Now, some of Azeroth's greatest heroes are trapped here, and you'll need to rescue them from the Jailer's tower before he expends their very souls.

Torghast is an endlessly replayable, ever-changing dungeon that you can challenge alone or in a group. Your runs will differ each time, but you'll need to explore cautiously. Death comes at a terrible cost. Defeat enough of Torghast's unpredictable challenges, and you'll be rewarded with unique abilities and items to ensure your present survival or bolster your next run. The further you progress, the greater your likelihood of retrieving materials to craft the legendary weapons and armor that will help you restore balance to the Shadowlands.

Other secrets lie within the tower but they're yet to be revealed.

Game Updates
Leveled-Up Leveling

World of Warcraft: Shadowlands will smooth out the leveling experience and better prepare new adventurers for what's to come. Players will level up to 50 before heading to the Shadowlands (new level cap: 60). 

We've adjusted the experience curve to make it faster than ever to prepare for the newest challenges, and each level along the way will provide more meaningful increases in progress and power. All expansion zones are getting more flexible, too; they'll be able* to scale to you and your friends while you level to 50, so it's easy to try a zone you've never played.

*You can still outlevel dungeons and crush them for transmogs or fulfillment.",83
EverQuest II: Rise of Kunark,2007-11-13,T,"Buried beneath a war-ruined land ravaged by centuries of conflict, a forgotten enemy rises.  Exiled from their homeland and banished from Norrath’s history, an ancient race emerges to uncover artifacts long thought lost.  Engage in all-new adventures as you embark on a crusade to reveal the truth of the wars between the reborn Iksar Empire and the Sarnak. Adventure awaits in the fabled land of Kunark. [Sony]",83
Dark Age of Camelot: Catacombs,2004-12-07,T,"Catacombs is the third expansion pack for Dark Age of Camelot in which players are given the opportunity to explore underground cities ? with attached adventuring areas ? based on the backstory of one underground player race per Realm. Many of these new adventures will be instanced, giving the player the chance to explore the underground world of Catacombs on their own schedule. The expansion features a major art upgrade to player character models that provides more detailed facial features, hairstyles, skin tones as well as enhanced armor and clothing options. The expansion also introduces one new player class per Realm. [Mythic Entertainment]",83
The Elder Scrolls Online: Necrom,2023-06-05,M,"Defend the secrets of Hermaeus Mora and fight to preserve reality itself with The Elder Scrolls Online: Necrom, part of the Shadow Over Morrowind saga. 

Master the new Arcanist class, explore Morrowind's Telvanni Peninsula, and walk between worlds as you experience a new adventure that takes you from Tamriel into the mind-bending realm of Apocrypha itself.",82
City of Villains,2005-10-31,T,"City of Villains, the sequel to ""City of Heroes"", provides players with a chance to play the ?bad guy? in the comic-book inspired world created by Cryptic Studios. Take on the role of super-powered villains and create your own character using thousands of power and costume options. Then battle heroes and become a true menace to society while plotting your way to world domination. Turn the tide on all the heroes and heroines and lead your crime syndicate into battle in the impressive 3D backdrop of Paragon City. [NCsoft]",82
Asheron's Call 2: Fallen Kings,2002-11-20,M,"Are you ready for the next generation of multiplayer role-playing games? Asheron's Call 2: Fallen Kings combines state of the art 3-D graphics , innovative combat and game-play and a dynamic monthly update system that immerses players in a lush, living world filled with danger and challenges. AC2 takes place in a fantasy world that has been devastated by a great disaster. You and your fellow players must venture forth and shape the course of this ever-evolving world. [Microsoft]",82
World of Warcraft: Dragonflight,2022-11-28,T,"The dragonflights of Azeroth have returned, called upon to defend their ancestral home, the Dragon Isles. Surging with elemental magic and the life energies of Azeroth, the Isles are awakening once more, and it's up to you to explore their primordial wonder and discover long-forgotten secrets.",82
World of Warcraft: Mists of Pandaria,2012-09-25,T,"World of Warcraft: Mists of Pandaria is the latest expansion set for WoW, set on the new continent of Pandaria. Unlock The Mysteries of Pandaria.  You've stopped Deathwing's destructive rampage and saved the dragonflights from their extinction. Now you you're tasked with unlocking the mysteries of the lost continent and discovering the dark secrets of Pandaria's past. Explore ancient kingdoms hidden since before the Sundering, plunder vast treasures from the depths of the forgotten vaults, and prepare to defend Pandaria from the shadow of a long buried evil - before it's too late.",82
