title,release_date,rating,description,metascore
Phantasy Star Online,2001-01-29,T,"Pioneer 2 finally completed it's long voyage to the new home world. But as the ship entered orbit, an enormous explosion shook the entire planet, and all contact with the thousands of people already there was lost. Now, in the first worldwide online console RPG, players from around the globe must unite to discover what has happened. Phantasy Star Online continues in the tradition of one of the most popular series of all time, and becomes a revolutionary and truly global gaming experience in an online, persistent world.",89
Stardew Valley,2016-02-26,E10,"Stardew Valley is an RPG-style farming game. It's up to you to choose your path... Will you devote your time to raising crops and caring for animals? Will you spend time in the local village, befriending the local townspeople? Do you get a kick out of slaying dreadful monsters in the mysterious mountain caverns? Or will you try to accomplish everything and claim the coveted title of Stardew Hero?",89
South Park: The Stick of Truth,2014-03-04,M,"South Park: The Game is an epic role-playing adventure that will allow the user to befriend Stan, Kyle, Cartman and Kenny and explore the quiet little mountain town like never before. 

From the perilous battlefields of the 4th-grade playground, a young hero will rise, destined to be South Park’s savior. From the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become… cool. Introducing South Park: The Stick of Truth. For a thousand years, the battle has been waged. The sole reason humans and elves are locked in a neverending war: The Stick of Truth. But the tides of war are soon to change as word of a new kid spreads throughout the land, his coming foretold by the stars. As the moving vans of prophecy drive away, your adventure begins. Arm yourself with weapons of legend to defeat crabpeople, underpants gnomes, hippies, and other forces of evil. Discover the lost Stick of Truth and earn your place at the side of Stan, Kyle, Cartman, and Kenny as their new friend. Succeed, and you shall be South Park’s savior, cementing your social status in South Park Elementary. Fail, and you will forever be known… as a loser. [Ubisoft]",85
In Stars And Time,2023-11-20,Rating not found,"What would you do if you were forced to relive your failures over and over again?

In Stars and Time tells the story of Siffrin and their adventurer friends - a found family bound together by fate in order to end the tyrannical reign of an evil king. But as victory is just within the party's grasp, a tragedy occurs, the clock resets, and they have to do it all again.

As Siffrin's the only one who notices this loop, each new start wears away at his cheerful veneer, yet he keeps going in hopes he can end this temporal tragedy once and for all.

In Stars and Time is a time-looping RPG adventure. With each loop, Siffrin gains a new perspective on the world around them, opening up new solutions to puzzles and allowing them to make better choices in conversation. 

Equip memories as armor, pray to the Change God to improve your team's capabilities each loop, and challenge deadly foes to Rock, Paper, Scissors as Siffrin seeks the truth.",85
West of Loathing,2018-05-31,T,West of Loathing — a slapstick comedy stick-figure wild west adventure role-playing game.,85
Pyre,2017-07-25,E10,"Pyre is a party-based RPG from the creators of Bastion and Transistor. Lead your band of exiles to freedom through a series of mystical competitions in the Campaign, or challenge a friend to a fast-paced ritual showdown in the head-to-head Versus Mode.",85
Shin Megami Tensei V,2021-11-12,M,"The ambitions of god and human clash amidst the horror of a dying world. Neither human nor demon, the newly-forged Nahobino and his friends must decide what is worth saving... and prepare to sacrifice everything in its name. In a world without its Creator, which path will you choose?",84
Space Rangers 2: Rise of the Dominators,2006-03-27,T,"200 years after the first chapter for Space Rangers, a new, even more dangerous threat arises in the galaxy. A key planet producing war androids has become self-aware and is attempting to conquer the galaxy one planet at a time. These machines are not only capable of fulfilling any order, but they have their own intellect and force of will. This new type of cyber life is driven only by instinct of destruction and cares only about expanding the realm of the silicate. Freedom of choice is a distinguishing feature of the Space Rangers saga and continues as players explore the massive world. The game is not limited by borders and allows players an opportunity to influence the branching storyline. At the same time, the larger and more expansive game world lives and develops by itself. In Space Rangers 2 players will have an opportunity to test their skills not only in outer space, but on planets' surfaces as well. 3D real-time battles on planets is a new part of the game. By producing and upgrading war machines, gamers have a chance to defeat the ominous threat of the Dominators. [1C Company]",84
Darkest Dungeon,2015-02-03,Rating not found,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",84
Little Goody Two Shoes,2023-11-07,T,"Set in the mysterious Kieferberg Village, Little Goody Two Shoes is a homage to the original PlayStation and early PlayStation 2 RPGs and is centered around Elise, an ambitious girl determined to become rich and escape her humble life.

Players will step into Elise's shoes and soon find themselves immersed in a 90s inspired horror role-playing adventure game. Gameplay elements such as ""Sustenance,"" ""Reputation & Suspicion,"" and ""Exploration & Narrative"" will guide players to complete their daily tasks by day and uncover the woodland's darkest secrets by night.

Players will also have the ability to set their own paths to navigate through the wicked woods, solve puzzles and build meaningful relationships in this nostalgic gaming experience.",84
