title,release_date,rating,description,metascore
VA-11 Hall-A: Cyberpunk Bartender Action,2019-05-02,M,"VA-11 HALL-A: Cyberpunk Bartender Action is a booze em' up about waifus, technology, and post-dystopia life.",83
Starseed Pilgrim,2013-04-16,Rating not found,"You are a gardener, tending to empty noise and empty space to fill them both with colour. You are a refugee, building your own world away from the spreading darkness. You are an explorer, discovering new places, new rules, and new fascinations. The universe is bigger than you know.",83
Reigns: Her Majesty,2017-12-06,Rating not found,Reigns: Her Majesty is the revolutionary follow-up to the smash swipe ‘em up hit Reigns.,81
Cart Life (2013),2010-07-29,Rating not found,Cart Life is a retail simulation for windows which portrays the lives of street vendors.,79
Anno 1701: Dawn of Discovery,2008-03-04,E,"(Also known as ""Anno 1701: Dawn of Discovery"")  In Anno 1701 you can experience the adventurous world of the 18th century with up to three friends, mobile and wireless. Explore, settle and expand in a completely new world. Prove yourself as adventurer and embark on the journey of your lifetime. Set sail to explore nameless islands and strange cultures, prove yourself as strategist, trader and town planner. Develop a new, powerful colony – it's up to you. Based on Germany's successful PC-Game-Franchise, ANNO 1701 for Nintendo DS is original development utilizing the unique options offered by the Nintendo DS. The island worlds of ANNO 1701 can be explored, developed and controlled solely by using the stylus. The upper screen provides all relevant game play information while the game takes its course on the touchscreen below. Three different game modes offer endless fun: a full-fledged campaign including dramatic cut scenes, a versatile endless-game-mode for free exploration and development of the island world, as well as a multiplayer mode offering competitive fun for up to four players via Nintendo WFC.",78
Dawn of Discovery: Venice,2010-02-26,T,"(Also known as ""Anno 1404: Venice"")  New Venetian setting: The rich Dawn of Discovery environment is complemented with a new Venetian setting offering new possibilities of interaction: Build two new Venetian ship types: the small and big tradesman cog. Develop secret cabinets, infiltrate your enemies and sabotage their expansion. Multiplayer: Play Dawn of Discovery online in multiplayer mode: Choose to play versus or co-op to defeat the AI by combining your techniques. Up to 8 players. New Challenges and Quests: Up to 60 new items and 300 new quests with two new types: trading race and ship boarding. Discover and exploit a new type of island, the Volcano island. New scenarios to face new challenges with new achievements, medals and crests. [Ubisoft]",78
Reigns,2016-08-11,Rating not found,"Sit on the throne as a benevolent (or malevolent) medieval monarch of the modern age and swipe your royal fingers either left or right to impose your will upon the kingdom. Survive the seemingly never-ending gauntlet of requests from your advisors, peasants, allies, and enemies while maintaining balance between the influential factions of your kingdom. But beware; each decision you make might have implications and unfortunate consequences down the road that could put your reign and family’s dynasty at risk!",77
Do Not Feed the Monkeys,2020-06-01,E,Do Not Feed the Monkeys is a unique digital voyeur simulator. Now that you’ve been accepted by “The Primate Observation Club” you can invade the privacy of dozens of strangers and witness their most intimate moments while you make your living.,77
"Trolley Problem, Inc.",2022-04-21,Rating not found,"There is a runaway trolley careering down the railway tracks. On the tracks are five people unable to move. You are next to a lever. If you pull this lever the trolley will switch to a different set of tracks. However, you notice that there is a person on the other track.

Watch the situation play out and five people die. Choose to pull the lever and only one person gets killed - but by you.

What will you do?

Trolley Problem, Inc. is a darkly comedic narrative game based on real world philosophical papers, in which you are asked to make a series of impossible choices from two awful answers. Wrestle with your moral compass, decide the fate of millions - and compare your choices with the rest of the world.",76
Arma 3,2013-09-12,M,"Tensions rise as NATO peacekeeping forces begin to leave The Republic of Altis: a strategic fault-line between crumbling European influence and a powerful, resurgent East. But when a key radar facility drops off the grid, a Mediterranean flashpoint risks escalating into global conflict.",74
A Normal Lost Phone,2018-03-01,M,A Normal Lost Phone is a game about exploring the intimacy of an unknown person whose phone was found by the player.,73
Cities in Motion 2,2013-04-02,Rating not found,"Cities in Motion 2 is the sequel to the popular mass transit simulation game Cities in Motion. The Modern Days introduces new features, like multiplayer game modes, day and night cycle, timetables and dynamic cities. The player's actions in building the transportation network will affect how the city grows, with affordable transportation spawning middle class housing and work places, and more expensive and delicate choices bringing in demanding business people. Player has many different types of vehicles to choose from and now can also build roads with bus lanes. Tackling the rush hour by managing transportation timetables and meeting the needs of the citizens are one of the key elements of building a successful and efficient network!",72
ScreamRide,2015-03-03,E10,"Screamride is a physics-based coaster game where creativity and destruction are equally welcomed. This game features hundreds of customizable building components, physics-based destruction, cinematic collisions, unlockable levels, in-game leaderboards, global rankings and more.",71
The Shrouded Isle,2017-08-04,Rating not found,"Your Excellency, you must prepare for the awakening of our Lord. He hungers for a human sacrifice every season. Sinners try to hide their dark secrets, but all must be purged...",69
Kill It With Fire,2020-08-13,Rating not found,Kill It With Fire is a first-person action game about hunting spiders and causing collateral damage.,68
Treasure World,2009-06-30,E,"Get out and explore to uncover thousands of wondrous treasures that are waiting to be found. Create a secret world that becomes more vibrant and melodic as your riches grow. Expand your world and join Club Treasure World where you can chat, set up trades and show off with other treasure hunters across the globe. [Aspyr]",68
Goat Simulator 3,2022-11-17,T,"That's right - we're doing this again. The baa has been raised, and Pilgor is joined by other goats too. You can invite up to three friends in local or online co-op, create carnage as a team, or compete in mini-games and then not be friends anymore. Get ready for another round of udder mayhem. Lick, headbutt, and ruin your way through a brand new open world in the biggest waste of your time since Goat Simulator! We won't tell you how to play (except in the tutorial), but merely provide the means to be the goats of your dreams.",68
Help Wanted: 50 Wacky Jobs,2009-05-12,E10,"(Also known as ""Job Island: Hard Working People"" in the UK/EU)  The world is in danger. A meteor is plummeting towards earth and the only way to save the planet from destruction is to earn enough money to purchase the anti-meteor gadgets from a TV shopping channel! This bizarre storyline is the basis for Job Island: Hard Working People, a quirky and brilliantly entertaining title featuring 50 mini games that must be finished to earn the money to save the word! However, players must performbetter than the other workers in order to succeed. Each of the 50 mini games are in fact jobs players must undertake successfully in order to earn money. These jobs range from the simple to the ridiculous and all make use of the Wii Remote and Nunchuk in ways players would never have thought possible. As a red carpet interviewer for example, the player runs around the celebrity laden carpet waiting for them to give interviews. If you get their first and bag the big star, you earn more money! Managing a BBQ grill players must twist the skewers of meat using the Wii Remote to prevent them from burning and as farmer you must harvest carrots as quickly as possible and also milk a cow! Each job requires skill and concentration to complete and will test all gamers, regardless of their skills. With three levels of difficulty and a multiplayer mode that allows two people to go head to head on any of the jobs that are available in a straight heads-up duel, there is plenty to keep everyone entertained and amused.",65
Goat Simulator,2014-04-01,M,"Goat Simulator is the latest in goat simulation technology, bringing next-gen goat simulation to YOU. You no longer have to fantasize about being a goat, your dreams have finally been realized!",62
Redshirt,2013-11-13,Rating not found,"Redshirt is the comedy sci-fi sim about social networking aboard a space station, starring the station's most ambitious low-ranking peon: you! Navigate the professional and interpersonal politics of the ubiquitous &quot;Spacebook&quot; to curry favor among friends and colleagues. As intense intergalactic conflict rages around you, it's up to you to accrue those all-important &quot;likes&quot; on your status updates! Whether you're looking for love, opportunities for promotion, or even a chance to play Zero-G golf with the captain, you can schmooze your way through social circles and claw your way up the career ladder. Perhaps you too can finally achieve the dream of an off-station transfer, or even the Redshirt's opportunity of a lifetime: being sent on an away-mission!",62
Bientot l'ete,2013-02-06,Rating not found,"Bient&ocirc;t l’&eacute;t&eacute; is a videogame for two players. Two players who pretend to be lovers. They pretend to be lovers separated from each other by lightyears of deep space. They have lonely walks along the shore of a simulated ocean, thinking wistful thoughts of each other. Thoughts from ancient Earth literature by Marguerite Duras.

The empty beach, the strong wind, the gentle music and a small colony of electric seagulls are their only companions. Yet their heart is full and their mind confused. Walk along the shore, until they meet the emptiness.

When it all becomes too much, they run towards each other. Enabled by intergalactic networks, they touch each other’s holographic bodies in cyberspace. A surreal game of chess becomes the apparatus through which they, man and woman, can talk. The words they have were given to them, as they have always been to lovers everywhere.

The sea remains, tugging at their hearts when not at their hairs and clothes, as it itself is tugged by the virtual moon. And as great as the desire for the other may be, they cannot stay away from the wind and the waves and the sand. Every time they find a new treasure. An abandoned tennis field. An heap of coal. A dead dog. Ordinary. Absurd. Meaningless. Yet comforting.

Enter a caf&eacute;, exit a villa, enter a casino, exit the ruin of an ancient colonial mansion. We know this is not real. So it doesn’t surprise us. Nothing surprises us. It doesn’t matter when you feel the pain of love. Of being in love, of falling in love, of leaving in love. There is no such thing as time. There is only love. And it never stops. No matter how much it hurts.",62
Build-A-Bear Workshop: A Friend Fur All Seasons,2007-11-05,E,"Make your own Build-A-Bear, dress it up, play with it in lots of funny activities and mini games! The Bear will be like a virtual extension of yourself and a personal companion you can love like a best friend. You must make sure you satisfy its daily needs as physical affection, fun, food, learning, social life and trendyness are all necessary elements for the Bear to be balanced and happy. A highly interactive and trans-generational game in the true Build-A-Bear spirit. Create and customise your very own Bear in the Workshop-part of the game. Here you get to pick out the Bear you want, choose a motto, stuff it, insert its special heart and whisper a secret into its ear. Next you stitch it together, fluff it, name it, dress it and take it home to its special house that you get to colour for it. There are 8 different Bear characters you can customise: Dimples Teddy, Mocha Bunny, Pink Poodle, Playfull Puppy, Velvet Teddy, Friendly Frog, Marvelous Monkey, Sassy Kitty. Build-A-Bear for Nintendo DS is a new, fun kind of relationship simulation game, which takes into account the Bear's evolution as much as the players' fun factor. The Build-A-Bear characters, graphical universe and lifestyles are respectfully adapted and enhanced by this new addition: the Virtual Bear, an extension of every Build-A-Bear fan around the world. [The Game Factory]",61
Oh...Sir! The Insult Simulator,2017-05-30,T,"The parrot is back from the dead bringing countless new insults for your disposal, Sir! Remember that silly game that parted lovers, destroyed families and turned friends into enemies? Here’s its console incarnation.",60
Crystal Defenders,2009-03-11,E,"Crystal Defenders is a defensive strategy game in which players deploy popular jobs from FINAL FANTASY Tactics A2, such as Black Mages and Soldiers, to fend off encroaching enemy hordes and prevent them from stealing their party&#39;s crystals. Players can enjoy 360 stages of action in one of three different game versions: W1, W2, and W3. In W1, players can learn game basics. In W2, the introduction of Power Crystals opens up new doors, allowing for deeper, more detailed strategies. Finally, the complex maps in W3 will challenge even the most seasoned players.


+Game Objectives &amp; Features

- Deploy units on the area map to protect crystal reserves from encroaching monster hordes.
- Monsters will enter an area and march through it until they are defeated or reach an exit, at which time they will steal one or more crystals.
- Simple touch panel-driven controls and up-tempo play make Crystal Defenders easily accessible whether at home or on the go.
- Innovative level design allows for high replayability.
- Listen to your own music library while playing.

For more information, visit:
http://www.crystaldefenders.jp/",52
