title,release_date,rating,description,metascore
VIDEOBALL,2016-07-12,Rating not found,"VIDEOBALL is an abstract minimalist electronic sport. It is casual in that it uses only one stick and one button and you can play it while hanging out with your friends who do not normally play games. It is hardcore in that if you are good at it you and your opponents will scream and you will scream too, because your opponents are screaming.",82
EyeToy: Kinetic,2005-11-22,E,"EyeToy: Kinetic offers a wide variety of fitness activities that far exceeds the traditional 'home workout video'. The EyeToy camera, with the addition of a newly developed Wide Angled Lens that attaches to the front of the camera, allows for increased levels of interactivity projecting the exerciser's image onto the television screen, enabling them to physically interact with their environments. With four areas of discipline to choose from, EyeToy: Kinetic offers a wide variety of exercises for players to choose from. Aero Motion and Combat zones help to increase the player's overall fitness level, inspired by moves and stances from activities such as Tai Kwon Do, Modern Dance, Kick Boxing, Aerobics and Karate. The Mind and Body zone focuses on breathing, concentration and flexibility, taking inspirations from Yoga and Tai Chi, leaving players feeling relaxed, yet with their body fully conditioned. The Toning zone helps the player to tone specific muscle groups utilizing slow and refined movements. [SCEE]",78
Push Me Pull You,2016-05-03,E,"Push Me Pull You is a four-player videogame about friendship and wrestling. Joined at the waist, you and your partner share a single worm-like body and must wrestle the other sports-monster for control of the ball. It’s a bit like a big hug, or playing soccer with your small intestines. With every action affecting both you and your partner (and mandatory shouting) PMPY combines the best parts of 2v2 local multiplayer with the worst parts of your last breakup.",75
Kinect Sports,2010-11-04,E10,"This action sports compilation for the Xbox 360's motion-sensing accessory Kinect features boxing, bowling, beach volleyball, soccer, ping-pong, and traditional athletic events.",73
Nike+ Kinect Training,2012-10-30,E,"Whatever your goal, Nike+ Kinect Training promises to help you reach it with a workout program that evolves as you do. What will your moment be?",71
Pepsi Max Extreme Sports,2000-11-27,E,"Blazing Xtreme Sports action!

-Test your skills in 6 hot extreme sports including bungee jumping and skysurfing.
-Battle to victory in intense triple-event racing!
-Explore 5 exotic real-world locations including Mt. Kilimanjaro, Maui, and the Himalayas.
-12 demanding multi-environment tracks to choose from.
-Relive the action with Instant Replay!",69
Sports Champions 2,2012-10-30,E10,"Sports Champions 2, sequel to the PlayStation Move launch title, is getting back in the ring with an array of new sports. Using single or double motion controllers, you will compete against friends in all-new events including Boxing, Golf, Bowling, Skiing and Tennis, and hit the bullseye with an updated Archery mode.",69
Kinect Sports: Season Two,2011-10-25,E,"&quot;Kinect Sports: Season Two&quot; pulls the whole family off the couch and turns your living room into a world-class sports arena where intuitive, full-body gameplay and friendly competition reign supreme. Following the top-selling and award-winning &quot;Kinect Sports: Season Two,&quot; the second season amps up the action and delivers sporting gameplay like you’ve never seen — or felt — before!",66
EA Playground,2007-10-22,E,"EA Playground features games that are easy to pick-up-and-play by fully capitalizing on the unique control mechanics of both the Wii and the Nintendo DS. Swing the Wii remote to excel in tetherball, blow into the Nintendo DS mic to fire spitballs or battle your friends and family in dodgeball. Every game brings its own twist to the controls for the ultimate, all-ages, party game. In EA Playground, you don't always have to be playing with your friends and family in order to have fun. Explore the world on your own as you enter different locations, unlocking new activities, making wacky in-game friends and collecting rewards and stickers to upgrade your abilities along the way. [Electronic Arts]",66
Mario Sports Mix,2011-02-07,E,A variety of sports games featuring your favorite Nintendo characters.,64
