title,release_date,rating,description,metascore
Sid Meier's Pirates!,2004-11-22,E,"An entirely new game engine delivers updated gameplay, stunning new features, spectacular 3D graphics and enhanced surround sound, so players can fully experience the intrigue, adventure and danger of life as a pirate on the Spanish Main. In Pirates! you take the leading role of a Pirate Captain in the 17th century Caribbean amassing fortune and fame in an attempt to seize your rightful place as one of the most revered (and feared!) pirates in history.  Test your skills as a sea captain exploring the high seas and exotic ports in a richly detailed 3D world. Overtake the enemy and seize valuable booty. Exchange plank-shattering broadsides in fierce naval battles, and engage in duels with worthy opposing captains. As your reputation and skills grow, so will the size and quality of your crew, and your ability to take on larger enemy ships, raid and plunder heavily fortified ports, and locate ancient treasure. There?s a whole cast of interesting and dangerous characters to meet, mysteries to solve, exotic island destinations to discover, and powerful alliances to forge! [Firaxis]",88
Europa Universalis,2001-02-02,E,"In a time of hunger for power, honor, and wealth, it is your destiny to rule your country, accept new challenges, mobilize troops, build cities, and exploit your resources. The skilled will gain wealth; the less fortunate can expect poverty and disease. Do you have what it takes to change the course of history?  [Strategy First]",86
Spore,2008-09-07,E10,"From the mind of Will Wright comes SPORE, a journey that takes you from the origin and evolution of life through the development of civilization and technology and eventually all the way into the deepest reaches of outer space. Begin your odyssey at the dawn of life as a simple microbe just trying to survive, then use the fun, intuitive Editors to evolve the creature from its microscopic origins into an intelligent, tool-using race. Guide your species as it builds (and the player designs) villages, buildings, cities, and vehicles. Along the way to becoming a global civilization you can choose whether to hunt or forage, attack or trade, be nice or play rough. All the action takes place in a huge, lush world populated with creatures evolved by other players and shared over SPORE's central servers. When it's ready, your one-time pond scum launches into space in its UFO on a grand voyage of discovery, planet forming, or destruct-ion. As you explore and play in this limitless universe of unique worlds, your personal Sporepedia tracks all the creatures you've met and places you've visited. Take complete control of your creature's fate as you guide it through the following six evolutionary phases: Tidepool phase: Fight with other creatures and consume them to adjust the form and abilities of your creature. It's survival of the fittest at the most microscopic level. Creature phase: Venture onto dry land and help your creature learn and evolve with forays away from your safe haven. Carnivore or Herbivore? Social or Independent? The choice is yours. Tribal phase: Instead of controlling an individual creature, you are now caring for an entire tribe of your genetic craftwork. Give them tools and guide their interactions as you slowly upgrade their state of existence. City phase: Bring your creatures' race into a new golden era by building up the technology, architecture, and infrastructure of their city. Civilization phase: Once your city is established, your creatures begin seeking out and interacting with other cultures. You can have them do so with an olive branch or a war cry—either way, the goal for your creatures is to unify the planet. Space phase: The time has come to move on to other worlds in your solar system. Make first-contact, colonize, or terraform, then venture further to find other solar systems scattered throughout a magnificently rendered galaxy. A 'mission' structure provides new goals and paths to follow as you begin to spread through the universe. [Electronic Arts]",84
Swords & Soldiers,2009-06-08,E10,"[WiiWare]  Swords & Soldiers is a sidescrolling real time strategy game, in which three distinct factions battle for the powers of the gods. The game sfeature a single player campaign and a competitive splitscreen multiplayer mode as well as several other game modes. [Ronimo Games]",84
Comet Crash,2009-04-02,E,[Playstation Network]  Comet Crash takes real-time strategy to a new level by blending classical tower defense gameplay with offensive counterattacks and dynamic AI. Choose among a variety of weapons to defend your territory. Use specialized units to fight off attacks. Build up massive armies and rush your enemies. Challenge your friends in offline Battle mode or fight your way through action packed levels in Campaign mode. [Pelfast],83
Spore Creature Creator,2008-06-17,E,"The Spore Creature Creator gives Spore fans, and those who are creatively curious, the first hands-on opportunity to design their own species and share it with their friends. All creatures designed with the Spore Creature Creator can be imported into the full retail version of Spore for PC and Mac. The demo lets players shape, paint and play with an unlimited number of creatures, using 25 percent of the creature-making parts from Spore. Gamers can then share these creations with their friends, including seamless uploads to YouTube. [Electronic Arts]",83
Europa Universalis III,2007-01-23,E,"Players can enjoy over 300 years of gameplay by starting at ANY date between 1453 and 1789. Nation building is flexible: decide your own form of government, the structure of your society, trade politics and much more. The great people and personalities of the past are on hand to support you. Take history in your hands and call personalities like Sir Isaac Newton, Wolfgang Amadeus Mozart or René Descartes to your court. A lush topographic map in full 3D allows for a rich and complete world view, and contains more than 1700 provinces and sea zones. Lead any one of more than 250 countries that originally existed during the game’s extensive time span. Have more than a thousand historical leaders and over 4000 historical Monarchs at your disposal. Manage more than 100 individual unit troops to secure as much power as possible. Co-operative multiplayer mode allows several players to work together to control a single nation. Customize your game: Europa Universalis III gives you the chance to customize and mod practically anything your heart may desire. [Paradox]",83
Duskers,2016-05-18,Rating not found,Pilot drones into derelict spaceships to find the means to survive and piece together how the universe became a giant graveyard.,83
Sins of a Solar Empire: Rebellion,2012-06-12,T,"The time of Diplomacy is now over. The length of the war and differing opinions on what should be done to bring the war to an end has led to a splintering of the groups involved. The controlling powers-that-be have exhausted arsenals and seem to have spent all efforts of diplomacy. Trapped in a stalemate, sub-factions have rebelled and split off from the main alignments. Rebellion is upon us.",82
Warlords Battlecry,2000-07-09,T,Prepare to enter the next generation of RTS. You'll develop a hero to lead your forces into battle. Share your abilities and spells with surrounding members of your army. And develop your hero as you expand your empire. Because what's the fun of winning a battle if you don't know who to carry off on your shoulders?  [Mattel Interactive],82
