title,release_date,rating,description,metascore
Total War: Shogun 2,2011-03-15,T,"Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the enjoyment and depth of the series.",90
Shogun: Total War Warlord Edition,2001-08-13,T,"This stand-alone package includes the original complete ""Shogun: Total War"" game and the ""Mongol Invasion"" expansion which includes Kublai Khan?s invasion of Mongol hordes that try to conquer Japan and three new Japanese campaigns.",87
Total War: Shogun 2 - Fall of the Samurai,2012-03-22,T,"This massive-scale, stand-alone expansion to Total War: SHOGUN 2 offers a completely new experience to players. Six new playable clans, including those supporting a modern imperial Japan such as the Satsuma and those allied with the old Shogun like the Nagaoka, are now available. Three great foreign powers must also be dealt with: America, Britain and France all have a vested interest in Japan’s future. How will you treat them? All this plays out across an expanded and improved campaign map, covering new island provinces in the far north and featuring all-new building and technology trees as well as brand new features such as railways and naval bombardments, seen for the first time in a Total War title.",86
Total War: WARHAMMER,2016-05-24,T,"In an era of ceaseless conquest, a myriad warriors clash in epic battles as entire races wage war on one another, each led by a notorious hero seeking dominion over the world. All at your command. The courageous Karl Franz marshals the men of the Empire, looking to unite the fractured elector counts under a banner of strength against their common foes. Hungry for the vicious brutality of combat, the Greenskins flock to the tribe of Grimgor Ironhide; Orcs and Goblins alike filled with an insatiable thirst for carnage. High King Thorgrim helms the stoic Dwarfs forth from their mountain strongholds, marching to right the serious injustices wrought upon them over the millennia. Yet the motives of the Vampire Counts under Mannfred von Carstein are shrouded in murderous secrecy, his armies raised from the decrepit ranks of the dead. And while the Old World is torn by betrayal, war and the unleashing of unfathomable power, a rising threat still whispers in the winds from the north. The fabric of reality itself begins to rend and buckle.",86
Age of Wonders II: The Wizard's Throne,2002-06-12,T,"Delivering an invigorating mix of Empire Building, Role-playing, and Warfare, Age Of Wonders II offers the ultimate in fantasy turn-based strategy. Explore a world full of mythical creatures and mysterious lands. Build an impressive force as an all-powerful Wizard through dangerous perils and exhilarating challenges. Now is your time to embrace your destiny and take your rightful place at the head of the Circle, forever. [GodGames]",86
SteamWorld Heist,2015-12-10,E10,"A game featuring space adventures and strategic shoot-outs. Assume the role of Captain Piper and recruit a team of rag-tag robots to explore and scavenge the remains of a destroyed world. Board enemy spaceships and command your crew in a unique variety of turn-based combat, where the outcome is determined purely by your own skills.",86
Chaos Reborn,2014-12-09,Rating not found,"At the heart of Chaos Reborn is an intuitive and fluid turn-based wizard combat system. You play the role of a fighting wizard armed with a selection of spells and magical staff. Some spells summon creatures but others are more exotic, such as the Gooey Blob which spreads uncontrollably across the terrain. The balance between Law and Chaos can be altered to your advantage, or you can cast illusions to deceive your adversaries. It’s a game of bluff, tactics and calculated risks with nail-biting decisions from one turn to the next.",85
Shogun: Total War,2000-06-13,T,"Japan, 1542. The land is in turmoil. The last Shogunate has collapsed, leaving the nation divided into seven warring factions. Out of this chaos will emerge one warlord who will master the Art Of War.  [Electronic Arts]",84
Heroes of Might and Magic IV,2002-03-28,E,"Lead multiple hero-characters into battle to fight alongside troops for an intense combat experience. Encounter all-new heroes and over 60 creatures in 6 massive campaigns and 24 scenarios. 
With an all-new game engine, lifelike isometric view, breathtaking graphics and richly detailed landscapes, the adventure map comes alive! With 48 Hero Classes and all-new skill and magic systems, summon all your strategic insight, tactical cunning and leadership abilities to ascend to the throne of this perilous new world! [3DO]",84
Sid Meier's Civilization Revolution,2008-07-08,E10,"Civilization Revolution offers players a chance to experience the epic empire-building world of Civilization in an all new accessible, visually immersive, and action-packed world specifically designed for the console and handheld gamer. Delivering Civilization's renowned epic single-player campaigns featuring vast re-playability and unmatched addictive gameplay as well as revolutionary features like real-time interaction with leaders and advisors, extensive multiplayer capabilities and integrated video and voice chat, it transports the Civilization series to a level of gameplay that fans have never seen before. Some of the key features that resonate with fans of strategy games and the Civilization franchise include 16 civilizations to master and lead to victory, an array of famous historical leaders to play as or compete against, and accessible maps and streamlined time scale for quicker games, intense combat, and constant action. In online multiplayer mode, players compete for world conquest and glory among their peers as they battle in teams, head-to-head or epic free-for-all matches. In addition, auto-matching, ranked games, leaderboards, achievements, downloadable extra content and integrated video and voice chat make the online play more versatile and fun than any previous version of Civilization and will allow players to see where they stand against the competition. Finally, the position of ruler of the world can be settled online. [2K Games]",84
Unity of Command,2011-11-15,Rating not found,"Unity of Command lets you replay the epic conflict that was the Stalingrad Campaign of World War II. In this turn-based game of strategy and cunning, observe how opportunity leads the German army to advance recklessly into the steppes of southern Russia. And as the story unfolds, join the Soviet campaign to repel the invaders... As these legendary battles play out on the hex board, the tension of decision making and difficulties of conducting operations on a massive scale emerge. Command armies and fronts in maneuver warfare, thrust and encircle, capture cities and cross continents; but never, ever forget to watch your supply lines.",84
Dorfromantik,2022-09-29,E,"Dorfromantik is a peaceful building strategy and puzzle game where you create a beautiful and ever-growing village landscape by placing tiles. Explore a variety of colorful biomes, discover and unlock new tiles and complete quests to fill your world with life!",84
Disciples II: Dark Prophecy,2002-01-22,T,"Dark Prophecy returns gamers to the magical realm of the Sacred Lands where four races - the Empire, the Mountain Clans, the Legions of the Damned and the Undead Hordes - continue the battle for the destiny of their Gods. A decade after the First Great War, the final prophecy continues to unfold. [Strategy First]",84
