title,release_date,rating,description,metascore
The House in Fata Morgana - Dreams of the Revenants Edition -,2021-04-09,M,"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:
    1: The House in Fata Morgana: the main storyline.
    2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.
    3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices
    4: Other additional short stories.",96
Jack Jeanne,2023-06-15,T,"The game's story centers around protagonist Kisa Tachibana, a girl who had given up on a career in theater, but receives an invitation to attend the Univeil Drama School, an elite drama school for male actors, where students play female roles (referred to as ""Jeanne"" roles) in addition to male roles (""Jack"" roles). 

However, to maintain her enrollment, she must land a starring role in the school's play at the end of the year and also hide that she is a girl.",90
Slay the Princess,2023-10-23,Rating not found,You're here to slay the princess. Don't believe her lies.,90
Bustafellows,2021-07-30,M,"Arrive in New Sieg, a beautiful fictional town. Step into the shoes of a strong, smart and gifted journalist in this romantic adventure. You play the part of a young woman with the ability to leap in the past for a very short period in the bodies of others, which you use for data collection and helping people. After witnessing the murder of a crooked lawyer – she goes back in time in an attempt to save him. Thus, the journey begins as our protagonist goes back in time in the body of another person and tries to warn Limbo. It's up to you to figure out how to save him.",86
Steins;Gate Elite,2019-02-19,M,"STEINS;GATE ELITE is a remastered title with animated scenes from the anime, creating a brand-new, immersive experience. Follow a group of young, tech-savvy Lab Members who discover the means of changing the past by using e-mail and a modified microwave. Their experiment to push the boundaries of time spirals out of control as they become entangled in a conspiracy surrounding SERN, the organization behind the Large Hadron Collider, and John Titor, who claims to be from a dystopian future.",86
Anonymous;Code,2023-09-08,M,"In the world where the boundary between digital and real has disappeared, you will be one of the ANONYMOUS.

If this world is a game...you are a mob!

This is the latest work by STEINS;GATE creator Chiyomaru Shikura, in collaboration with returning staff from the Science Adventure Series.",86
Code:Realize - Guardian of Rebirth,2015-10-20,T,"Restricted to an abandoned mansion on the outskirts of London in fulfillment of a promise to her father, lonely Cardia lives day to day isolated from the world. Her body carries a deadly poison that rots or melts anything her skin touches, prompting the locals to call her a “monster.” Her last conversation with her father two years ago, telling her to stay out of sight and never fall in love, is the furthest back she can remember. One day, her quiet solitude is interrupted as the Royal Guards break in to capture her. It is then that Cardia meets Arsène Lupin, a chivalrous thief, who helps her escape the soldiers’ clutches. She soon finds herself on a journey with Lupin to locate her father, who holds the answers to her mysterious condition. The two are soon joined by four more interesting and handsome gentlemen…",86
Paranormasight: The Seven Mysteries of Honjo,2023-03-09,M,"Shogo Okiie, an ordinary office worker, visits Kinshibori Park in the dead of night with his friend, Yoko Fukunaga, to investigate a well-known local ghost story: The Seven Mysteries of Honjo. Shogo doesn't quite believe Yoko when she talks about how the Mysteries are connected to the Rite of Resurrection and doesn't pay it much mind - that is, until strange events begin to unfold before his very eyes.

Meanwhile, several others are making their own investigations into The Seven Mysteries...

Detectives investigating a series of strange deaths, a high-school girl seeking the truth behind her classmate's suicide, and a mother who has sworn revenge for her lost son.

Their desires and motives intertwine and interplay, with the Seven Mysteries of Honjo at the core, leading the story towards a battle of wits and curses.",85
Doki Doki Literature Club Plus!,2021-06-30,M,"Welcome to the club! Write poems for your crush and experience the terror of school romance in this critically-acclaimed psychological horror story.

Enter the #1 Psychological Horror Experience!

Welcome to a terrifying world of poetry and romance! Write poems for your crush and erase any mistakes along the way to ensure your perfect ending. Now’s your chance to discover why DDLC is one of the most beloved psychological horror games of the decade!

You play as the main character, who reluctantly joins the Literature Club in search of a romantic interest. With every poem you write and every choice you make, you’ll charm your crush and begin to unfold the horrors of school romance. Do you have what it takes to crack the code of dating sims and get the perfect ending?

Now, the original mind-shattering DDLC experience is packed with tons of new features and content exclusive to Doki Doki Literature Club Plus!",85
428: Shibuya Scramble,2018-09-04,T,"A kidnapping in Shibuya brings together a detective, a journalist, a former gang leader, a big pharma researcher, and a part-timer stuck in a cat costume for a series of unexpected events. Can they–or the city itself–make it through the day?",85
