title,release_date,rating,description,metascore
The Legend of Zelda: Ocarina of Time 3D,2011-06-19,E10,"The Legend of Zelda: Ocarina of Time 3D takes the best-reviewed game of all time for a brand-new experience. Now in 3D all of the graphic textures and colors have been vastly improved, taking advantage of the considerable graphic power of the Nintendo 3DS system. This game tells the epic story of Hyrule and Link™, Zelda™, and Ganondorf in remarkable depth and gives context to the many tales of their struggles. As such, this title represents a perfect entry point for players new to the Zelda franchise. Phenomenally Improved Graphics Beyond even the incredible 3D effect, every graphic texture and character model has been lovingly built from the ground up to create the most dynamic and vivid vision of Zelda’s kingdom yet. This is Hyrule as you’ve always imagined it. Playing the Ocarina Link needs to play the eponymous Ocarina of Time many, many times over the course of the game. This involves a specific series of button presses to play one of the twelve songs in the game. In the original title, you would need to assign the ocarina to an item slot, then likely review the button prompts to your song, then play them from memory. The Nintendo 3DS version has the ocarina constantly available on the Touch Screen, and playing with the button prompts for each song right in front of you. Enhanced Game play While the greatest care has been taken to preserve the classic game play and story, a number of new features make this the definitive version of this extraordinary game.",94
Fire Emblem: Awakening,2013-02-04,T,"Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations and backgrounds. They can be joined by a character of your making, with a unique appearance crafted as you see fit.",92
The Legend of Zelda: A Link Between Worlds,2013-11-22,E,The Legend of Zelda: A Link Between Worlds is a new game with a new storyline set in world of the Super NES classic The Legend of Zelda: A Link to the Past.,91
Shovel Knight,2014-06-26,E,"Shovel Knight is a sweeping classic action adventure game with memorable characters and an 8-bit retro aesthetic created by Yacht Club Games. You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this valley with two goals: to defeat the evil Enchantress and save his lost beloved. He wields a ShovelBlade; a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly. However, between Shovel Knight and his beloved stands a cadre of villainous knights. These terrible foes, known as The Order of No Quarter, have been dispatched to prevent Shovel Knight from reaching the Enchantress at any cost.",90
Super Mario 3D Land,2011-11-13,E,"Get Ready for a New Spin on a Familiar Tail. Super Mario 3D Land reinvents everything fans love about Mario gaming with the first platforming environment in true 3D, without the need for special glasses. Players will experience a new sense of depth, distance and speed while running, jumping and stomping on enemies throughout the levels. Tanooki Mario returns: The fan-favorite Tanooki suit makes its first appearance on the Nintendo 3DS. Use the Tanooki suit’s tail to attack enemies or float gently down from great heights. These abilities help players move through the 3D environments with more confidence. 3D visuals make it easier for players to judge the depths and distances in their environments. Players can more accurately judge the jump to the next platform or how far Mario is from a question block.  New and familiar abilities add unique game-play strategies to the adventure. Mario can perform a rolling somersault attack or run fast with a dash move. The Circle Pad gives players complete control to confidently move Mario through fun and challenging environments. New enemies include Goombas with tails, tall stacks of Goombas and a Piranha Plant that spits ink to obscure a player’s view. [Nintendo]",90
Pushmo,2011-12-08,E,"(Also known at ""Pullblox"" in the UK/EU)  Pushmo is a puzzle-action game in which you pull and push blocks to create a place to stand so you can jump up and down on your way to a goal. At first glance, some places may look out of reach, but if you use your head, you just may see a way to the goal...",90
The Legend of Zelda: Majora's Mask 3D,2015-02-13,E10,"The Skull Kid personifies the mischief and mystery of the Lost Woods, but a cursed mask has now morphed him into something exceedingly more terrifying. When he dupes Link into entering a land called Termina, the Hero of Time faces a pressing challenge in a strange, new land: stop the moon from ending the world in three days. Don't panic! You'll have some time-twisting tunes and magical masks to help you make it to tomorrow. [Nintendo]",89
Gunstar Heroes,2015-08-20,E10,"[Xbox Live Arcade]  The Gunstar 9 planet was peaceful for many years until the vicious dictator Colonel Red kidnapped the Gunstar twins' older brother, and used mind control to make him his slave. Now, face many different enemies and bosses in Gunstar Heroes, as you battle to stop the dictator from unleashing ""Golden Silver the Destructor"" with apocalyptic consequences! Multiple game modes: Play all four game modes, and save your progress as you battle the forces of Colonel Red. Multiplayer: Play local multiplayer, or co-op multiplayer over Xbox LIVE. [Sega]",89
Streets of Rage 2,2015-07-23,E10,"[Xbox Live Arcade]  The classic arcade fighting game Streets of Rage 2 comes to XBLA. Play as Blaze, Skate, Max, or Axel as you attempt to save Adam from the evil clutches of Dr. X. Special fighting moves for characters and unique weapons add to the excitement as you fight your way to the Syndicate's stronghold. Classic arcade fighting action: Each character has special abilities. Learn to use their moves to defeat the enemies and the bosses. Unique weapons: Katanas, shuriken, knives, and more are available for the player. Weapons can even be thrown for ranged damage. Stellar soundtrack: The music for the arcade version of Streets of Rage 2 by Yuzo Koshiro is widely considered as some of the finest music ever made for an arcade game. All new achievements to master and improve your Gamerscore. [Microsoft]",89
Colors! 3D,2012-04-05,E,Colors! 3D is a simple yet robust painting application that combines ease of use and powerful painting tools.,89
