title,release_date,rating,description,metascore
SoulCalibur,1999-09-08,T,"This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your head spin!",98
Tony Hawk's Pro Skater 2,2000-11-06,T,"Hawk's back - with new technology, new pros and new tricks! THPS2, the legend rides on! Skate as legendary Tony Hawk or any one of 12 other pro skaters. Create your own custom skaters. Multiple play modes including 1-Player, Career and Free Skate modes, as well as 2-player modes such as Trick Attack, Graffiti Tag and Horse. Build your own custom skate parks with the real-time 3D park editor.",97
NFL 2K1,2000-09-07,E,"In the end, NFL 2K1 is a deeper, more refined version of the original game.",97
Jet Set Radio (2000),2000-10-30,T,"Join a graffiti crew, stamp your territory and protect it from rival taggers, but watch out for the angry cops!",94
Resident Evil Code: Veronica,2000-02-29,M,"Resident Evil Code: Veronica takes up the story of Claire Redfield, a character from Resident Evil 2. In that game she was searching for her brother Chris (a missing S.T.A.R.S. member) and in Resident Evil Code: Veronica we follow her to Europe where she continues her search at Umbrella headquarters.",94
Quake III Arena,2000-10-22,M,"Quake III Arena offers a complete deathmatch experience. The game features new 3D arenas, weapons, and character models.",93
Skies of Arcadia,2000-11-13,T,"The age of exploration has dawned and you are about to embark on a magical journey, a voyage of discovery across the vast Skies of Arcadia in search of treasures untold, and where there is treasure, there will be Air Pirates! With over six vast lands to navigate, magnificent ships to fly and customize, a host of weapons and magical spells to be discovered and unique Internet functions to aid your quest, Skies of Arcadia is the most immense gaming experience ever created.",93
NBA 2K1,2000-11-01,E,"Visual Concepts has tweaked and buffed out the annoying gameplay traits that plagued its original hoops game, and the result is a highly polished product.",93
Test Drive Le Mans,2000-11-08,E,Test Drive Le Mans should be more than enough to keep arcade-racing fans happy for a while at least.,93
NBA 2K2,2001-10-24,E,"Exploit the defender with a lightning quick drop step move before you launch all out attack, finishing with an impressive dunk! With enhanced player performance such as this, the most renowned basketball game ever has been improved on all levels. Run the floor with new moves, exploit the new steal system then stand back in awe as you're put right behind the cameras in replay mode. With the addition of legendary urban playground courts, including the famous Mosswood Park, NBA2K2 is the true basketball experience.",93
Virtua Tennis,2000-07-12,E,"Imagine how a tennis player feels when he enters the arena, the crowd is cheering, the atmosphere electric, the adrenaline rushes... Well now you can with Virtua Tennis, the most lifelike and playable tennis game ever! Play as one of eight licensed players and uncover the secret stars. As well as the traditional arcade mode you can play in the exhibition mode, with 4 player action via doubles play. Once you're mastered these modes take on the world in the world circuit mode, with unique training games, different challenges and shops to buy clothing, equipment, stages and playing partners. Virtua Tennis - so realisitc you can almost taste the strawberries and cream.",92
Marvel vs. Capcom 2,2000-06-29,T,"The world's most insane tag-team fantasy fighter is bigger than ever!  An unprecedented 56 characters include the debut of Jill from Resident Evil, Servbots from Mega Man and Cable from Marvel Comics fame.  Experience arcade perfect fighting with 3 on 3 tag-team battles, unbelievable control and hyper-fast animation.  Pick a fight with legendary Capcom characters and Super Heroes from the Marvel Universe and prepare to be amazed.",90
Virtua Tennis 2,2001-10-24,E,"Choose from 16 internationally ranked men's and women's tennis players including: Venus Williams, Serena Williams, Lindsay Davenport, Magnus Norman, Patrick Rafter, Yevgeny Kafelnikov, Mary Pierce, Ai Sugiyama, Aranxta Sanchez-Vicario, Alexandra Stevenson, Carlos Moya, Tim Henman, Cedric Pioline, Tommy Haas, Thomas Enqvist, and Monica Seles. The revamped World Tour Mode lets you create and train your players, sign unique doubles partners, and enter a host of prestigious tournaments. [Sega]",90
Unreal Tournament (1999),2001-03-13,M,"From the creators of Unreal comes Unreal Tournament, a competition that tests your reflexes and competitive spirit in deadly arenas. Battle 15 of your friends or customizable bots in over 30 different levels, such as pirate ships, waterfronts, speeding trains, and floating castles. Multiplayer modes include Capture the Flag, Assault, Domination, and new Deathmatch variations. With enhanced weapons--including the Impact hammer, which squashes your opponent to mush, and the Redeemer, a rocket-powered nuke--expect the body count to be high.",90
NFL 2K2,2001-09-19,E,Fans of the NFL 2K series will undoubtedly find that it's hard not to like NFL 2K2.,90
Grandia II,2000-12-06,T,"Ryudo has been hired to protect a young priestess who must participate in a ceremony to halt the encroaching rebirth of Valmar, the God of Darkness. Embroiled between the forces of good and evil, Ryudo must follow his destiny and save the people he detests so much.",90
Samba de Amigo,2000-10-16,E,"Samba De Amigo is one of the best music and rhythm games released thus far, and it's the first such game to hit the United States, making it an excellent entry into the world of music peripherals.",89
Phantasy Star Online,2001-01-29,T,"Pioneer 2 finally completed it's long voyage to the new home world. But as the ship entered orbit, an enormous explosion shook the entire planet, and all contact with the thousands of people already there was lost. Now, in the first worldwide online console RPG, players from around the globe must unite to discover what has happened. Phantasy Star Online continues in the tradition of one of the most popular series of all time, and becomes a revolutionary and truly global gaming experience in an online, persistent world.",89
Sonic Adventure 2,2001-06-19,E,"The world can be a confusing and dangerous place, especially when there are two of you! Sonic must face the new, villainous Shadow but you choose how the story unfolds - you can be a hero, or make friends with the dark-side! In the most thrilling Sonic Adventure ever created there are 6 playable characters, new moves to master, over 30 challenging stages and 3 different 2 player games - will you save the world or conquer it?",89
Shenmue,2000-11-07,T,"It is the sequel to Shenmue, and was directed by Yu Suzuki of Sega AM2.",88
Ultimate Fighting Championship,2000-08-29,T,"The Ultimate Fighting Championship (UFC) is the premier mixed martial arts event in the world. There are no flying chairs or unrealistic moves. Spectators expect and demand to see true-to-life combat. Now, the ultimate fighting event comes to the Dreamcast as the most realistic fighting game ever created.",88
Metropolis Street Racer,2001-01-15,E,"Enter a new age of driving, a new form of thinking and feeling, and totally immerse yourself in the most advanced driving game ever created. Your 'Kudos' is the only path to success, since this is a unique test of skill, style and precision, which spans the streets of London, Tokyo and San Francisco. Be astounded by the realism, push your limits round 250+ different circuits, in hundreds of challenging events. Indulge up to 8 people in a unique multiplayer experience, and prepare yourself for the ultimate Internet Kudos Challenge",87
Power Stone 2,2000-08-23,T,"The world's most revolutionary fighting game does it again! Power Stone 2 takes go-anywhere, grab-anything combat, and introduces awesome new innovations to the hit arcade fighting series. Now, up to four players wage insane battles in fully interactive, multi-level stages. Master over 120 different items used in battle - weapons, vehicles traps, power-upsand more! As if chaotic swashbuckling battles weren't enough, combine forces with other players to battle monstrous bosses to win the game!",87
