title,release_date,rating,description,metascore
Grand Theft Auto: Chinatown Wars,2009-03-17,M,"Grand Theft Auto: Chinatown Wars is an entirely original entry into the critically acclaimed Grand Theft Auto series, and brings a new level of interactivity to its sprawling open environments. With the use of the DS touch screen, players navigate their way through the streets as they uncover the truth behind an epic tale of crime and corruption within the Triad crime syndicate, delivering the unprecedented amount of depth that has become a true trademark of the franchise.",93
Flipnote Studio,2009-08-12,Rating not found,"[DSiWare]  Let your inner artist loose with Flipnote Studio, an easy to use and surprisingly powerful animation application. Create Flipnotes by using the stylus to write letters and draw pictures, capture sounds using the microphone, and even insert photos captured with the Nintendo DSi Camera. Save a Flipnote with multiple pages that run successively and you've just made an animated Flipnote that works like a flip book! And if you feel like sharing your masterpiece, send it to your Flipnote friends or, if you are a registered Hatena.com user, release it via Flipnote Hatena, an online service run by Japanese Web-service provider Hatena. With such a large set of tools available, you’ll quickly find that there are many ways to enjoy Flipnote Studio. [Nintendo]",93
Chrono Trigger,2008-11-25,E10,"[Metacritic's 2008 DS Game of the Year] When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his unfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future. Features an engaging and unparalleled storyline, leading to the discovery of multiple epic conclusions to a journey that transcends time. An inspiring musical score created by Yasunori Mitsuda. Intriguing battle system made possible by the unique combination of the Active Time Battle system and Tech skills. Famed character designer Akira Toriyama lends his signature art style to create the vibrant world that has captivated gamers around the world. Taking advantage of the Nintendo DS hardware, CHRONO TRIGGER makes its way onto the portable platform with all-new dual screen presentation and Touch-Screen functionality. A brand new dungeon and a Wireless Play mode adds exciting new dimensions to this timeless classic. [Square Enix]",92
Mario Kart DS,2005-11-14,E,"Race and battle with up to eight karts at once, regardless of whether or not everyone has a Game Card. The all–star cast includes Mario, Luigi, Peach, Yoshi, Donkey Kong, Wario, Bowser, and Toad. With courses drawn from every Mario Kart game - Super Mario Kart, Mario Kart 64, Mario Kart: Super Circuit, Mario Kart: Double Dash - players may tour many of their favorites as well as all-new tracks and battle arenas. The game has a new dimension of fun, since players can battle others around the world by connecting to Nintendo's new wireless gaming service, Nintendo Wi-Fi Connection, via Wi-Fi. With over 30 courses and all the crazy items and frantic speed players would expect, this game is a Mario Kart fan's dream. [Nintendo]",91
Mario & Luigi: Bowser's Inside Story,2009-09-14,E,"In his evil plot to take over the Mushroom Kingdom, Fawful tricks Bowser into eating a magic mushroom. The mushroom causes Bowser to begin inhaling everything around him, including Mario, Luigi and Princess Peach! Do the Mario Bros. have the guts to rescue Peach and escape? Players are in control of two separate storylines. One features Bowser and his efforts to stop an arch-villain from taking over his castle. Meanwhile, inside Bowser, the microbe-sized Mario & Luigi must muscle their way through challenges and keep their nerve if they want to find a way out. They take action to control Bowser from the inside - but without his knowledge. Players can switch between storylines at will. What happens inside Bowser affects what he’s doing on the outside. Sometimes Mario & Luigi must solve puzzles and challenges behind the scenes to help Bowser overcome various obstacles and advance the plot. Players must make well-timed button presses to enhance their performance during battles and challenges. In some battles, Bowser grows so large that players must turn their Nintendo DS or Nintendo DSi system sideways, blow into the microphone or tap on the touch screen with the stylus to keep up with the action. The game features the same hilarious dialogue that has been the hallmark of the Mario & Luigi series. [Nintendo]",90
The Legend of Zelda: Phantom Hourglass,2007-10-01,E,"[Metacritic's 2007 DS Game of the Year]  Many months have passed since the events of The Legend of Zelda: The Wind Waker, and Link, Tetra and Tetra’s band of pirates have set sail in search of new lands. They come across a patch of ocean covered in a dense fog, in which they discover an abandoned ship. Tetra falls into danger when she explores the ship alone, and Link falls into the ocean when he attempts to rescue her. When he washes up unconscious on the shores of a mysterious island, he is awakened by the sound of a fairy’s voice. With the aid of this fairy, he sets off to find Tetra – and his way back to the seas he once knew. The stylus makes controlling Link easier than ever. Tap on the screen to make Link move, or sweep the stylus around him to swing the sword. Players can even draw a path for his boomerang and send it flying into hard-to-reach targets. Players can stash the map on the top screen for quick reference or drop it to the touch screen to make notes, study enemies, or chart a path for their boat to follow while they man the cannons. Compete with a friend over a local wireless connection: Guide Link through special dungeons to capture the Triforce or command the forces that oppose him. [Nintendo]",90
Advance Wars: Dual Strike,2005-08-22,E,"Players lead their new Commanding Officers to fend off the Black Hole Army’s latest invasion. With massive battles that sweep across both of the DS screens, Advance Wars: Dual Strike will change the face of war forever. Use the top screen for quick-reference battle intel, or take control in battles that rage across both screens. Command a fleet of fighters high in the skies while troops clash with the enemy on the ground far below. New COs, new Tag-Team battles: Choose from new Commanding Officers, and combine their powers for incredible attacks that can turn the tide of battles. Real-time Combat mode: For a battle with a twist, players lead soldiers into a fast-paced, action-oriented battle against a storm of enemies. Easy-to-use map editor: Just grab a stylus and draw maps right on the touch screen, then send the maps to friends wirelessly. [Nintendo]",90
Castlevania: Dawn of Sorrow,2005-10-04,T,"The year is 2036, one year after the events of ""Castlevania: Aria of Sorrow."" Soma Cruz finds himself at the center of a mysterious cult's plan to resurrect their evil lord and master Dracula. In order to save himself and protect the lives of those he loves, Soma must infiltrate the enemy's home base, a towering replica of Dracula's castle that is teaming with monstrous creatures. Defeat foes with the ""Magic Seal"" system using the touch screen. Exchange souls with other players via the DS wireless connection. Features an incredible musical score, next-gen graphics & stunning special effects. [Konami]",89
New Super Mario Bros.,2006-05-15,E,"The first new 2D Mario platformer since Super Mario World has arrived. Boasting ""incredible"" 3D graphics to accompany classic 2D gameplay, this fast-paced adventure will have Mario fans cheering as they make their way over fields, under water, through castles and into the air. New and familiar enemies are everywhere, not to mention ""mind-blowing"" challenges made possible by the dual screens of the Nintendo DS. Not only that, but players can link wirelessly with a friend to play as both Mario and Luigi in multiplayer mode. [Nintendo]",89
Meteos,2005-06-28,E,"""Rez"" creator Tetsuya Mizuguchi brings us Meteos - a curious blend of block-dropping puzzle action with other gameplay elements with the goal to launch all of one's blocks into orbit.",88
