title,release_date,rating,description,metascore
Super QuickHook,2010-06-17,Rating not found,"Conquer Eagle Mountain with the help of your trusty grappling hook.  Swing and run your way through meadows, frost-tinged fields, ice caverns, volcanic caves, and more.  Find secrets, loot, and special encounters.  Race against your friends.  Explore peaceful landscapes, or try to outrun an endless avalanche.  QuickHook combines heavy replay value with deep variety!

HEAVY REPLAY VALUE

- Find loot to spend on character upgrades and equipment
- Unlock Nightmare levels, new equipment, and fancier hats
- Seamless Leaderboards and Stats / Medals for each level
- 66 different achievements, most of them based on exploring secrets
- Duel system: Ghost Race your friends!
- Random, infinite Avalanche Mode:
* Survive a roaring avalanche, right behind you, as long as you can.
* Over 60 different possible &#34;sections&#34;, most with secret paths.
* Ghost race your friends to send them your personal Avalanche level!

DEEP VARIETY

- Varied landscapes
- Each level has its own challenges and art
- Secrets and Easter Eggs
- Character customization: Show off your gear!
- Free updates that add more achievements, secrets, and equipment
- Hand crafted race/exploration levels
* 18 levels with multiple paths and hidden areas, with more levels coming!

***

In Update 1, already submitted and Coming Soon:

- Content Update: Four all new levels, infested with fungi!  New hats, grappling hooks, secrets, and achievements!
- Unlock requirements for the levels lessened considerably!  Beating Dev Scores no longer required to unlock the Nightmare Levels.
- Bug related to unlock progression fixed: Avalanche 2000 score wasn&#39;t meant to be required to unlock Burn Alley.  Now used to unlock the Nightmare levels.
- Use OpenFeint to back up your save, in the settings menu!  Transfer your SQH save between devices!
- Rate Us page added to Rocketcatalog.  We tried to make it not annoying.  There&#39;s a picture of a gnome in there.
- &#34;Beat one nightmare/developer score multiple times&#34; bug fixed.
- Interactive credits level!",96
VVVVVV,2014-06-12,Rating not found,"VVVVVV is a retro styled 2D platformer by Terry Cavanagh, creator of dozens of free games. You play as the fearless leader of a team of dimension exploring scientists who inadvertently crash, and are separated. The game involves exploring the strange world you've found yourself in, and reuniting your friends.

VVVVVV explores one simple game mechanic: you cannot jump - instead, you reverse your own gravity at the press of a button. The game focuses on playing with this mechanic in a variety of interesting ways.

The game is designed not to artificially gate your progress. In VVVVVV there are no locks, no power-ups, no switches, nothing to stop you progressing except the challenges themselves.",95
Super Stickman Golf 3,2016-07-07,Rating not found,"Super Stickman Golf 3 is packed full of new courses, power ups, collectable cards, game modes, multiplayer madness and a ton of new surprises for you to discover. It’s a new spin on a classic game!",95
iBlast Moki,2009-09-09,Rating not found,"FULL Version Features: EXPERIENCE HOURS OF FUN AND DISCOVERY
- 85 levels, including several boss levels
- Enjoy the visuals of 7 completely different worlds with their own gameplay mechanics

EXPERIMENT WITH THE PHYSICS OF TONS OF DIFFERENT ITEMS
- Realistic physics when you blow things up
- Lots of different items to manipulate like ropes, rising balloons, and rotating wheels

SHARE YOUR CREATIONS
- Fully featured level editor included to create more puzzles
- Share your levels online, play and rate levels created by other players

PLUS+ ENABLED 
- Add friends, race to the top of global leaderboards for high scores glory
- Earn awards and gamerpoints on Plus+, the free social gaming network

DO YOU BLAST MOKI?
- Visit our website, www.godzilab-games.com, check out existing trailers, follow us on Twitter (twitter.com/godzilab) and leave comments on our forums

iBlast Moki is presented by Godzilab exclusively for iPhone and iPod Touch",94
N.O.V.A. - Near Orbit Vanguard Alliance,2009-12-17,Rating not found,"**IGN - Best Action Game of the Year
The most revolutionary sci-fi FPS for your iPhone &amp; iPod Touch!

Join the fight for mankind&#39;s survival against the aggressive aliens known as Judges in this immersive space opera.

With Earth no longer able to sustain life, huge artificial satellites called &ldquo;near-orbitals&rdquo; were constructed for people to live on. To protect themselves, the near-orbitals banded together to form N.O.V.A., the Near Orbit Vanguard Alliance. Now, a strange threat has emerged from the darkness of space. A Marine ship, reported missing just a week ago, has suddenly reappeared and is headed directly for the near-orbitals, ignoring all communications. Against his will, retired Marine hero Kal Wardin is forcefully returned to active duty to prevent mankind&#39;s annihilation.

N.O.V.A. - Near Orbit Vanguard Alliance provides the most comprehensive content available on the AppStore. Plunge into an unparalleled gaming experience!

EPIC SINGLE-PLAYER CAMPAIGN
- 13 insane levels
- 5 radically different environments, from the real to the fantasic - jungle, snow mountains, spaceship, bunker, and an alien city
- 6 weapons: Assault rifle, shotgun, sniper rifle, handgun, rocket launcher and plasma gun &ndash; plus grenades &amp; machine gun turrets in certain levels
- An intense drama sustained by transitional cinematics and character voices

FRANTIC MULTIPLAYER MODE
- Play locally or online via Wi-Fi or Local Bluetooth connection
- 1-4 player Deathmatch (1-2 players via Bluetooth connection)
- 5 different maps
- Play against your friends or the entire world through Gameloft LIVE!
- Worldwide leaderboards in the game &amp; on the official website, www.near-orbit-vanguard-alliance.com

TECHNOLOGICAL LEAP
- Full 3D rendered environments enhanced by highly detailed graphics
- 3 control schemes
- Customizable interface

N.O.V.A., the Near Orbit Vanguard Alliance, wants you to support the fight!
Enlist on Twitter @NOVA_fps
Visit www.near-orbit-vanguard-alliance.com for more information.

---------------------------------------------
Also available from Gameloft this Christmas: Driver, Tom Clancy&rsquo;s H.A.W.X, Skater Nation and James Cameron&rsquo;s Avatar",94
Anomaly: Warzone Earth - Mobile Campaign,2011-08-11,Rating not found,"Winner of the prestigious Apple Design Award, Anomaly Warzone Earth comes to iOS and turns tower defense on its head.This time you take control of the attacking force, pitting your heavily armored squad against the destructive towers of an alien horde. Carefully lead your squad through the invaders' defenses, shattering their towers and turrets with special weapons and power-ups in this groundbreaking new experience of tower offense.Press Quotes&quot;Simply Incredible.&quot; &mdash; TouchArcade&quot;It's a rare innovator in a genre packed with wannabes and copycats.&rdquo; &mdash; PocketGamer&ldquo;Anomaly has great visuals with a futuristic feel and outstanding explosions.&rdquo; &mdash;AppAdvice&ldquo;Forget everything you know about tower defense games, because in Anomaly Warzone Earth you play as the invading army.&rdquo; &mdash; Slide To PlayAnomaly Warzone Earth Highlights&bull; Experience a new type of tower defense formula where you&rsquo;re the attacking side.&bull; Deploy special weapons to break through alien defenses or use stealth to slip through unscathed.&bull; Think tactically and choose the right squad and route to guarantee success.&bull; Strategically gather resources to buy and upgrade new and more powerful units.&bull; Play for hours on end in three unique and engaging modes of play.&bull; Immerse yourself in the cutting-edge graphics and atmospheric soundtrack.For more information or support, please visit www.chillingo.com",94
Geometry Wars 3: Dimensions,2015-05-28,Rating not found,"Over fifty single player levels including Adventure and Classic Arcade modes. 3D grids and over ten battle modes including Pacifism, King and Claustrophobia. Four distinct companion drones such as Attack, Collector, Ram and Snipe. Co-op and Online Competitive Multiplayer modes.",94
Real Racing 2,2010-12-16,Rating not found,"Get ready for the most exhilarating handheld racing experience! Take control of 30 officially licensed cars, each with unique performance characteristics. Feel the thrill of authentic pack racing action in an incredible 16-car grid &ndash; the first on iOS!

+  Get to know meticulously detailed cars including the 2010 Ford Shelby Mustang GT500, 2010 Nissan GT-R (R35) and 2012 McLaren MP4-12C. See the full list at http://firemint.com/r2.

+  Enjoy well over 10 hours of gameplay in the massive career mode with time trials, head-to-head races, eliminations, single &lsquo;cup&rsquo; races, qualifiers and championships. Win races to purchase new cars and feel the difference with performance upgrades that affect handling. Work your way up from rookie to pro, or just jump into a Quick Race for instant fun.

+  Find out who the real champion is! Enter auto-matched 16 player online races. Meet up with friends for 8 player local WiFi races. Compete on global leaderboards in Time Trials. 

+  Race in 15 beautiful locations, with 40 miles of highly detailed race tracks, speedways and city circuits including twilight and night races.

+  Choose control options to suit your personal style.  Earn the checkered flag with our intuitive and easy to master controls or take things up a notch by disabling all driving assists. Set anti-skid, steering assist and sensitivity, automatic or manual acceleration and brake assist level. Touch or tilt to steer.

+  Cutting edge graphics and physics powered by Firemint&rsquo;s exclusive high performance Mint3D&trade; engine - optimized to push OpenGL ES2 and retina display technology to the limit, and fine tuned for the best experience on older devices. 

Start your engines and get into the best handheld racing experience - &ldquo;Buy Now&rdquo;, or surprise a friend and &ldquo;Gift this App&rdquo;!
--------------------------------------------------------------
?  For more information or support please visit
      http://www.firemint.com
---------------------------------------------------------------",94
Bastion,2012-08-30,Rating not found,Bastion is an action rpg form Supergiant Games.,94
Spider: The Secret of Bryce Manor,2009-08-10,Rating not found,"IGN.com Editor&#39;s Choice Award
148Apps App of the Week
AppVersity Editor&#39;s Choice Award
iPhone Blog Pick of the Week

&#34;No game better defines the purity of iPhone game design.&#34;  - IGN

&#34;One of our top 3 iPhone games of all time.&#34; -boing boing

&#34;A wonderfully imaginative game .. It didn&#39;t take us long to fall in love.&#34;  -Touch Arcade

&#34;One of my most unreserved and heartfelt recommendations.&#34; -Offworld.com

&#34;One of the most beautiful, elegant, and original iPhone games to date ..  Simply a work of art.&#34;  -148 Apps

&#34;One of the best games yet available for the iPhone and iPod Touch.&#34; -Gear Live

---------------------------------------- 

SPIN WEBS, TRAP BUGS
UNLOCK THE SECRETS OF BRYCE MANOR
 
You are a spider.  One afternoon, you discover an abandoned mansion.  Where is the family who lived here?  What happened, and why did they leave?  Search for clues as you adventure from room to room on the hunt for your next meal.  Build webs of your own design: in the corners, under the furniture, and in the forgotten places too small for humans. Are you a shrewd enough sleuth to decode the mystery and uncover the Bryce family secret?

* DRAW WEBS WITH YOUR FINGER
- Touch to walk, swipe to jump, and build webs by drawing shapes in the environment.  
- Powerful, intuitive controls; easy to pick up, challenging to master.

* SEE THE WORLD THROUGH THE EYES OF A SPIDER
- 28 beautifully hand-illustrated levels to explore
- Hunt your insect prey, leaving Bryce Manor covered in cobwebs!
- Search for family secrets in the shadowy basement, beneath the floorboards, and in the darkest corners.

* CONQUER UNIQUE ACTION-PUZZLE CHALLENGES
- Use instinct and guile to track down an assortment of tasty insects.
- Tackle hornets, herd mosquitoes, stun dragonflies, attract moths with light, and more!
- Plan your meals wisely!  Run out of silk and risk your demise.

* HOURS OF CAPTIVATING GAMEPLAY
- 4 game modes offer limitless depth:  race against time in Feeding Frenzy, solve the puzzles of Precision, and survive the intensity of Hunger Mode.
- Earn 24 challenging Achievements including Linebacker, Gaping Maw, and One Fell Stroke.
- Compete with the world on the Spider global leaderboards.  Spin together massive combos to get the highest score!

* CONNECT WITH YOUR FRIENDS ON FACEBOOK
- Use Facebook Connect to share stories and compare high scores with your friends!

* ORIGINAL SOUNDTRACK &amp; iPOD SUPPORT
- Enjoy the delicious Spider soundtrack, or listen from your own music library. 

---------------------------------------- 

** WATCH THE OFFICIAL TRAILER AT
http://bit.ly/15PEoZ

** VISIT US AT
www.tigerstylegames.com

** FOLLOW US AT
http://twitter.com/tigerstylegames

Tiger Style is a distributed collective of passionate video game developers, from industry veterans to indie musicians.  We&rsquo;re here to bring premiere, unique game experiences to your iPhone and iPod Touch.

** IF YOU NEED SUPPORT
Contact us at support@tigerstylegames.com",93
