title,release_date,rating,description,metascore
Persona 4 Golden,2012-11-20,M,Persona 4: The Golden is a remastered version of PS2 classic Shin Megami Tensei: Persona 4.,93
Velocity 2X,2014-09-02,E10,Velocity 2X features puzzle-platforming action alongside top-down shoot 'em-up gameplay.,90
Spelunky,2013-08-27,T,"Spelunky is a platformer with randomized levels that offer a unique and challenging experience each time you engage it. Journey deep underground and explore fantastic places filled with monsters, traps, and treasure. Fully-destructible environments open up an array of strategies and make it a blast to master the game's many secrets.",88
Rayman Origins,2012-02-15,E10,"Michel Ancel, celebrated creator of Rayman, Beyond Good & Evil and the Raving Rabbids returns to his roots to bring us Rayman Origins: a high-definition, 2D side-scrolling, platforming adventure!
Play Rayman Origins and discover or rediscover the magical universe and legendary 2D gameplay that captured the hearts of fans...
When the Glade of Dreams is overrun by ""nefurrious"" Darktoons, the Fairy Council hastily invokes Rayman to save the day; but the hero of light isn't quite all there...To help him, Rayman teams up with his best friend, Globox, and two crafty wizards, the Teensies. Together, the world's most hilarious team of heroes will need to restore peace to the Glade or watch as their beloved home vanishes like a bad dream... [Sony]",88
LittleBigPlanet PS Vita,2012-09-18,E,"LittleBigPlanet lets you play, create, and share on the PlayStation Vita. The PS Vita's front and back touch controls let you play freely. Fully customize Sackboy and his world with the specialized CREATE tools, and discover endless levels SHARED by fans online. Includes all features from the first and second games together with new PS VIta exclusive elements.",88
Guacamelee!,2013-04-09,E10,"The game features a down on his luck Mexican named Juan Aguacate, who sets out to save the world when El Presidente's Daughter is kidnapped by an Evil Charro Skeleton. The story takes place in and around a small village in Mexico, and has the player travelling through alternate dimensions including ""The World of the Dead"" and ""The World of Nightmares"" on his quest to rescue the girl he loves.",87
Rayman Legends,2013-09-03,E10,Rayman Legends is the follow-up to Rayman Origins and aims to bring innovative multiplayer interactions for you to use.,87
Tearaway,2013-11-22,E,"Adventure through a vibrant papery world with your new friend Iota, a plucky messenger with a unique message to deliver-to you.This paper world is small enough to hold in your own two hands, allowing you to reach into the game with your god-like powers and help Iota complete this very special delivery.",87
Velocity Ultra,2013-07-02,E,"Velocity Ultra is what Velocity should have been the first time around: a native PlayStation Vita title with deliciously sharp and stylish HD graphics, PSN trophies and online leader boards. [FuturLab]",87
Final Fantasy X / X-2 HD Remaster,2014-03-18,T,Final Fantasy X HD is a remake of the PS2 classic for the PlayStation 3 and PlayStation VITA.,86
Tales From Space: Mutant Blobs Attack,2012-02-21,E10,"Tales from Space: Mutant Blobs Attack is a side-scrolling puzzle platformer about an ornery mutant blob that, after being held captive in a lab that can only be described as something out of a retro sci-fi movie from the early '50's, escapes into the world and sets out on a path to destroy and consume everything! A follow-up to last year's PlayStation&Acirc;&reg;Network title Tales from Space: About a Blob, Mutant Blobs Attack will contain a wide range of exciting new features and gameplay modes designed exclusively for the PlayStation&Acirc;&reg;Vita handheld entertainment system.",86
Code:Realize - Guardian of Rebirth,2015-10-20,T,"Restricted to an abandoned mansion on the outskirts of London in fulfillment of a promise to her father, lonely Cardia lives day to day isolated from the world. Her body carries a deadly poison that rots or melts anything her skin touches, prompting the locals to call her a “monster.” Her last conversation with her father two years ago, telling her to stay out of sight and never fall in love, is the furthest back she can remember. One day, her quiet solitude is interrupted as the Royal Guards break in to capture her. It is then that Cardia meets Arsène Lupin, a chivalrous thief, who helps her escape the soldiers’ clutches. She soon finds herself on a journey with Lupin to locate her father, who holds the answers to her mysterious condition. The two are soon joined by four more interesting and handsome gentlemen…",86
OlliOlli2: Welcome to Olliwood,2015-03-03,T,OlliOlli2: Welcome to Olliwood plucks the iconic skater from the street and dropping him squarely in the middle of the Big Screen’s most bodacious cinematic locations.,85
Hotline Miami,2013-06-25,M,"Step into the neon-soaked underground of 1980s Miami as bizarre messages on your answering machine seem to be urging you to commit terrible acts of violence - but will you obey? Hotline Miami is full of raw brutality and skull crushing close combat as you find yourself outgunned and using your wits to choreograph your way through impossible situations. An unmistakable visual style, a driving soundtrack, and a surreal plot that will have you question your own thirst for blood. Bash and blast through over 20 multiscreen levels with 35 unique weapons and collect 25 game-altering masks in one of the darkest and most unusual independent games on the scene.",85
Rogue Legacy,2014-07-29,E10,"Rogue Legacy is a rogue-""lite"" game for PC, Mac and Linux. You'll die, but your children will avenge you. They might be genetically deficient, but that's ok. You still love your colour-blind baby. Or do you?",85
Sine Mora,2012-11-20,M,"Co-developed by Grasshopper Manufacture and Digital Reality, and published by Microsoft Studios, Sine Mora is a dieselpunk shoot 'em up that provides a unique take on the genre, where time is the ultimate factor. Mixing classic shooter sensibilities with next-gen presentation, Sine Mora is a gorgeous shmup that appeals to both hardcore and casual gamers alike. Coming exclusively to Xbox LIVE Arcade, Sine Mora features over 60 combinations of planes, characters and time manipulation devices to complete every beautifully-crafted stage with scaling difficulty. All of this is set to an epic score of soaring heights, composed by Akira Yamaoka, acclaimed for his works on Shadows of the Damned and the Silent Hill series.",85
Mortal Kombat (2011),2012-05-01,M,Mortal Kombat returns to consoles after a long hiatus featuring a return to the gruesome fatalities.,85
Terraria,2013-12-17,T,"Terraria offers players a chance to be an action gamer, master builder, a collector, and even an explorer.",85
TxK,2014-02-11,E,"Glowing vectors, explosive particle effects and a pulse-pounding soundtrack are core elements of many modern arcade shooters - a style that Llamasoft defined with its seminal 90s tube shooter. TxK is the spiritual successor to that genre-defining work and brings you 100 levels of score-chasing gameplay married to an outstanding soundtrack that will have your head nodding as you blast your way onto the scoreboards.",84
Sound Shapes,2012-08-07,E,"Sound Shapes has you play, compose, and share on the NGP in this side-scrolling platformer, where you create music with your actions using the touch screen.",84
Steins;Gate 0,2016-11-29,M,"If you can't save the on you love... ... How can you save humanity?

- A new story in the critically-acclaimed Steins;Gate series.
- From the depths of despair - explore a whole new world line
- Your favourite characters return alongside a brand new cast!",84
Grim Fandango Remastered,2015-01-27,T,Something is Rotten in the Land of the Dead... ...and you're being played for a sucker. He sells luxury packages to souls on their 4-year journey to eternal rest. But there is trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his salvation.,84
Frozen Synapse Prime,2014-09-23,T,"Prime is an asynchronous, turn-based strategy game that allows players to participated in several matches simultaneously. It also includes a single-player campaign set within a dystopian future, where you assume the role of a tactician to a resistance group attempting to prevent an evil corporation from taking over a city.",84
Minecraft,2014-10-14,E10,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",84
PixelJunk Monsters: Ultimate HD,2013-07-30,E,"What do you get? The 21 Tiki Island levels and 24 Challenge levels from the original PixelJunk Monsters PS3. From the Encore expansion Toki island with 15 levels inspired by arcade classics and the third island, Tum Tum. From the Deluxe Edition a fourth island, Gati Gati with 11 more stages. Not to mention trap towers, gem towers, scuttlers, fire monsters, flying balloon monsters, unlockable content and more.",84
Zero Escape: Virtue's Last Reward,2012-10-23,M,"Zero Escape: Virtue's Last Reward has players taking on the Nonary Game again, as it's back and more deadly than ever.",84
Hakuoki: Kyoto Winds,2017-05-16,M,"The remastered telling of the visual novel Hakuoki focuses on the story set in Kyoto. The young Chizuru, determined to find her father, will romance the famous samurai of Shinsengumi through a series of engaging stories in this historical fantasy adventure.",83
