title,release_date,rating,description,metascore
Tony Hawk's Pro Skater 2,2000-09-20,T,"Players can choose to skate with the skills of Tony Hawk, the most legendary pro of all time, or as one of 12 pro skaters from the star-studded lineup. The game's intuitive and solid control scheme allows players to perform hundreds of tricks in a variety of realistic, obstacle-filled, real-world locations.  [Activision]",98
Tekken 3,1998-04-29,T,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind.",96
Gran Turismo,1998-05-12,E,"With authentic cars, courses, and car physics, Gran Turismo 4 adds an even more realistic racing simulation to the series. The characteristics of each car take into account weight, speed, friction, and more to deliver realistic handling. Test-drive new vehicles in courses located in various sites, such as Nurburgring Nordschleife, New York City, the Grand Canyon, and Tsukuba Circuit. The PSP version of Gran Turismo 4 lets you race against your friends via wireless network.",96
Final Fantasy IX,2000-11-13,T,"The last Final Fantasy for the PlayStation, Final Fantasy IX returns to the pure fantasy roots that spawned the series.  This latest installment features highly detailed characters, vehicles, and environments, and breathtaking cinema-graphics.  The addition of brand new features such as the story-enhancing Active Time Event system and the return of minigames that grant additional gameplay make Final Fantasy IX not only a memorable gaming experience, but also a significant step forward in the series.",94
Chrono Cross,2000-08-15,T,"Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the &quot;Best RPG Creation&quot; by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.",94
Metal Gear Solid,1998-10-21,M,"You are Snake, a government agent on a mission to regain control of a secret nuclear weapons base from terrorist hands. Lightly armed and facing an army of foes, Snake must avoid firefights in order to survive. If Snake can locate them he can utilize advanced hardware, ranging from silenced pistols to ground-to-air missiles. Enemies react to sight and sound - so stay quiet and stay in the shadows. State-of-the-art graphics: textures, transparencies, models and explosions. Taut, gripping story with multiple endings - a truly cinematic experience.",94
Gran Turismo 2,1999-12-23,E,"The world's most advanced racing game returns with thunderous new features.

Over 500 racing machines from world-class manufacturers.

- All vehicles are designed according to their exact specifications and are fully customizable.
- Insane Arcade mode with power slides, burnouts, jumps and excessive speeds
- Killer soundtrack from star-studded bands
- Benchmark 3D graphics
- Intense two player racing",93
Street Fighter Alpha 3,1999-04-30,T,Street Fighter Alpha 3...scores a triple K.O.!,93
Castlevania: Symphony of the Night,1997-10-02,T,"As a descendant of Dracula, you must end the vampire bloodline. Can you rid the world of this unspeakable terror? Uncover the mystery of Castlevania and challenge an adventure as legendary as its name. Over 140 different enemies, bosses, and ghastly creatures. Awesome magical spells - transform into a bat, a wolf, or etheral mist. Hidden weapons, secrets, and characters...the largest Castlevania ever!",93
Wipeout XL,1996-09-30,K,"The game moves incredibly well, and looks fantastic in the process.",93
Vagrant Story,2000-05-15,T,"AGENTS OF THE CROWN

Relive an adventurous tale rich with agents, espionage, and conspiracies. Challenge deadly monsters and villains with your steel and magic. Clear your name by uncovering a sinister plot -- or perish in the attempt.

* A dark, cinematic adventure set in a richly detailed 3D world
* Revolutionary battle & status system for incredible real-time attacks and combinations
* Includes SQUARESOFT preview disc with playable demos",92
Tony Hawk's Pro Skater,1999-09-29,T,"Skate as legendary Tony Hawk, or as one of nine top pros. Work your way up the ranks by landing suicidal tricks in brutal competitions to become the highest-ranked skate champ.",92
Final Fantasy VII,1997-09-07,T,"An evil and powerful corporation is slowly draining life from the planet in an effort to control the universe. However, a small rebellion, known as AVALANCHE, has vowed to put an end to this destructive plan.

You take on the role of Cloud Strife, an ex-soldier of the evil Shinra corporation, who joins AVALANCHE as a selfish mercenary, but becomes much more involved in this mysterious epic of friendship, love, and the battle between good and evil.",92
Medal of Honor (1999),1999-10-31,T,"Tomorrow is D-Day. Tonight you land behind enemy lines. The tide of the way is in your hands. You are an elite Special Forces agent sent to execute covert operations, search and rescue missions, and commando raids. Fight to win the medal of Honor in the only game that lets you take on Nazis in WWII.",92
PaRappa the Rapper,1997-10-31,K,Help Parappa rap with the best of the master rappers and straight into Sunny's heart. Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun of mixes.,92
Colony Wars,1997-11-04,K,Delivers the real experience with its spectacular cinematic graphics.,91
Spyro: Year of the Dragon,2000-10-24,E,"Thieves have kidnapped a brood of dragon eggs, while, elsewhere in the Dragon Lands, a gateway to the Forgotten World has been uncovered. Sent to recapture the eggs, Spyro the Dragon, and his best friend Sparx, face a journey into uncharted territory against his most fearsome enemy yet - the Sorceress! All new playable characters, frantic challenges and new exciting worlds to explore - the Year of the Dragon begins here!",91
Tomb Raider (1996),1996-11-15,T,"Climb, swim, and backflip your way through a maze of cryptic deathtraps so realistic you can practically smell the decaying flesh. Unload an arsenal of lethal firepower on any wild-dog, giant lizard or blood-thirsty mercenary that gets in your way.
Your mission is the deadliest one to date -- the recovery of the fabled Scion, an incredible treasure reputed to give its possessor vast power. Get ready to cross the globe to take on impossible odds while exploring Incan ruins, Ancient Rome, Egyptian Pyramids, and the Lost City of Atlantis...",91
Resident Evil 3: Nemesis,1999-11-11,M,"A month and a half have passed since the mansion lab incident and now the secrets come back to haunt you in Resident Evil 3: Nemesis. Join Jill Valentine in her attempt to escape a nightmarish city in ruins. Around every corner lurk hordes of flesh-eating zombies, hideous mutants, and a relentless new nemesis. You'll soon rely on cunning and brute force to stay alive. The Resident Evil series has taken a horrifying turn, unveiling new layers in the Umbrella Corporation's devious activities.",91
Resident Evil,1996-03-30,M,"Raccoon City has been completely overrun by mutant beasts and bloodthirsty zombies. You are a member of S.T.A.R.S.--a rescue squad sent into the community to investigate the ominous mansion at the core of the disaster. Take the role of operative Jill Valentine or Chris Redfield and uncover the secrets behind a radical, genetic research facility. With an array of weapons to master and horrors around every corner, the ultimate test may be just to make it out alive.",91
Legacy of Kain: Soul Reaver,1999-08-13,T,"Cast down to the material world, the mysterious entity 'Raziel' seeks vengeance for betrayal by his master: Kain. Cursed to stalk the dark realms of Nosgoth, he must slay his undead brethren; only then can he absorb their souls for the energy he craves. Moving between the spectral and material plane, Raziel must negotiate puzzles, overcome traps and defy blood-chilling enemies to reach his goal - the final battle with Kain!",91
Crash Bandicoot: Warped,1998-11-03,E,"This time the game takes place across a great expanse of time and space, making for greatly diverse level designs, which in turn keep the game fresh.",91
Ape Escape,1999-06-23,E,"A boisterous band of baboons carry out a daring zoo escape. It's ape anarchy and it's up to you to stop the chimps before they make chumps out of the human race! Use both analog sticks to operate great gadgets including a Tank, a Remote Control Car, a Stun Club, and a Time Net in your quest to hunt down over 200 apes!",90
Syphon Filter,1999-02-17,T,"While it may not be an original concept, the game is truly greater than the sum of its many parts.",90
Dance Dance Revolution,2001-05-09,E,Dance Dance Revolution is a great introduction to a truly unique series with incredibly addictive gameplay and a soundtrack that will have you humming for days.,90
WWF SmackDown! 2: Know Your Role,2000-11-20,T,"Prepare for the most outrageous WF experience ever created. Brawl in the ring, backstage, in the VIP room, the parking lot of the new WF New York. Let your fury rage in the new Tornado Tag Team mode. If that's not hardcore enough, pull out the tables, ladders or chairs and really get nasty.",90
Colin McRae Rally 2.0,2000-12-05,E,"If you can work your way around its shortcomings, you'll find that Colin McRae Rally 2.0 is one of the most engrossing racing sims available.",90
Final Fantasy VIII,1999-09-07,T,"Experience A Massive New World On Your PC. A member of an elite military team, Squall is forced into a conflict beyond imagination. To survive, he must contend with a desperate rival, a powerful sorceress, and his own mysterious dreams. Realistic, detailed characters and background graphics enhanced by a breathtaking musical score. An epic story based on the theme of love, set in massive new world. New Junction System allows characters to be customized with magic spells drawn from enemies. Nearly an hour of stunning motion-captured CG cinemas seamlessly integrated into gameplay.",90
Madden NFL 2001,2000-08-22,E,"Get ready for a dose of bone-crunching football action on the PlayStation 2 with Madden NFL 2001. Madden NFL 2001 features an all-new and exclusive NFL Coaches Club license, which means you'll see coaches on the sidelines and hear them yelling encouragement, comments and criticisms. Madden 2001 also features individualized details, easy-to-use interface, dynamically enhanced audio and play-by-play recorded with John Madden and his broadcast partner, Pat Summerall, and more!",90
Wipeout 3,1999-09-23,E,The world's fastest PlayStation racer returns.... This is the ultimate anti-gravity racing experience by which all others are judged.... Accept no substitutes.,89
