title,release_date,rating,description,metascore
God of War: Chains of Olympus,2008-03-04,M,"[Metacritic's 2008 PSP Game of the Year] Unleash the power of the Gods and embark on a merciless quest as Kratos, an ex-Spartan warrior driven to destroy Ares, the God of War. Armed with lethal double chainblades, Kratos must carve through mythology's darkest creatures including Medusa, Cyclops, the Hydra and more, while solving intricate puzzles in breathtaking environments. Driven by pure revenge, nothing can stop Kratos from achieving absolution. [SCEA]",91
Grand Theft Auto: Chinatown Wars,2009-10-20,M,"Grand Theft Auto: Chinatown Wars is an entirely original entry into the critically acclaimed Grand Theft Auto series, and brings a new level of interactivity to its sprawling open environments. Players navigate their way through the streets as they uncover the truth behind an epic tale of crime and corruption within the Triad crime syndicate, delivering the unprecedented amount of depth that has become a true trademark of the franchise.",90
Shin Megami Tensei: Persona 3 Portable,2010-07-05,M,"Terrible creatures lurk in the dark, preying on those who wander into the hidden hour between one day and the next.  As a member of a secret school club, you must wield your inner power--Persona--and protect humanity from impending doom.  Will you live to see the light of day? Maximum Persona 3--The RPG that captured critics and fans alike achieves a new level of excellence.  Built upon an enhanced version of the game, players will find numerous significant improvements, including the addition of Skill Cards, part-time jobs, a total of five difficulty settings (ranging from the newcomer-friendly ""beginner"" to the ultra-hardcore ""maniac""), and most importantly, the ability to directly control your teammates in battle. Gain a whole new perspective--The choice of your protagonist's sex at the start of the game has a dramatic impact on the game's intricate social dynamics.  Persona 3 veterans will get a kick out of playing through the story from a new female perspective, gaining new Social Links, special events, and unique romantic opportunities. Slick system enhancements--Improved playability permeates every aspect of the gameplay experience.  One-button menu shortcuts, streamlined team equipment changes, incredibly short load times, and other tweaks and enhancements create an ideal pace for portable gaming. [Atlus USA]",89
Lumines,2005-03-22,E10,"Bust blocks, groove through puzzles, and jam wirelessly with friends. Stack 'em right and you'll unlock lush looks and buttery beats. Want to be lumines? Just let the music guide you.  Advance through 24 action-packed levels, each with its own musical theme and sound effects. 4 gameplay modes including single-player and multiplayer ensure varied and lengthy gameplay. Time attacks, duels, and puzzle challenges await! Unlock new customizable skins and avatars as you progress. Flaunt your progress in multiplayer mode; push your opponent right off the screen. Challenge yourself, or go head to head with an opponent via wireless multiplayer functionality. Listen as the jam intensifies depending on your skills. Stack 'em and crack 'em to unlock the best beats and score high points. Combo and link for best results. [Ubisoft]",89
Metal Gear Solid: Peace Walker,2010-06-08,T,"METAL GEAR SOLID: PEACE WALKER takes the series in an exciting new direction with incredible visuals, as it sheds new light on well-known adversaries and allies, along with a wealth of new characters. In true METAL GEAR SOLID tradition, METAL GEAR SOLID: PEACE WALKER drops the player into a series of hostile scenarios, as a terrible plan for world domination is revealed. In addition to solo operations, players can team up via the game's multi-player CO-OPS (CO-operative OPerationS) mode. This extends to key gameplay advances, with players administering medical help to colleagues, sharing munitions, or providing cover for each other using the Snake formation to cover each other's blind spots. [Konami]",89
Wipeout Pure,2005-03-16,E,"The latest and the greatest in the seminal WipEout series, ""Pure"" distils the essence of anti-gravity racing and futuristic adrenaline-fuelled combat. Hi-tech weapons, hi-octane speed and a high-tempo dance soundtrack combine to deliver an explosive taste of the future directly into your hands. Features all-new environments and race craft plus a pumping soundtrack specially created for the game by a range of top artists. Post launch downloads give you access to extra circuits, new craft, personalized skins and additional music. Go head-to-head full-screen in 8-player tournaments via WiFi. [SCEA]",88
Final Fantasy Tactics,2007-10-09,T,"[Metacritic's 2007 PSP Game of the Year]  Originally released in 1997, Final Fantasy Tactics: The War of the Lions is a portable update on the classic turn-based strategy game that gave birth to the world of Ivalice. In development exclusively for the PSP system, FINAL FANTASY TACTICS: The Lion War features PSP system exclusive content not found on the original classic including all-new CG sequences, all-new jobs, new 16:9 widescreen presentation, new head-to-head multiplayer and new storyline elements that refine the genesis of the IVALICE ALLIANCE. [Square Enix]",88
Grand Theft Auto: Liberty City Stories,2005-10-24,M,"Grand Theft Auto: Liberty City Stories is an entirely new game in the Grand Theft Auto series and brings a mobile dimension to this epic experience. The original storyline and all new missions take place in Liberty City, featuring the interactive, open environment, voice talent and diverse music that have become pioneering trademarks of the series. [Rockstar]",88
Tekken 5: Dark Resurrection,2006-07-25,T,"TEKKEN: Dark Resurrection arrives on the PSP. New characters Lili and Dragunov join the classic cast such as Jin, Heihachi, Paul and Law in the battle to be crowned King of the Iron Fist Tournament. An all-new intro movie lets you dive into the midst of the world of TEKKEN, this time with ad-hoc multiplayer mode to fight against friends as well as more items to customize your favorite characters. The beauty of TEKKEN is re-created on the handheld console, delivering one of the most realistic graphics on a handheld platform. A variety of destructible objects pump up the action on 19 stages. Play as one of over 30 characters, including classics Jin, Heihachi, Paul, Law and more. New characters Lili and Dragunov join the classic cast with all-new fight styles and moves. Collecting victories to lead your character to become king rewards you with ending movies for each character. Use your fight money to customize your characters – with more than double the items seen in TEKKEN 5. Using Wi-Fi connectivity of the PSP platform, you can battle against your friends – take your customized, original character against theirs and let the battle unfold. Mini-games provide a little breather from heart-pumping fighting action for more fun against friends. [Namco]",88
Ridge Racer,2005-03-22,E,"(Also known as ""Ridge Racers"")  Featuring the best loved race courses from arcade classic Rave Racer and the entire Ridge Racer series, 24 circuits of breakneck speed and exhilaration stand between you and racing glory. Beat the clock in Time Attack Mode or test your racing skills against up to 8 players in WiFi compatible Wireless Battle Mode. Features reworked and enhanced car design, complete with trademark Ridge Racer series drift handling. Drive in style and rise through the ranks to unlock hidden bonuses in World Tour Mode. Featuring 24 breathtaking courses, the most in any Ridge Racer game, including old favourites Seaside Route 765, Crimsonrock Pass and Greenpeak Highlands. [Namco]",88
