title,release_date,rating,description,metascore
The Legend of Zelda: Breath of the Wild,2017-03-03,E10,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure. Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier. [Nintendo]",96
Super Mario 3D World,2013-11-22,E,"Work together with  your friends or compete for the crown in the first multiplayer 3D Mario game for the Wii U console. In the Super Mario 3D World game, players can choose to play as Mario, Luigi, Princess Peach or Toad.",93
Super Smash Bros. for Nintendo 3DS / Wii U,2014-11-21,E10,"Return to a world of exciting battles with Super Smash Bros. as you fight your way through a host of fan-favorite opponents. Make your way through memorable stages inspired by the most notorious classic Nintendo games. Challenge a myriad of familiar faces to battle, including Mario, Link, Samus and Pikachu, or take on new contenders, such as Mega Man, Little Mac and Palutena, the Goddess of Light from the Kid Icarus games. Leap into battle as your own personalized Mii characters. Dive into a thrilling new mode, exclusive to the Nintendo 3DS, Smash Run. Fight solo through a battlefield of enemies, and snatch up their dropped powerups before the clock runs out — and the real battle begins. Customize your fighter for when you're playing locally or online. Experience all the stunning beauty of the Super Smash Bros. world rendered in immersive 3D. Challenge family and friends locally or online, or seek out new competition from around the globe in online For Fun or For Glory matches.",92
Rayman Legends,2013-09-03,E10,"Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump and fight their way through each world to save the day and discover the secrets of every legendary painting. Rayman Legends takes full advantage of the Wii U and its new GamePad’s capabilities. Use the touch screen to take out enemies, manipulate platforms, cut ropes to clear a path and much more. With the gyroscope technology, you can move rotating platform and there are many more surprises to come.",92
Bayonetta 2,2014-10-24,M,"In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet as it soars through a downtown city. Duke it out against a giant angel, who bears a whip for an arm, on top of a speeding train. And take to the skies in a fight against a demonic monster while ascending to the top of a skyscraper.",91
The Legend of Zelda: The Wind Waker HD,2013-09-20,E10,"As the purported definitive version of the game, The Legend of Zelda: The Wind Waker HD is remastered and presented in 1080p graphics. Gamers can experience high-definition cell-shaded presentation on their TVs or entirely on the Wii U GamePad controller. The streamlined interface lets gamers easily manage your inventory—simply slide an item onto any button. Instantly view maps and zoom in on the GamePad controller's touch screen. Enjoy a breezy cruise with the original sail, or switch to the brand-new Swift Sail that lets you gather the wind and speed across the waves. With the new Tingle Bottle feature, you can connect with others over Miiverse. Comments or screenshots others have posted on Miiverse may wash up on the shore or appear in other locations, tucked into bottles. Whenever you want, move around the world in first-person mode, using the GamePad gyroscope to look around you and aim your bow, hookshot, Picto Box, or telescope. You can store more pictographs with your improved Picto Box—handy for creating figurines—and share them with other players on Miiverse. Your pictures, game tips, and messages may also appear in another player's game. Take the adventure to new levels with Hero Mode, available from the moment you start the game. In this mode, you only regain health when you earn a new heart piece or container, use a red potion, or visit a fairy fountain. Also, your enemies do double the damage. [Nintendo]",90
Mario Kart 8 DLC Pack 2,2015-04-23,E,Downloadable goodies for MK 8 players.,90
Guacamelee! Super Turbo Championship Edition,2014-07-02,E10,"Guacamelee! is a Metroid-vania style action-platformer set in a magical Mexican inspired world. The game draws its inspiration from traditional Mexican culture and folklore, and features many interesting and unique characters. Guacamelee builds upon the classic open-world Metroid-vania style of games, by adding a strong melee combat component, a new dimension switching mechanic, and cooperative same-screen multiplayer for the entire story. The game also blurs the boundaries between combat and platforming by making many of the moves useful and necessary for both of these.",90
Skylanders Swap Force,2013-10-13,E10,"In Skylanders SWAP Force, Portal Masters embark on an adventure in the mysterious Cloudbreak Islands, where a magical volcano gives the heroes the power to swap halves, turning them into a special team known as the SWAP Force. By reassembling this team, Portal Masters must send back Kaos and his evil plan to Cloudbreak in order to save Skylands.",89
Axiom Verge,2016-09-01,E10,"Plumb the recesses of a large, labyrinthine world in order to learn its secrets and uncover your role within it. Discover tons of weapons, items, and abilities, each with their own unique behaviors and usage. You'll need your wits to find them all. Combat bizarre biomechanoid constructs, the deadly fallout of an ancient war, and the demons of your own psyche. And finally, break the game itself by using glitches to corrupt foes and solve puzzles in the environment. [Nintendo.com]",89
