title,release_date,rating,description,metascore
Halo: Combat Evolved,2001-11-15,M,"In a desperate attempt to keep a conquering alien race called the Covenant from finding Earth, you--a cybernteically enhanced soldier representing the peak of human military evolution--and a ragtag group of Marines flee to a distant uncharted system where you unexpectedly stumble across Halo, an enormous alien artifact in orbit between a gas giant and its moon. Your objective: Uncover Halo's horrible secret, and destroy mankind's nemesis - the Covenant. [Microsoft]",97
Grand Theft Auto Double Pack,2003-11-04,M,"From the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you the freedom to go anywhere and jack anyone, putting the dark, intriguing and ruthless world of crime at your fingertips. Vice City is an entirely new game set in the '80s, preserving and adding to the free-roaming gameplay, cinematic graphics and immersive audio experience that made the Grand Theft Auto III so popular.",96
Halo 2,2004-11-09,M,"The Covenant alien race threatens to destroy all humankind, and the only thing standing in its way is Master Chief, a genetically enhanced supersoldier. Master Chief returns in Halo 2, which features new vehicles, weapons, environments, and more. This time, you can interact with your environment, wield two weapons at the same time, board opponents' vehicles, and even switch sides to play the role of a Covenant Elite. Halo 2 also supports broadband multiplayer action via Xbox Live.",95
Ninja Gaiden Black,2005-09-20,M,"In Ninja Gaiden Black you can reprise the role of Ryu Hayabusa, ninja extraordinaire. This sequel to Ninja Gaiden supplies a new story and new missions, plus two more difficulty settings and cinematic cut scenes that provide background about the protagonist. Ninja Gaiden Black also incorporates the additional content from Hurricane Packs 1 and 2 and includes unlockable content such as the original arcade version of Ninja Gaiden. Ninja Gaiden Black includes online features for keeping track of karma points on the online leader board.",94
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,M,"As Sam Fisher, Third Echelon's most skilled Splinter Cell operative, you are assigned to execute a hazardous series of operations to investigate and eliminate a new source of information attacks originating in North Korea. At your disposal is a lethal array of tactics ranging from Combat Knife techniques to experimental prototype weapons skills and more-radical hand-to-hand techniques such as the Inverted Chokehold. Experience the intensity of acting as a lone operative fighting tomorrow's threats in the field and of cooperating online with a partner to accomplish crucial missions.",94
Burnout 3: Takedown,2004-09-07,T,"Burnout 3 takes the hit series even further, now featuring a unique ""crash and burn"" racing concept and a one-of-a-kind special effects engine that delivers spectacular visuals. The intensity heats up as players race, and often crash, their way through oncoming traffic in an attempt to claim the top spot. Boasting multiple single-player, multiplayer and online crash and race modes, Burnout 3 offers players the opportunity to race through busy city streets and be rewarded for taking risks that result in heart-pounding action and electrifying crashes. [Electronic Arts]",94
Star Wars: Knights of the Old Republic,2003-07-17,T,"Long before the Galactic Civil War, an epic drama begins.  Engage in this saga set in the Golden Age of the Republic--over 4,000 years before the first Star Wars film, when both Jedi and Sith number in the thousands.  With the Galaxy reeling from a recent conflict with the Dark Lords, the ongoing battle between the Jedi and the Sith rages on.  It's up to guide your customizable and evolving characters through ten different worlds, fast-paced minigames, and locations including a Sith world, the Wookie homeworld, and the Jedi Academy.  Your actions determine the outcome of this colossal galactic war--and your destiny as a Jedi.",94
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,T,"Tom Clancy's Splinter Cell: Pandora Tomorrow, the sequel to the stealth-action game Splinter Cell, once again casts you in the role of Sam Fisher, who is sent in to destroy top-secret documentation held in the embassy of militia leader Suhadi Sadono.  Use all-new moves and prototype gear to infiltrate buildings and spare the hostages.  This time, you can take your games of espionage against three other players in online multiplayer mode, in which you choose to play as either a mercenary or spy.  You've got the moves and the gear, now put them to use.",93
Tony Hawk's Pro Skater 3,2002-03-04,T,"You may not be able to live like the legend, but now you can skate like him.  Skate as the legendary Tony Hawk or choose from a dream team of 12 top pro skaters, including old favorites like Lasek, Thomas, Muska, and Steamer, as well as new talent like Gilfberg, Caballero, Koston, and Mullen.  Or enjoy full customization abilities with the enhanced Create-a-Skater (now including female skaters) and the Skatepark Editor.  Travel from L.A. to Tokyo, Suburbia to Skater's Island performing challenges and meeting goals.  New moves include the Revert, which allows you to link vert tricks, and flatland tricks such as Caspers, the Primo, and Handstand Manual.  If you're good, you can even unlock hidden pro footage.",93
Tom Clancy's Splinter Cell,2002-11-17,T,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",93
Grand Theft Auto: San Andreas,2005-06-07,M,"Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas... a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now, it's the early 90s. Carl's got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.",93
Prince of Persia: The Sands of Time,2003-11-18,T,"Embark on a journey of scorched sands and ancient legends.  A young prince, drawn to the dark powers of a magic dagger, unleashes a deadly evil upon a beautiful kingdom.  Guide the Prince on his quest to reverse the curse by using the Sands of Time, a power which allows you to erase the past, see into the future and slow down the present.  Perform gravity-defying acrobatics and swashbuckling attacks in a staggering array of landscapes and kingdoms.  Restore peace to the land and fulfill your destiny.",92
Forza Motorsport (2005),2005-05-03,E,"Forza Motorsport lets you own, customize, and race your favorite cars. You can collect models from more than 60 manufacturers and then race to earn money for upgrades and aftermarket parts. Test-drive your vehicle on various tracks, ranging from the challenging Nurburgring Nordschleife to the streets of Rio de Janeiro. You can even train your own &quot;Drivatars&quot; to use the same racing techniques you do, so they can race for you in competitions or train new drivers on your team. In addition to single-player challenges, the game includes multiplayer modes that are playable via Xbox Live.",92
Madden NFL 2004,2003-08-12,E,"In its 14th season, Madden NFL Football isn't showing signs of slowing down. Madden NFL 2004 adds new features such as Playmaker Control and Owner Mode to it's deepen its football simulation. This year, players can make adjustments after the snap and create championship caliber plays with the easy-to-use Playmaker Control. The new Owner mode allows you build and manage your own stadium in addition to your own team. Compete against other players through EA Sports Online Tournaments. With new plays, modes, and online play, Madden NFL 2004 is the most complete, authentic installment in the series yet.",92
